col_time_id,col_date,col_annee,col_mois,col_jour,col_heure,col_trimestre,col_semaine,col_nom_jour,col_saison,col_est_weekend,col_creneau_horaire,col_polluant,col_concentration,col_unite,col_station_poll,col_condition_meteo,col_temperature_celsius,col_ressentie_celsius,col_humidite_pourcent,col_pression_hpa,col_vitesse_vent_kmh,col_visibilite_km,col_precipitations_mm,col_indice_uv,col_qualite_air_locale,col_alerte_meteo,col_nom_zone,col_type_zone,col_indice_pollution,col_niveau_bruit_db,col_biodiversite_index,col_type_horaire_pointe
TIM_01238,2024-01-01 00:00:00,2024,6,23,8,2.35,2.39,5,3.18,OUI,4.20,PM10,30.60,7.56,6.84,Pluie,8.58,5.12,8.13,8.77,7.78,3.37,4.81,5.66,1.60,1.76,Zone Industrielle,Quartier Nord,5.72,8.74,93,1.84
TIM_01239,2024-01-01 00:00:00,2024,6,6,7,1.34,9.23,3,5.13,NON,5.36,PM10,14.67,1.08,3.47,Pluie,8.39,9.99,7.49,4.58,7.66,2.26,4.93,4.72,8.35,8.31,Banlieue Sud,Quartier Nord,1.38,4.21,39,5.71
TIM_01240,2024-01-01 00:00:00,2024,3,7,9,1.69,8.58,13,5.25,OUI,3.20,PM10,45.71,4.38,2.18,Pluie,5.96,5.59,6.08,2.79,4.73,8.57,5.09,4.43,9.72,9.84,Résidentiel,Quartier Nord,6.04,2.54,20,5.99
TIM_01241,2024-01-01 00:00:00,2024,9,19,17,3.34,3.42,1,1.07,OUI,4.11,PM10,8.00,2.57,4.56,Nuageux,1.31,8.77,3.65,3.08,1.70,3.57,6.79,6.29,5.68,5.67,Banlieue Sud,Zone Industrielle,4.60,2.89,77,7.70
TIM_01242,2024-01-01 00:00:00,2024,9,25,17,5.86,7.95,15,8.98,NON,5.05,PM10,46.14,2.51,4.28,Nuageux,9.78,9.44,1.40,8.15,1.98,8.28,4.73,8.12,7.74,1.94,Centre-Ville,Banlieue Sud,8.84,4.99,4,4.11
TIM_01243,2024-01-01 00:00:00,2024,11,3,12,7.14,6.93,13,4.30,OUI,8.78,SO2,16.75,5.62,1.64,Soleil,1.45,3.64,6.61,4.43,5.17,5.18,3.91,3.89,8.54,3.52,Parc Central,Résidentiel,3.90,9.51,21,5.64
TIM_01244,2024-01-01 00:00:00,2024,10,16,2,6.19,5.16,15,5.59,NON,9.29,SO2,12.77,9.14,2.01,Pluie,4.54,3.81,6.88,9.83,2.60,5.65,5.60,1.54,4.83,6.64,ZAC Ouest,Banlieue Sud,9.08,2.01,13,6.77
TIM_01245,2024-01-01 00:00:00,2024,12,26,9,7.74,2.41,8,9.43,NON,2.79,SO2,40.33,8.27,6.46,Brouillard,6.49,3.38,5.69,2.08,9.61,6.51,1.99,3.91,6.92,4.86,Quartier Nord,Centre-Ville,6.85,8.12,50,3.79
TIM_01246,2024-01-01 00:00:00,2024,8,18,8,6.27,7.62,22,3.86,OUI,4.97,SO2,6.09,8.56,1.49,Soleil,2.31,3.00,3.73,3.97,3.04,7.34,8.75,3.27,3.71,8.49,Centre-Ville,ZAC Ouest,4.53,1.84,83,4.81
TIM_01247,2024-01-01 00:00:00,2024,3,4,1,1.69,7.51,13,7.26,NON,1.51,PM2.5,32.03,7.14,4.51,Nuageux,3.94,4.88,6.47,1.66,4.08,3.27,5.75,6.29,8.50,7.22,Centre-Ville,Résidentiel,4.24,7.06,30,6.33
TIM_01248,2024-01-01 00:00:00,2024,11,3,18,1.30,2.48,9,4.92,OUI,8.33,NO2,28.44,3.91,3.52,Orage,7.18,1.70,4.07,1.57,6.90,2.53,2.44,6.69,1.51,4.65,Résidentiel,Quartier Nord,6.31,3.36,69,2.55
TIM_01249,2024-01-01 00:00:00,2024,8,18,12,3.44,6.90,19,3.36,OUI,1.15,NO2,21.36,3.73,5.69,Brouillard,1.10,5.40,5.81,6.57,2.32,9.97,5.77,2.34,1.06,8.98,Banlieue Sud,Zone Industrielle,7.65,6.54,95,2.39
TIM_01250,2024-01-01 00:00:00,2024,5,16,6,5.41,7.11,10,3.38,NON,5.51,SO2,32.02,8.62,5.04,Soleil,6.54,9.06,1.50,6.02,7.91,3.45,5.21,3.13,4.11,6.10,Centre-Ville,Banlieue Sud,2.94,2.50,61,9.85
TIM_01251,2024-01-01 00:00:00,2024,4,2,15,5.66,6.42,24,9.96,OUI,5.46,CO2,11.10,4.82,9.75,Orage,6.62,6.79,9.84,4.06,4.65,9.15,4.11,5.14,3.98,4.62,Zone Industrielle,Parc Central,8.88,4.81,77,9.65
TIM_01252,2024-01-01 00:00:00,2024,9,12,19,6.83,2.85,24,7.40,NON,5.57,CO2,39.43,9.89,2.99,Nuageux,2.17,9.15,9.72,5.57,4.60,3.74,2.06,7.78,5.47,6.28,ZAC Ouest,ZAC Ouest,3.39,1.43,82,4.35
TIM_01253,2024-01-01 00:00:00,2024,6,21,2,9.88,4.82,14,7.15,NON,1.05,PM10,42.36,3.56,7.37,Orage,6.25,9.74,2.62,3.41,7.88,6.66,8.21,3.94,1.59,7.79,Quartier Nord,Banlieue Sud,8.92,7.25,50,3.04
TIM_01254,2024-01-01 00:00:00,2024,4,5,9,3.19,5.50,19,1.10,NON,4.25,PM2.5,38.06,4.46,4.04,Soleil,4.15,9.51,5.28,5.09,1.52,6.79,7.93,5.17,1.34,9.41,ZAC Ouest,Banlieue Sud,8.40,7.90,39,9.64
TIM_01255,2024-01-01 00:00:00,2024,7,27,17,2.64,3.59,28,5.26,OUI,9.13,PM10,12.55,1.78,3.61,Pluie,1.60,3.59,5.67,1.79,4.31,4.55,8.34,2.84,3.76,8.31,ZAC Ouest,ZAC Ouest,8.45,3.85,60,5.76
TIM_01256,2024-01-01 00:00:00,2024,12,3,5,9.37,9.02,22,7.75,NON,6.86,PM10,2.90,3.02,7.53,Soleil,2.93,6.23,5.44,9.21,3.32,6.64,5.59,2.36,1.95,4.06,Banlieue Sud,Quartier Nord,4.46,7.66,11,5.32
TIM_01257,2024-01-01 00:00:00,2024,12,21,0,9.51,5.09,20,1.35,NON,5.41,NO2,16.06,5.03,3.15,Pluie,4.84,9.07,1.88,3.77,1.33,4.15,8.12,8.27,1.79,7.12,Parc Central,Zone Industrielle,4.99,1.28,5,3.81
TIM_01258,2024-01-01 00:00:00,2024,7,11,9,3.47,5.13,22,2.30,NON,2.16,NO2,33.10,8.99,5.04,Nuageux,5.91,9.38,6.17,9.44,4.07,6.16,4.68,3.54,1.25,3.26,Centre-Ville,Quartier Nord,8.97,8.78,34,1.43
TIM_01259,2024-01-01 00:00:00,2024,6,13,6,5.42,1.57,3,4.21,NON,2.31,PM2.5,20.35,8.38,4.48,Pluie,1.70,7.01,7.48,2.90,3.45,2.94,2.38,3.12,6.14,6.96,Résidentiel,Résidentiel,2.22,5.31,78,5.07
TIM_01260,2024-01-01 00:00:00,2024,2,25,13,6.47,4.64,28,9.15,OUI,5.43,SO2,16.98,3.38,2.08,Brouillard,5.97,1.77,3.42,6.14,2.56,9.13,4.54,1.16,3.41,3.07,Centre-Ville,Parc Central,9.08,2.58,41,6.79
TIM_01261,2024-01-01 00:00:00,2024,10,13,5,6.41,1.71,19,8.18,NON,4.29,O3,10.44,9.20,4.61,Nuageux,2.20,1.80,7.35,8.25,7.28,6.55,5.75,1.20,9.55,9.89,Banlieue Sud,Banlieue Sud,5.24,3.59,68,9.47
TIM_01262,2024-01-01 00:00:00,2024,11,8,17,3.34,9.61,20,3.01,NON,1.32,PM10,26.46,3.63,7.88,Pluie,6.63,5.86,3.02,3.76,1.04,8.64,3.99,2.64,3.94,8.79,Centre-Ville,Centre-Ville,3.82,7.25,19,4.55
TIM_01263,2024-01-01 00:00:00,2024,3,17,5,4.50,2.12,14,4.01,NON,2.67,NO2,3.64,2.89,3.08,Orage,6.30,3.22,6.93,9.16,2.43,6.93,3.01,8.24,9.05,7.19,Résidentiel,Quartier Nord,3.48,4.55,57,3.22
TIM_01264,2024-01-01 00:00:00,2024,7,7,8,2.41,7.09,20,3.20,NON,1.87,PM2.5,7.42,6.38,4.28,Pluie,9.13,3.96,6.39,8.51,9.95,1.64,9.88,5.68,3.44,7.75,Banlieue Sud,Résidentiel,1.42,1.62,32,7.93
TIM_01265,2024-01-01 00:00:00,2024,1,20,17,4.90,1.85,9,1.07,OUI,7.51,PM2.5,2.30,7.12,5.31,Orage,4.35,7.44,8.70,1.10,2.73,8.41,6.34,9.50,6.03,6.25,ZAC Ouest,Centre-Ville,4.97,7.75,57,6.49
TIM_01266,2024-01-01 00:00:00,2024,9,2,21,3.43,9.66,12,7.25,NON,9.13,PM10,29.83,2.92,1.55,Brouillard,7.18,2.32,5.26,9.02,3.53,4.12,5.61,1.92,7.32,2.95,ZAC Ouest,Parc Central,7.53,1.51,77,7.93
TIM_01267,2024-01-01 00:00:00,2024,5,6,0,1.52,9.97,23,9.21,NON,7.63,NO2,38.84,9.51,5.23,Orage,1.45,9.48,1.18,1.16,4.25,3.24,1.61,6.01,8.70,7.07,Résidentiel,Résidentiel,3.87,6.68,98,6.88
TIM_01268,2024-01-01 00:00:00,2024,8,19,16,6.98,4.36,4,6.20,NON,5.09,PM2.5,16.95,2.47,7.14,Pluie,9.80,5.21,2.15,6.68,6.40,4.71,6.80,7.14,2.92,5.05,Zone Industrielle,Zone Industrielle,4.18,1.92,49,1.23
TIM_01269,2024-01-01 00:00:00,2024,10,22,7,3.20,8.80,3,2.88,OUI,1.22,PM10,48.74,5.51,4.83,Pluie,3.99,1.19,2.96,3.43,9.10,5.07,2.19,2.26,6.19,8.26,Banlieue Sud,Résidentiel,8.30,1.49,32,9.01
TIM_01270,2024-01-01 00:00:00,2024,6,23,14,4.32,1.45,11,8.23,NON,6.88,PM2.5,12.02,5.57,5.81,Brouillard,4.23,8.54,6.39,9.37,3.09,3.78,6.05,7.70,6.31,4.50,Zone Industrielle,Banlieue Sud,9.87,5.52,37,9.04
TIM_01271,2024-01-01 00:00:00,2024,5,4,15,3.24,5.32,3,6.85,NON,6.63,PM2.5,19.09,8.90,8.75,Nuageux,7.71,8.62,1.29,4.56,8.57,3.98,3.85,5.44,8.35,6.87,Centre-Ville,Parc Central,6.92,8.08,52,9.36
TIM_01272,2024-01-01 00:00:00,2024,11,8,5,6.43,6.79,4,9.13,OUI,8.40,NO2,38.15,9.10,7.73,Orage,6.16,7.59,4.51,8.16,7.50,7.06,8.88,2.94,3.38,3.00,Zone Industrielle,Zone Industrielle,8.84,9.33,76,4.66
TIM_01273,2024-01-01 00:00:00,2024,11,6,4,7.71,4.14,6,4.08,OUI,2.02,O3,28.63,7.04,8.59,Orage,3.92,6.82,1.48,7.86,1.10,2.24,7.60,5.57,6.44,1.12,ZAC Ouest,Parc Central,9.89,5.57,100,5.98
TIM_01274,2024-01-01 00:00:00,2024,3,6,0,9.56,5.29,14,4.91,OUI,3.44,CO2,13.81,9.48,3.80,Soleil,3.70,5.95,3.86,3.42,1.58,9.09,1.38,9.40,1.53,2.02,Zone Industrielle,Centre-Ville,3.73,1.61,34,7.99
TIM_01275,2024-01-01 00:00:00,2024,3,1,4,9.63,6.18,2,3.97,OUI,1.89,PM10,41.63,8.95,8.05,Brouillard,8.74,8.67,1.19,3.30,5.38,5.09,8.69,7.71,7.37,4.88,Quartier Nord,Banlieue Sud,9.34,3.01,34,5.96
TIM_01276,2024-01-01 00:00:00,2024,2,14,13,3.73,2.21,9,1.32,NON,7.96,O3,41.11,5.00,8.89,Nuageux,9.36,8.13,7.71,7.50,9.18,8.07,4.84,4.45,3.91,9.89,Résidentiel,Centre-Ville,6.52,8.79,78,9.44
TIM_01277,2024-01-01 00:00:00,2024,5,16,9,1.19,4.13,16,2.08,NON,2.13,SO2,13.11,9.38,1.06,Soleil,2.89,5.29,4.87,7.84,3.44,7.77,5.81,9.18,2.27,9.70,Quartier Nord,Zone Industrielle,1.91,3.75,55,5.13
TIM_01278,2024-01-01 00:00:00,2024,8,25,6,7.60,1.79,3,6.90,NON,4.35,CO2,44.16,9.55,4.98,Orage,6.67,1.45,3.91,4.45,2.51,8.93,3.54,3.79,9.38,4.31,Résidentiel,ZAC Ouest,2.21,5.89,26,4.50
TIM_01279,2024-01-01 00:00:00,2024,5,15,6,1.72,4.77,3,6.50,NON,8.89,PM2.5,26.53,3.65,6.38,Soleil,5.33,8.09,4.66,3.52,9.14,1.77,4.66,7.56,3.58,4.85,Centre-Ville,Parc Central,3.64,3.18,78,9.79
TIM_01280,2024-01-01 00:00:00,2024,1,1,14,9.65,3.62,19,6.81,NON,7.03,SO2,23.49,3.14,2.88,Nuageux,4.04,1.63,3.79,2.32,1.11,3.77,1.98,1.84,7.34,8.43,Banlieue Sud,Quartier Nord,5.13,7.95,4,8.55
TIM_01281,2024-01-01 00:00:00,2024,5,9,15,9.52,5.02,24,8.96,OUI,3.51,NO2,7.58,5.65,2.43,Soleil,6.60,7.44,3.59,3.65,7.02,7.03,3.17,1.73,3.30,1.28,Centre-Ville,Parc Central,6.97,9.81,61,1.61
TIM_01282,2024-01-01 00:00:00,2024,4,6,22,9.14,1.66,10,6.38,NON,8.39,SO2,7.83,8.11,2.38,Brouillard,5.41,2.47,5.10,5.13,2.23,5.08,8.39,7.23,2.24,3.92,ZAC Ouest,Banlieue Sud,6.61,1.07,60,8.01
TIM_01283,2024-01-01 00:00:00,2024,4,26,10,6.08,3.25,25,5.73,NON,9.32,O3,27.05,1.24,4.53,Soleil,7.79,9.97,8.89,9.04,5.28,2.54,9.81,7.63,9.89,7.51,Résidentiel,Parc Central,1.66,2.27,20,3.08
TIM_01284,2024-01-01 00:00:00,2024,10,15,1,7.06,5.67,24,3.67,NON,8.66,PM10,41.55,2.19,1.92,Orage,6.50,2.31,8.05,5.57,9.85,5.06,1.91,5.82,5.07,7.18,Centre-Ville,ZAC Ouest,6.23,6.44,100,6.30
TIM_01285,2024-01-01 00:00:00,2024,9,5,17,5.89,3.11,24,7.48,NON,2.89,O3,27.99,3.27,5.05,Brouillard,3.84,2.33,1.80,9.38,6.82,1.79,7.39,1.29,8.88,8.22,Centre-Ville,Zone Industrielle,9.95,2.30,65,8.54
TIM_01286,2024-01-01 00:00:00,2024,1,20,18,4.12,1.84,26,7.88,NON,8.64,O3,11.49,4.22,2.37,Soleil,5.05,8.98,7.42,5.66,1.32,6.87,1.36,4.71,9.41,1.44,Résidentiel,ZAC Ouest,1.65,3.86,28,7.09
TIM_01287,2024-01-01 00:00:00,2024,9,20,8,3.60,6.29,20,1.29,NON,1.57,CO2,41.45,1.38,4.24,Brouillard,1.94,7.37,3.77,2.33,3.01,9.41,7.59,1.06,7.41,9.11,Zone Industrielle,Zone Industrielle,2.50,6.58,55,8.67
TIM_01288,2024-01-01 00:00:00,2024,5,26,3,5.44,7.38,10,4.47,NON,3.42,PM2.5,1.82,2.67,8.49,Brouillard,9.61,4.60,3.10,8.00,3.48,8.96,3.57,5.39,5.36,7.53,Banlieue Sud,ZAC Ouest,5.65,9.32,34,2.93
TIM_01289,2024-01-01 00:00:00,2024,6,22,23,7.25,3.82,9,5.69,OUI,2.11,NO2,48.42,8.68,4.18,Brouillard,2.83,9.09,7.25,2.81,7.47,1.29,4.42,6.93,8.13,9.98,Parc Central,Zone Industrielle,2.20,3.01,16,9.47
TIM_01290,2024-01-01 00:00:00,2024,12,1,21,7.27,6.07,27,7.16,OUI,6.63,NO2,8.26,9.76,2.41,Nuageux,9.66,3.78,5.89,5.21,1.38,7.73,7.05,7.24,2.83,2.86,Résidentiel,Zone Industrielle,2.62,9.01,12,2.74
TIM_01291,2024-01-01 00:00:00,2024,2,14,3,3.37,3.26,7,4.22,OUI,2.00,SO2,32.19,3.42,3.24,Nuageux,1.21,1.76,1.20,9.03,5.57,9.18,1.50,4.41,3.72,4.43,Zone Industrielle,Zone Industrielle,3.64,7.25,59,6.40
TIM_01292,2024-01-01 00:00:00,2024,1,17,0,4.10,1.61,16,2.21,NON,4.73,SO2,3.56,7.52,9.93,Nuageux,6.90,5.79,6.21,3.94,9.98,6.67,2.64,8.20,4.38,8.46,Résidentiel,Banlieue Sud,9.79,2.32,39,4.23
TIM_01293,2024-01-01 00:00:00,2024,12,8,0,6.79,3.25,25,3.74,NON,8.58,NO2,3.67,3.75,4.82,Orage,7.71,2.77,8.24,2.10,6.46,8.49,5.02,6.06,6.59,1.77,Zone Industrielle,Quartier Nord,5.75,9.28,83,9.26
TIM_01294,2024-01-01 00:00:00,2024,10,26,5,1.86,8.62,20,9.38,NON,3.96,O3,25.87,3.34,6.48,Pluie,7.63,2.97,5.08,6.26,7.15,2.69,3.99,7.06,2.91,3.86,Quartier Nord,Banlieue Sud,4.94,9.32,98,6.80
TIM_01295,2024-01-01 00:00:00,2024,1,16,18,4.82,7.94,23,6.20,OUI,4.39,PM10,20.83,8.59,9.04,Orage,2.75,9.12,7.80,6.00,6.29,2.75,3.58,3.08,5.80,8.53,Quartier Nord,Banlieue Sud,9.44,5.94,72,4.98
TIM_01296,2024-01-01 00:00:00,2024,12,24,2,8.15,6.38,26,3.77,OUI,1.85,PM2.5,47.05,3.71,5.22,Orage,1.90,3.78,4.10,8.65,5.54,5.93,3.95,1.30,4.64,5.69,Centre-Ville,Parc Central,7.30,9.85,2,7.84
TIM_01297,2024-01-01 00:00:00,2024,9,24,12,6.87,5.97,28,7.92,NON,2.12,NO2,34.73,5.22,9.95,Orage,5.65,8.68,4.87,2.08,9.71,7.70,7.98,9.90,1.22,9.94,Banlieue Sud,Quartier Nord,8.13,7.26,1,6.12
TIM_01298,2024-01-01 00:00:00,2024,5,26,10,3.65,8.98,6,1.21,NON,1.51,CO2,33.97,6.71,7.85,Nuageux,5.75,7.42,5.04,2.17,5.20,2.51,4.96,7.74,7.06,3.09,ZAC Ouest,Parc Central,6.62,9.37,71,8.16
TIM_01299,2024-01-01 00:00:00,2024,10,23,4,7.02,6.43,23,1.48,NON,9.36,SO2,10.76,5.41,6.89,Nuageux,3.40,9.87,8.17,4.00,3.19,7.80,4.38,6.46,9.63,3.09,Quartier Nord,Quartier Nord,6.60,2.77,43,2.94
TIM_01300,2024-01-01 00:00:00,2024,12,10,1,6.39,5.21,28,4.48,OUI,9.38,CO2,43.65,4.22,4.91,Brouillard,5.64,8.91,7.02,7.65,9.44,3.86,6.07,9.44,5.34,2.69,Centre-Ville,Quartier Nord,9.83,5.11,51,6.18
TIM_01301,2024-01-01 00:00:00,2024,5,11,20,3.06,1.17,24,8.23,OUI,1.86,CO2,17.90,3.50,5.26,Brouillard,2.07,8.60,3.46,6.52,9.75,6.69,6.92,4.04,8.72,4.50,Résidentiel,Quartier Nord,4.16,9.43,65,3.76
TIM_01302,2024-01-01 00:00:00,2024,11,15,4,6.52,9.97,28,6.84,NON,1.41,PM2.5,49.98,6.85,6.61,Orage,9.01,1.74,1.78,9.70,6.90,5.80,9.68,7.67,3.65,9.86,Quartier Nord,Banlieue Sud,2.80,6.36,16,8.74
TIM_01303,2024-01-01 00:00:00,2024,11,27,8,5.46,5.42,1,8.30,NON,6.02,PM2.5,14.59,3.08,5.94,Pluie,3.45,5.49,2.59,1.25,4.18,4.94,2.39,4.20,5.65,7.24,Zone Industrielle,Quartier Nord,8.29,2.90,13,3.36
TIM_01304,2024-01-01 00:00:00,2024,6,17,15,1.75,7.23,3,1.77,NON,1.51,CO2,17.42,3.57,3.11,Pluie,2.45,2.31,2.14,6.47,4.81,2.88,1.87,8.92,6.48,7.90,Parc Central,Résidentiel,5.80,1.49,66,6.23
TIM_01305,2024-01-01 00:00:00,2024,5,21,19,1.37,6.40,21,3.62,OUI,2.88,SO2,11.47,3.95,6.57,Orage,1.45,3.89,8.96,1.77,8.91,9.40,9.38,4.71,2.53,5.03,Parc Central,Quartier Nord,8.07,9.62,90,9.52
TIM_01306,2024-01-01 00:00:00,2024,4,12,6,7.47,5.98,15,6.23,OUI,6.16,SO2,37.96,3.78,1.05,Pluie,9.60,7.33,4.34,7.46,3.67,4.84,4.67,3.21,4.56,6.95,Quartier Nord,Zone Industrielle,2.06,7.44,26,5.07
TIM_01307,2024-01-01 00:00:00,2024,5,8,13,5.88,3.41,7,8.26,OUI,6.27,PM2.5,38.84,9.82,4.06,Soleil,2.53,7.24,9.73,1.76,7.50,5.15,4.33,3.16,8.33,9.69,ZAC Ouest,Parc Central,4.13,3.75,24,1.50
TIM_01308,2024-01-01 00:00:00,2024,6,21,22,5.06,7.44,28,7.72,NON,5.76,PM2.5,7.81,9.44,1.38,Soleil,5.49,1.11,9.67,8.91,1.59,7.52,3.09,6.72,8.98,1.41,Zone Industrielle,Parc Central,6.35,3.39,8,6.80
TIM_01309,2024-01-01 00:00:00,2024,8,4,21,6.43,8.41,16,5.63,OUI,9.83,NO2,47.58,8.60,7.81,Orage,6.46,1.99,3.83,2.42,7.56,2.19,5.36,7.21,4.55,6.80,Centre-Ville,Centre-Ville,6.58,5.23,15,7.88
TIM_01310,2024-01-01 00:00:00,2024,6,16,4,4.77,5.54,10,9.64,OUI,7.08,PM10,9.85,7.96,8.73,Pluie,2.94,6.72,1.26,5.30,9.87,6.40,5.48,2.30,8.34,1.61,Zone Industrielle,Quartier Nord,7.03,3.21,98,5.45
TIM_01311,2024-01-01 00:00:00,2024,1,15,16,2.18,6.32,10,1.99,OUI,3.94,PM2.5,12.52,8.01,4.19,Brouillard,8.15,8.13,3.17,7.37,5.90,1.64,8.61,6.67,7.87,7.05,Quartier Nord,ZAC Ouest,5.26,8.48,8,4.18
TIM_01312,2024-01-01 00:00:00,2024,11,3,17,5.04,5.79,28,7.36,OUI,5.62,PM10,15.87,7.44,1.99,Nuageux,4.52,8.36,8.34,6.73,1.45,8.52,3.41,9.55,6.27,9.30,Banlieue Sud,Centre-Ville,6.11,3.71,56,7.61
TIM_01313,2024-01-01 00:00:00,2024,2,26,11,5.53,1.51,15,4.85,NON,6.84,PM2.5,39.23,3.92,5.52,Orage,1.95,1.31,2.79,1.84,2.66,7.87,8.00,3.88,2.12,5.89,Banlieue Sud,Parc Central,9.42,6.68,54,6.04
TIM_01314,2024-01-01 00:00:00,2024,5,26,8,7.59,5.02,3,9.33,NON,5.52,PM10,49.59,6.22,8.46,Orage,8.94,6.55,2.00,3.72,7.81,1.43,3.77,1.85,4.51,1.92,Banlieue Sud,Banlieue Sud,3.51,7.59,8,8.78
TIM_01315,2024-01-01 00:00:00,2024,8,26,22,5.67,9.39,18,4.80,OUI,5.91,O3,21.26,3.89,4.49,Orage,3.83,5.44,5.60,6.08,9.41,8.74,9.77,9.89,8.86,6.90,Quartier Nord,Résidentiel,1.49,7.80,17,2.96
TIM_01316,2024-01-01 00:00:00,2024,2,10,0,7.69,9.75,1,6.32,NON,8.65,NO2,44.03,2.89,4.18,Nuageux,6.04,8.74,6.75,8.39,1.29,3.60,6.31,6.60,9.70,3.67,Centre-Ville,Parc Central,1.78,8.28,30,7.84
TIM_01317,2024-01-01 00:00:00,2024,6,21,5,1.99,5.87,11,1.28,NON,4.56,O3,45.96,6.69,9.08,Orage,2.63,5.76,9.78,2.29,6.94,1.86,5.66,1.79,8.65,8.13,Centre-Ville,Parc Central,6.42,3.57,47,6.08
TIM_01318,2024-01-01 00:00:00,2024,5,24,14,6.90,4.83,12,2.05,OUI,1.60,O3,20.02,5.70,1.61,Soleil,6.84,5.71,1.68,7.47,2.61,9.61,2.36,6.52,4.86,8.76,Résidentiel,Parc Central,1.37,8.66,27,4.57
TIM_01319,2024-01-01 00:00:00,2024,7,19,10,2.21,2.42,15,1.34,NON,4.42,PM10,34.12,4.39,8.67,Pluie,5.28,9.95,6.04,9.44,8.09,4.07,6.11,2.53,6.48,3.88,Quartier Nord,Quartier Nord,7.09,8.50,13,3.42
TIM_01320,2024-01-01 00:00:00,2024,11,16,10,6.69,8.48,22,1.27,NON,2.31,NO2,10.19,3.30,7.53,Orage,5.64,4.44,5.61,4.89,1.89,5.43,8.80,9.96,2.85,5.04,Banlieue Sud,Zone Industrielle,1.61,3.22,13,4.64
TIM_01321,2024-01-01 00:00:00,2024,10,12,21,5.57,1.36,15,4.78,OUI,5.65,O3,47.62,1.69,9.97,Pluie,9.31,8.13,4.66,4.10,3.01,5.17,10.00,7.25,9.46,5.77,Centre-Ville,Centre-Ville,4.15,4.25,90,4.31
TIM_01322,2024-01-01 00:00:00,2024,2,14,14,3.15,7.50,21,1.34,NON,1.07,CO2,43.51,2.51,9.28,Soleil,3.72,7.48,8.30,1.72,2.05,9.14,3.16,9.56,6.50,8.36,Zone Industrielle,Zone Industrielle,8.76,2.39,35,7.40
TIM_01323,2024-01-01 00:00:00,2024,1,8,1,4.61,7.51,24,5.40,NON,5.95,PM10,3.93,1.14,9.85,Nuageux,4.03,6.12,3.99,7.52,7.38,6.47,5.85,3.51,6.80,7.60,ZAC Ouest,Centre-Ville,8.47,7.54,21,8.77
TIM_01324,2024-01-01 00:00:00,2024,4,8,20,6.58,4.82,11,1.62,OUI,9.89,CO2,7.82,8.52,5.23,Nuageux,6.73,1.41,6.02,9.81,9.83,3.88,2.18,4.54,7.76,2.55,Résidentiel,ZAC Ouest,5.75,6.67,9,7.42
TIM_01325,2024-01-01 00:00:00,2024,7,12,2,1.12,2.22,4,4.16,NON,2.85,PM10,21.02,6.09,5.10,Brouillard,5.27,4.02,5.00,4.51,8.23,2.46,9.89,6.77,6.49,1.19,Résidentiel,Banlieue Sud,3.88,8.26,83,4.51
TIM_01326,2024-01-01 00:00:00,2024,6,24,9,2.65,2.28,25,7.50,OUI,9.77,PM10,33.80,8.96,7.83,Brouillard,1.13,6.98,5.57,1.83,5.93,6.49,4.85,3.92,7.61,7.96,Banlieue Sud,Banlieue Sud,8.92,4.86,57,8.29
TIM_01327,2024-01-01 00:00:00,2024,4,28,19,5.91,4.60,26,8.06,NON,1.89,NO2,37.97,6.99,9.24,Pluie,6.15,3.04,6.22,1.42,9.22,8.73,1.83,2.75,6.75,1.12,ZAC Ouest,Quartier Nord,5.40,9.66,93,5.38
TIM_01328,2024-01-01 00:00:00,2024,9,25,15,5.39,9.61,19,1.72,NON,1.40,SO2,9.43,2.05,8.36,Pluie,4.43,3.44,5.45,2.82,1.50,2.50,6.43,9.85,8.86,9.40,Banlieue Sud,Banlieue Sud,5.23,2.41,59,7.31
TIM_01329,2024-01-01 00:00:00,2024,10,28,21,6.92,5.20,13,4.88,NON,2.46,SO2,31.85,7.64,5.86,Soleil,8.05,4.56,1.65,1.43,8.28,3.58,3.71,4.28,8.21,7.17,Résidentiel,Quartier Nord,6.35,6.86,3,7.73
TIM_01330,2024-01-01 00:00:00,2024,3,20,11,4.92,8.13,18,6.34,NON,9.68,SO2,46.05,5.90,3.83,Soleil,6.73,8.12,8.75,4.19,6.79,2.49,9.69,4.72,9.65,3.42,Quartier Nord,Zone Industrielle,9.59,4.18,99,8.53
TIM_01331,2024-01-01 00:00:00,2024,6,11,1,7.89,7.81,22,7.72,NON,5.19,SO2,16.83,1.50,3.00,Soleil,2.29,6.24,7.86,2.40,1.08,8.97,7.66,5.39,7.54,4.20,Résidentiel,Parc Central,6.33,1.88,88,5.53
TIM_01332,2024-01-01 00:00:00,2024,10,5,0,4.27,4.43,21,9.10,OUI,9.07,O3,26.58,5.12,3.56,Nuageux,2.93,3.88,3.37,2.41,7.05,3.59,3.14,4.48,3.42,1.90,Résidentiel,Zone Industrielle,2.42,2.52,95,9.34
TIM_01333,2024-01-01 00:00:00,2024,10,5,13,6.24,2.28,7,1.66,NON,4.67,SO2,41.59,8.52,8.60,Brouillard,5.97,5.37,3.21,2.99,9.06,3.30,7.78,8.17,3.10,3.07,Résidentiel,Banlieue Sud,6.31,2.11,95,7.01
