col_mode_transport,col_polluant,col_emission_totale,col_emission_moyenne,col_concentration_moyenne,col_date,col_saison,col_ville,col_emission_par_usager_gkm,col_nb_usagers_journaliers,col_emission_totale_kg,col_concentration_ugm3,col_indice_qualite_air,col_source
Tramway,PM2.5,5.82,7.79,43.23,2024-09-12 00:00:00,7.97,Lille,7.77,8.66,1.95,58.24,6.44,SNCF_Open_Data
Métro,SO2,4.48,4.73,5.98,2024-02-15 00:00:00,2.82,Lyon,6.83,3.34,1.4,34.7,6.92,Data.gouv.fr
TGV,O3,5.09,4.55,29.76,2024-08-29 00:00:00,3.05,Strasbourg,8.36,6.06,6.21,57.96,2.65,Airparif
TGV,SO2,2.63,5.73,45.18,2024-02-08 00:00:00,6.01,Paris,5.94,4.95,1.23,79.42,7.3,RATP_Open_Data_2024
Tramway,NO2,3.74,4.43,20.84,2024-06-11 00:00:00,8.04,Nantes,6.83,6.37,5.03,35.85,2.54,Data.gouv.fr
Bus RATP,SO2,1.78,6.52,59.71,2024-05-25 00:00:00,6.91,Lille,3.52,3.2,7.55,27.89,6.39,Airparif
Bus RATP,PM10,5.18,3.6,75.04,2024-11-09 00:00:00,3.62,Bordeaux,7.15,3.74,3.01,10.19,7.71,Data.gouv.fr
Tramway,CO,8.16,3.27,43.15,2024-02-03 00:00:00,5.55,Strasbourg,2.52,7.23,7.65,63.78,2.05,Météo-France
Métro,CO,2.44,8.25,46.95,2024-01-29 00:00:00,8.59,Montpellier,1.32,2.5,7.25,18.18,3.93,SNCF_Open_Data
Transilien,PM10,7.98,6.35,17.76,2024-10-07 00:00:00,2.93,Lyon,5.56,7.72,1.76,9.25,1.37,SNCF_Open_Data
Bus RATP,NO2,5.02,5.73,15.74,2024-09-29 00:00:00,5.96,Nantes,7.13,4.22,6.71,61.43,7.71,RATP_Open_Data_2024
TER,PM2.5,4.45,7.49,62.11,2024-01-24 00:00:00,5.18,Strasbourg,3.27,8.53,2.36,55.91,4.92,SNCF_Open_Data
Tramway,PM10,6.94,6.0,19.24,2024-03-04 00:00:00,5.36,Nice,2.91,2.38,3.72,73.16,6.05,RATP_Open_Data_2024
RER,PM2.5,6.94,4.51,16.78,2024-04-08 00:00:00,7.91,Lille,1.4,8.5,2.59,82.64,3.2,Météo-France
RER,O3,4.12,3.33,21.88,2024-12-09 00:00:00,4.81,Lyon,3.99,3.39,4.76,43.4,5.26,Météo-France
RER,O3,4.4,7.44,20.31,2024-09-21 00:00:00,2.21,Bordeaux,8.54,5.39,1.59,74.65,8.45,Data.gouv.fr
Bus RATP,O3,5.6,2.19,63.37,2024-11-11 00:00:00,5.56,Toulouse,3.34,5.43,3.01,25.52,4.69,Airparif
Métro,O3,8.65,8.2,75.65,2024-06-26 00:00:00,5.48,Lille,2.14,3.68,2.15,60.01,2.3,Data.gouv.fr
Transilien,SO2,7.9,6.72,41.08,2024-03-02 00:00:00,3.46,Lyon,5.44,2.01,2.28,35.34,6.24,Airparif
TER,O3,6.52,3.98,10.03,2024-10-23 00:00:00,7.97,Nice,2.03,8.61,4.1,42.84,2.44,RATP_Open_Data_2024
Transilien,PM10,5.45,2.41,52.01,2024-05-31 00:00:00,2.12,Lille,7.51,5.1,6.1,73.76,1.59,Météo-France
Tramway,SO2,5.35,3.93,36.52,2024-11-14 00:00:00,7.66,Lyon,8.5,7.45,2.04,17.12,8.55,RATP_Open_Data_2024
Métro,PM2.5,6.12,4.36,40.29,2024-12-16 00:00:00,6.43,Montpellier,8.31,3.83,6.32,55.6,1.32,SNCF_Open_Data
Bus RATP,CO,6.57,3.15,38.8,2024-08-20 00:00:00,8.43,Strasbourg,5.3,5.04,2.34,69.83,7.32,Airparif
Métro,CO,4.51,2.21,68.52,2024-01-24 00:00:00,6.16,Montpellier,8.21,4.08,8.0,35.91,3.51,SNCF_Open_Data
Bus RATP,NO2,7.99,3.44,65.47,2024-09-08 00:00:00,2.0,Nice,1.27,5.45,5.83,55.64,5.78,Airparif
TGV,CO,6.63,2.9,7.41,2024-10-17 00:00:00,2.4,Paris,4.69,2.65,3.71,74.23,7.9,Data.gouv.fr
TGV,PM2.5,2.67,4.97,11.13,2024-12-23 00:00:00,8.55,Montpellier,6.46,5.85,2.95,80.27,4.2,Météo-France
TGV,O3,2.68,5.23,49.78,2024-05-10 00:00:00,3.81,Paris,5.78,8.11,3.55,35.27,3.75,SNCF_Open_Data
Bus RATP,O3,8.66,2.6,17.66,2024-05-03 00:00:00,6.27,Nantes,2.76,1.91,7.39,48.62,7.03,Airparif
Métro,NO2,1.75,6.26,82.36,2024-12-17 00:00:00,5.4,Paris,4.41,2.42,4.21,32.02,7.46,Météo-France
Bus RATP,O3,2.87,1.69,40.19,2024-02-23 00:00:00,6.93,Montpellier,7.92,7.75,5.24,69.26,6.29,Data.gouv.fr
RER,PM2.5,3.51,7.01,78.29,2024-08-21 00:00:00,5.68,Strasbourg,8.78,6.13,4.5,80.34,4.33,RATP_Open_Data_2024
TGV,O3,6.57,8.32,32.47,2024-10-12 00:00:00,3.5,Strasbourg,1.25,3.07,8.59,13.29,6.48,SNCF_Open_Data
Transilien,CO,3.03,5.48,67.11,2024-09-04 00:00:00,8.03,Paris,5.88,1.98,7.59,34.43,6.89,Data.gouv.fr
TER,PM2.5,7.72,7.65,82.43,2024-06-07 00:00:00,7.07,Montpellier,3.11,4.46,7.68,14.23,1.41,Airparif
Tramway,PM10,4.18,6.98,6.27,2024-07-20 00:00:00,5.7,Bordeaux,7.89,5.99,4.45,16.82,3.59,Airparif
RER,PM10,1.33,2.1,41.67,2024-07-09 00:00:00,5.31,Bordeaux,5.55,7.79,6.25,80.69,2.06,Data.gouv.fr
Tramway,NO2,4.16,4.77,15.99,2024-02-14 00:00:00,2.22,Nice,1.63,8.05,2.53,30.71,3.54,Airparif
RER,NO2,1.38,2.49,57.42,2024-03-09 00:00:00,8.21,Nantes,4.46,6.86,5.55,44.42,4.36,RATP_Open_Data_2024
Métro,PM2.5,6.01,3.33,15.19,2024-05-22 00:00:00,7.15,Lyon,5.99,5.52,5.25,51.21,4.77,RATP_Open_Data_2024
RER,PM10,7.95,5.96,66.66,2024-07-01 00:00:00,5.19,Bordeaux,5.42,1.44,5.41,77.49,5.62,SNCF_Open_Data
Bus RATP,CO,1.47,2.31,45.15,2024-12-15 00:00:00,7.76,Paris,4.23,2.76,6.08,19.7,4.71,Météo-France
RER,PM2.5,4.34,6.37,6.88,2024-09-20 00:00:00,4.44,Nantes,2.48,1.81,1.25,69.8,4.1,Airparif
TER,NO2,4.38,8.05,47.21,2024-03-25 00:00:00,5.08,Strasbourg,7.88,1.74,6.37,57.68,1.32,SNCF_Open_Data
Transilien,PM10,7.69,7.26,9.48,2024-09-21 00:00:00,3.71,Bordeaux,2.3,1.28,6.01,38.94,3.44,RATP_Open_Data_2024
Tramway,CO,8.19,7.21,24.62,2024-08-27 00:00:00,2.97,Nice,2.89,8.63,4.4,51.42,3.08,Météo-France
Bus RATP,SO2,3.09,8.03,55.75,2024-03-24 00:00:00,3.32,Lille,1.24,4.97,7.02,70.38,7.95,RATP_Open_Data_2024
Métro,PM2.5,7.33,8.14,73.17,2024-04-08 00:00:00,6.34,Bordeaux,8.5,8.61,3.86,10.29,5.13,SNCF_Open_Data
RER,CO,6.97,7.95,45.76,2024-01-29 00:00:00,3.37,Strasbourg,5.49,7.35,3.71,60.64,8.53,Airparif
Transilien,CO,8.03,5.09,13.61,2024-05-11 00:00:00,7.27,Bordeaux,1.54,6.15,2.39,2.48,5.56,RATP_Open_Data_2024
RER,NO2,5.85,2.17,19.79,2024-05-24 00:00:00,6.01,Strasbourg,4.28,3.89,1.82,82.84,4.67,Airparif
Bus RATP,NO2,7.55,8.13,71.4,2024-08-02 00:00:00,7.21,Toulouse,1.31,4.12,4.19,7.28,1.47,Airparif
RER,SO2,7.8,8.44,10.26,2024-01-20 00:00:00,2.86,Montpellier,6.24,1.22,5.57,71.61,5.25,Data.gouv.fr
TGV,NO2,7.91,4.91,7.13,2024-08-27 00:00:00,5.88,Strasbourg,3.28,1.93,7.67,68.84,8.06,SNCF_Open_Data
TGV,O3,6.19,6.83,39.52,2024-04-23 00:00:00,4.65,Toulouse,5.47,1.37,7.69,40.13,7.87,Airparif
Bus RATP,NO2,5.48,8.41,69.21,2024-02-14 00:00:00,6.48,Marseille,7.73,1.96,1.23,54.31,3.88,Météo-France
Tramway,PM2.5,6.57,3.27,34.71,2024-03-21 00:00:00,4.95,Lyon,2.85,7.41,1.63,65.59,4.16,SNCF_Open_Data
Métro,SO2,2.78,3.91,62.67,2024-02-29 00:00:00,2.66,Paris,5.7,4.26,7.89,59.52,3.67,SNCF_Open_Data
TER,PM2.5,8.67,4.42,21.05,2024-09-18 00:00:00,5.31,Bordeaux,5.72,6.3,2.23,71.21,1.3,Data.gouv.fr
TER,CO,3.47,8.44,81.4,2024-01-13 00:00:00,2.5,Lyon,3.56,3.47,6.12,62.19,6.89,Data.gouv.fr
Métro,O3,7.07,2.96,28.0,2024-06-06 00:00:00,1.28,Montpellier,3.08,5.02,8.01,23.04,2.16,Météo-France
Transilien,CO,2.3,8.31,58.48,2024-07-29 00:00:00,2.66,Toulouse,3.88,5.99,2.81,70.03,7.69,Airparif
Bus RATP,NO2,2.54,8.4,83.37,2024-01-18 00:00:00,7.82,Strasbourg,6.06,8.16,2.76,20.89,5.2,Airparif
Métro,SO2,2.76,5.26,65.64,2024-11-30 00:00:00,4.6,Nantes,5.12,2.1,3.37,78.22,5.54,Data.gouv.fr
RER,O3,4.18,3.74,71.27,2024-02-04 00:00:00,3.79,Paris,6.24,6.1,6.21,58.59,5.48,Data.gouv.fr
Transilien,NO2,2.45,6.38,18.98,2024-01-30 00:00:00,6.1,Paris,2.75,7.06,4.35,51.35,1.54,Data.gouv.fr
Métro,NO2,2.22,8.59,63.96,2024-01-05 00:00:00,4.34,Montpellier,6.95,1.96,7.49,73.21,3.62,Météo-France
Bus RATP,PM10,5.97,8.57,68.99,2024-11-11 00:00:00,2.93,Marseille,4.71,5.09,6.61,81.55,7.7,Météo-France
Métro,O3,6.99,4.98,62.13,2024-06-10 00:00:00,2.67,Bordeaux,1.72,6.93,6.12,13.08,4.23,Météo-France
Transilien,PM2.5,8.55,7.28,65.17,2024-08-16 00:00:00,5.76,Toulouse,7.36,5.71,1.9,22.84,8.11,SNCF_Open_Data
Tramway,O3,3.68,3.3,3.81,2024-12-15 00:00:00,6.23,Montpellier,8.14,4.38,4.18,8.4,2.71,Airparif
Transilien,SO2,5.31,2.6,82.57,2024-04-20 00:00:00,6.24,Lyon,7.31,5.23,3.14,14.73,7.91,Data.gouv.fr
Transilien,PM2.5,1.34,7.5,74.63,2024-12-20 00:00:00,6.48,Marseille,2.18,2.79,3.76,7.26,1.58,Data.gouv.fr
Métro,PM10,6.5,6.86,39.05,2024-10-17 00:00:00,3.6,Toulouse,7.9,5.16,5.65,67.74,7.07,Airparif
Métro,PM10,2.63,8.78,82.0,2024-02-23 00:00:00,7.67,Montpellier,7.96,7.44,2.7,65.65,3.49,SNCF_Open_Data
TER,PM2.5,6.11,2.66,8.86,2024-01-20 00:00:00,5.54,Montpellier,3.53,3.1,8.38,32.22,7.87,RATP_Open_Data_2024
Transilien,PM2.5,3.33,1.51,52.94,2024-02-09 00:00:00,7.72,Nantes,6.67,4.22,3.61,29.4,3.52,Airparif
Transilien,O3,4.33,4.19,23.21,2024-12-06 00:00:00,5.87,Nice,2.03,7.67,2.32,73.16,3.26,SNCF_Open_Data
RER,NO2,8.38,8.43,59.75,2024-10-21 00:00:00,4.04,Paris,2.44,8.21,7.16,79.58,5.69,SNCF_Open_Data
RER,SO2,6.89,2.77,43.46,2024-08-29 00:00:00,3.42,Nantes,1.55,5.49,8.49,25.52,4.6,Météo-France
Bus RATP,CO,7.95,7.13,76.02,2024-08-09 00:00:00,5.34,Paris,4.97,7.85,7.02,28.39,5.78,SNCF_Open_Data
Bus RATP,CO,2.27,7.34,67.36,2024-02-01 00:00:00,5.56,Lille,3.28,3.73,1.97,39.33,6.28,Data.gouv.fr
RER,NO2,6.92,4.49,3.3,2024-12-07 00:00:00,5.95,Montpellier,7.69,1.58,6.98,28.97,2.17,SNCF_Open_Data
Tramway,NO2,5.55,4.71,10.18,2024-03-22 00:00:00,6.6,Strasbourg,8.64,8.0,7.99,32.22,2.13,Airparif
TGV,PM10,5.36,3.24,36.64,2024-11-14 00:00:00,7.39,Nantes,5.35,2.57,6.59,71.11,4.09,RATP_Open_Data_2024
Tramway,O3,3.7,3.68,5.8,2024-04-25 00:00:00,2.54,Nice,4.1,3.88,7.88,20.43,4.74,SNCF_Open_Data
Tramway,CO,7.07,4.66,10.15,2024-03-26 00:00:00,3.07,Paris,6.5,4.31,4.65,42.32,5.45,SNCF_Open_Data
TER,PM2.5,1.26,8.37,5.43,2024-01-09 00:00:00,2.94,Paris,1.68,8.46,8.21,63.18,2.94,SNCF_Open_Data
Tramway,PM2.5,5.12,3.29,10.55,2024-11-15 00:00:00,4.1,Lille,4.91,3.59,2.41,67.0,3.86,RATP_Open_Data_2024
RER,SO2,2.44,2.7,21.2,2024-01-30 00:00:00,6.18,Bordeaux,2.28,3.79,3.64,40.32,5.21,Météo-France
Bus RATP,CO,8.79,3.48,53.19,2024-05-07 00:00:00,7.17,Nice,4.93,5.35,4.33,37.74,8.07,SNCF_Open_Data
TER,NO2,1.65,4.43,53.52,2024-03-18 00:00:00,1.82,Strasbourg,3.48,5.83,3.64,52.54,4.37,SNCF_Open_Data
RER,PM10,4.24,3.97,43.95,2024-08-25 00:00:00,4.16,Marseille,2.49,7.7,6.9,6.7,8.6,SNCF_Open_Data
Bus RATP,SO2,6.58,5.92,43.06,2024-07-14 00:00:00,2.9,Nantes,2.17,6.98,8.25,80.36,7.7,RATP_Open_Data_2024
Métro,CO,6.95,8.52,32.9,2024-07-31 00:00:00,3.91,Toulouse,2.08,2.16,4.72,32.11,1.22,Météo-France
Transilien,PM10,5.41,3.41,5.21,2024-11-16 00:00:00,4.24,Nice,8.67,7.05,7.05,5.24,7.29,Météo-France
TGV,O3,5.88,1.21,9.49,2024-09-21 00:00:00,2.12,Toulouse,8.22,2.55,3.66,58.01,4.48,RATP_Open_Data_2024
Tramway,PM10,6.7,3.73,53.51,2024-09-02 00:00:00,4.24,Bordeaux,5.38,5.72,1.23,31.69,3.46,Météo-France
TER,SO2,2.57,3.45,58.4,2024-07-07 00:00:00,8.1,Strasbourg,4.07,6.72,6.44,72.34,3.42,SNCF_Open_Data
Transilien,PM10,4.55,1.82,39.81,2024-08-11 00:00:00,2.05,Lyon,8.27,5.88,2.67,38.24,5.83,Data.gouv.fr
RER,PM2.5,7.52,3.35,76.44,2024-12-07 00:00:00,1.42,Strasbourg,8.49,6.94,4.43,52.92,7.61,Airparif
TER,PM10,6.32,2.26,75.37,2024-09-30 00:00:00,4.84,Lyon,1.3,4.99,5.59,19.99,2.05,Airparif
Bus RATP,PM2.5,7.2,2.12,43.01,2024-01-12 00:00:00,7.15,Marseille,8.2,4.1,4.29,16.32,1.95,Météo-France
TER,SO2,1.93,8.39,84.2,2024-09-30 00:00:00,8.12,Bordeaux,7.76,8.19,6.94,75.05,7.5,Data.gouv.fr
TGV,NO2,4.08,8.61,6.21,2024-07-31 00:00:00,1.4,Strasbourg,4.11,7.59,7.28,48.93,1.86,Airparif
Métro,O3,3.23,1.52,22.91,2024-07-25 00:00:00,3.99,Marseille,3.05,7.66,3.67,41.61,7.22,Airparif
Métro,CO,7.57,7.52,48.77,2024-07-30 00:00:00,8.34,Marseille,7.56,6.14,4.74,50.59,6.57,Airparif
RER,SO2,7.42,5.41,61.26,2024-02-21 00:00:00,3.07,Bordeaux,6.14,7.8,3.46,33.66,8.16,Data.gouv.fr
RER,PM10,1.64,7.23,68.47,2024-03-10 00:00:00,6.82,Toulouse,4.21,4.29,1.74,53.44,7.94,Data.gouv.fr
RER,PM10,7.6,6.38,58.37,2024-08-31 00:00:00,2.53,Lyon,6.67,1.79,6.01,52.66,4.73,RATP_Open_Data_2024
TER,SO2,7.97,3.31,63.89,2024-07-07 00:00:00,2.2,Lille,2.48,6.14,3.6,5.67,2.16,Météo-France
Tramway,PM2.5,3.64,4.47,52.66,2024-08-14 00:00:00,2.62,Lille,6.13,2.7,8.32,42.53,1.35,Airparif
TER,SO2,2.49,4.49,28.59,2024-04-15 00:00:00,5.77,Paris,3.65,5.5,5.42,37.07,7.98,RATP_Open_Data_2024
Transilien,CO,2.51,5.32,65.02,2024-11-16 00:00:00,8.29,Marseille,2.88,5.5,7.0,78.49,8.06,Data.gouv.fr
Transilien,CO,6.44,3.02,63.33,2024-09-08 00:00:00,6.08,Toulouse,1.49,4.13,8.07,62.53,5.27,SNCF_Open_Data
Tramway,PM2.5,7.89,6.0,82.41,2024-06-12 00:00:00,5.19,Nantes,5.01,3.72,7.71,43.94,7.98,Météo-France
Transilien,PM2.5,4.38,7.92,79.68,2024-02-12 00:00:00,3.92,Toulouse,2.36,7.07,5.04,39.52,1.93,Airparif
Bus RATP,CO,2.68,7.17,52.27,2024-08-02 00:00:00,2.99,Bordeaux,1.9,5.25,2.24,12.56,1.85,RATP_Open_Data_2024
TGV,SO2,1.56,3.41,22.73,2024-12-24 00:00:00,4.44,Lyon,4.61,3.4,2.02,33.2,8.0,Data.gouv.fr
Métro,O3,6.18,2.28,24.25,2024-02-03 00:00:00,7.21,Lille,6.16,6.46,7.24,37.53,6.22,RATP_Open_Data_2024
TGV,PM2.5,7.62,3.75,43.66,2024-03-09 00:00:00,5.95,Lyon,6.07,2.95,3.92,82.65,6.64,Météo-France
TGV,SO2,4.65,2.32,80.48,2024-11-26 00:00:00,1.79,Montpellier,4.0,7.95,2.45,12.76,7.67,Data.gouv.fr
Transilien,SO2,6.28,5.1,12.79,2024-04-23 00:00:00,5.44,Nantes,6.75,8.65,8.39,51.78,3.94,RATP_Open_Data_2024
Métro,CO,4.95,4.5,78.8,2024-05-07 00:00:00,5.92,Bordeaux,7.84,4.93,7.43,9.51,4.08,Airparif
TER,O3,7.75,2.88,11.87,2024-06-16 00:00:00,2.6,Lille,4.11,8.27,6.69,37.5,3.89,Data.gouv.fr
Transilien,NO2,5.03,6.68,84.66,2024-12-15 00:00:00,8.34,Marseille,3.53,6.26,3.98,72.15,7.44,Data.gouv.fr
TER,O3,2.63,5.1,17.54,2024-05-25 00:00:00,7.87,Bordeaux,3.23,4.84,1.35,12.81,1.61,SNCF_Open_Data
TGV,PM2.5,7.2,8.08,64.29,2024-03-20 00:00:00,2.01,Lille,8.24,6.45,2.5,10.65,1.58,Airparif
Transilien,CO,8.48,3.24,72.99,2024-09-27 00:00:00,4.61,Paris,1.59,4.0,3.76,57.85,2.35,RATP_Open_Data_2024
TGV,O3,2.5,5.52,30.4,2024-02-29 00:00:00,8.1,Bordeaux,2.09,7.34,7.29,12.79,7.99,Airparif
Transilien,PM2.5,5.02,3.54,10.07,2024-07-07 00:00:00,3.81,Montpellier,5.89,5.23,1.34,3.33,1.59,Airparif
Métro,O3,4.9,1.63,17.42,2024-10-15 00:00:00,1.34,Paris,7.67,2.13,6.9,57.86,7.29,Météo-France
TER,O3,5.54,2.77,36.77,2024-07-10 00:00:00,2.98,Bordeaux,1.8,3.41,5.69,36.65,3.75,SNCF_Open_Data
TER,PM10,7.58,4.89,38.32,2024-02-15 00:00:00,3.82,Montpellier,3.9,6.59,6.91,32.1,2.3,Airparif
Transilien,CO,4.46,8.38,32.39,2024-06-09 00:00:00,2.62,Bordeaux,7.93,6.85,6.33,3.79,4.89,Data.gouv.fr
Bus RATP,PM2.5,3.79,4.81,47.37,2024-06-27 00:00:00,3.22,Lille,3.08,1.8,7.39,25.17,5.34,Airparif
TGV,CO,3.73,1.59,79.03,2024-02-24 00:00:00,4.22,Nantes,3.38,5.43,5.16,13.36,3.79,SNCF_Open_Data
Bus RATP,O3,5.25,6.08,77.75,2024-12-06 00:00:00,3.37,Lyon,4.04,4.12,1.38,24.12,6.84,Airparif
Tramway,SO2,3.12,6.88,40.28,2024-08-27 00:00:00,8.75,Bordeaux,4.5,1.9,7.14,24.98,6.56,SNCF_Open_Data
TGV,PM10,7.23,5.78,15.51,2024-10-01 00:00:00,4.04,Paris,8.18,3.84,5.19,48.13,7.17,Météo-France
RER,SO2,8.19,2.17,55.1,2024-10-07 00:00:00,3.45,Lyon,3.06,6.5,7.21,37.6,8.14,Météo-France
Bus RATP,CO,5.88,2.87,68.69,2024-01-11 00:00:00,3.95,Lyon,6.15,3.71,1.55,13.25,1.35,Data.gouv.fr
Transilien,O3,6.14,5.85,66.27,2024-01-12 00:00:00,8.5,Bordeaux,8.1,1.78,5.14,41.19,1.52,Météo-France
Tramway,CO,2.67,8.05,61.08,2024-08-20 00:00:00,2.12,Nantes,4.04,7.85,4.11,61.95,5.7,SNCF_Open_Data
Bus RATP,NO2,8.67,6.28,32.86,2024-11-02 00:00:00,2.37,Paris,8.05,2.66,7.3,67.84,7.53,Airparif
Métro,NO2,2.45,4.52,70.8,2024-08-14 00:00:00,5.99,Nice,1.44,1.91,4.55,28.93,3.56,Météo-France
Bus RATP,PM2.5,7.18,3.67,68.91,2024-07-10 00:00:00,8.69,Montpellier,2.05,4.16,3.93,25.78,8.2,RATP_Open_Data_2024
TGV,SO2,8.04,8.49,6.0,2024-01-07 00:00:00,2.44,Nantes,6.01,7.01,6.84,9.97,4.41,Airparif
TER,NO2,1.59,3.62,67.4,2024-09-16 00:00:00,2.27,Marseille,6.72,3.48,1.59,37.08,5.02,RATP_Open_Data_2024
TGV,O3,5.83,2.42,49.59,2024-06-09 00:00:00,5.22,Nice,1.5,1.24,6.69,84.69,2.23,Météo-France
Bus RATP,SO2,4.15,7.8,29.55,2024-12-14 00:00:00,4.17,Paris,5.98,5.68,5.23,67.42,6.08,Airparif
TGV,CO,5.08,2.27,23.49,2024-04-02 00:00:00,7.17,Nantes,3.69,7.64,6.36,5.43,6.3,Airparif
Transilien,NO2,6.64,2.46,71.04,2024-03-13 00:00:00,3.02,Marseille,3.72,1.89,5.78,68.79,1.93,RATP_Open_Data_2024
TGV,O3,2.14,8.77,80.87,2024-06-02 00:00:00,5.72,Lille,7.84,1.63,7.23,8.91,1.56,Météo-France
TGV,CO,8.46,6.46,15.94,2024-09-26 00:00:00,2.09,Toulouse,2.06,8.44,5.15,59.62,3.52,Data.gouv.fr
Tramway,PM2.5,8.03,4.6,74.42,2024-07-26 00:00:00,5.73,Strasbourg,8.03,5.31,2.06,35.4,8.36,Airparif
Métro,NO2,5.68,3.62,80.27,2024-11-03 00:00:00,6.66,Lyon,4.21,5.17,6.05,3.43,5.81,Airparif
RER,O3,8.46,3.1,39.17,2024-01-20 00:00:00,8.15,Strasbourg,3.04,1.93,5.82,44.78,4.29,RATP_Open_Data_2024
TER,O3,1.57,8.48,46.34,2024-04-16 00:00:00,3.1,Strasbourg,8.19,5.95,6.6,15.8,5.81,SNCF_Open_Data
TER,SO2,8.6,4.18,9.01,2024-12-04 00:00:00,5.66,Strasbourg,7.03,3.65,7.93,21.65,2.83,Airparif
TER,NO2,5.91,5.18,30.46,2024-05-19 00:00:00,4.18,Lille,2.95,5.37,4.93,43.7,6.91,Météo-France
Tramway,CO,4.41,2.25,16.11,2024-01-14 00:00:00,7.29,Lille,6.0,4.71,7.28,49.26,5.29,SNCF_Open_Data
Métro,NO2,1.41,6.44,69.29,2024-03-29 00:00:00,1.23,Montpellier,3.71,5.55,8.66,53.2,8.78,Météo-France
Métro,NO2,3.48,5.58,29.92,2024-12-16 00:00:00,8.58,Paris,6.68,4.17,3.33,73.7,5.22,Airparif
RER,O3,4.85,4.49,47.05,2024-08-02 00:00:00,4.85,Toulouse,6.26,2.41,3.07,79.9,4.98,Météo-France
Bus RATP,O3,4.14,7.86,26.57,2024-09-06 00:00:00,8.19,Paris,4.2,4.43,5.38,53.14,4.8,Airparif
TGV,O3,5.69,4.77,33.28,2024-06-26 00:00:00,4.11,Toulouse,8.45,3.94,6.15,80.56,3.81,RATP_Open_Data_2024
RER,O3,2.66,2.14,63.91,2024-02-02 00:00:00,5.17,Lyon,4.26,2.12,1.8,5.44,8.53,RATP_Open_Data_2024
Métro,SO2,4.06,2.19,46.76,2024-08-05 00:00:00,6.33,Nantes,2.18,2.39,3.17,62.79,6.09,SNCF_Open_Data
Métro,NO2,4.54,4.46,64.6,2024-03-21 00:00:00,7.96,Paris,6.32,8.3,3.63,58.23,3.27,RATP_Open_Data_2024
Métro,PM2.5,3.53,1.85,73.11,2024-11-21 00:00:00,4.75,Paris,4.4,7.79,4.38,80.7,3.57,RATP_Open_Data_2024
TGV,NO2,3.49,7.74,79.7,2024-03-07 00:00:00,2.81,Bordeaux,5.24,3.84,8.69,52.97,6.24,Airparif
Métro,NO2,6.48,6.29,58.01,2024-08-17 00:00:00,8.07,Nantes,6.36,2.19,5.95,43.99,8.12,Météo-France
TER,PM2.5,3.46,5.82,8.74,2024-09-01 00:00:00,4.58,Lyon,2.92,4.39,2.35,80.11,5.88,SNCF_Open_Data
Transilien,NO2,1.71,5.34,56.68,2024-09-11 00:00:00,8.69,Paris,4.54,7.82,8.4,15.22,1.7,RATP_Open_Data_2024
Tramway,O3,6.28,4.8,55.01,2024-07-16 00:00:00,1.67,Toulouse,7.87,8.51,7.21,56.87,2.25,Airparif
Métro,O3,4.09,8.18,38.69,2024-08-04 00:00:00,7.18,Toulouse,7.23,7.41,7.51,69.33,1.23,Météo-France
Bus RATP,O3,4.62,7.85,4.91,2024-04-02 00:00:00,2.55,Paris,4.95,3.03,3.33,72.16,5.99,Météo-France
TER,CO,2.27,7.32,35.92,2024-07-20 00:00:00,5.9,Paris,4.22,6.43,6.6,49.96,3.19,Airparif
RER,SO2,3.27,3.44,79.3,2024-02-21 00:00:00,6.65,Lyon,3.03,6.14,6.77,43.77,4.76,Météo-France
Bus RATP,PM10,1.45,5.49,76.19,2024-12-06 00:00:00,4.03,Nantes,2.12,5.01,7.97,72.77,2.68,Airparif
Bus RATP,CO,4.89,3.2,38.59,2024-04-08 00:00:00,3.36,Strasbourg,4.49,4.45,6.25,40.54,8.48,Data.gouv.fr
Métro,PM10,8.66,7.11,80.51,2024-05-11 00:00:00,2.53,Lyon,5.18,3.86,3.58,62.94,7.35,Météo-France
RER,SO2,6.89,3.64,22.5,2024-03-29 00:00:00,7.92,Toulouse,3.25,1.43,2.9,75.99,1.35,SNCF_Open_Data
Bus RATP,CO,4.5,7.36,63.49,2024-05-07 00:00:00,2.37,Bordeaux,2.92,2.5,8.3,45.1,5.61,SNCF_Open_Data
RER,NO2,6.95,2.53,75.97,2024-12-19 00:00:00,1.38,Bordeaux,4.74,4.28,8.58,59.52,6.37,Data.gouv.fr
TER,PM2.5,2.34,3.3,66.6,2024-02-08 00:00:00,2.39,Lyon,5.28,5.85,4.34,73.19,6.1,Météo-France
Transilien,SO2,4.27,3.2,70.88,2024-04-13 00:00:00,3.91,Lille,5.28,1.53,6.56,71.28,1.34,SNCF_Open_Data
TER,NO2,4.51,5.36,15.44,2024-05-20 00:00:00,2.64,Nantes,6.91,4.88,8.4,10.47,5.3,RATP_Open_Data_2024
RER,PM2.5,5.21,7.19,38.81,2024-09-30 00:00:00,2.81,Marseille,6.66,3.65,2.36,75.45,6.26,Météo-France
Bus RATP,SO2,4.86,5.02,55.85,2024-01-03 00:00:00,2.04,Paris,6.86,3.99,1.55,73.18,7.77,Data.gouv.fr
RER,NO2,5.67,7.64,17.21,2024-04-13 00:00:00,1.95,Paris,2.12,8.23,3.37,53.93,4.49,Data.gouv.fr
Transilien,SO2,8.26,3.19,20.65,2024-11-12 00:00:00,8.3,Strasbourg,7.34,5.08,3.46,78.68,6.34,RATP_Open_Data_2024
