col_categorie_vehicule,col_age_vehicule,col_annee_mise_circulation,col_emissions_co2_g_km,col_emissions_nox_g_km,col_emissions_pm25_g_km,col_emissions_co_g_km,col_emissions_hc_g_km,col_consommation_l_100km,col_classe_environmentale,col_impact_sante,col_annee,col_scenario,col_age_moyen_parc,col_emissions_moyennes_co2_g_km,col_pourcentage_vehicules_propres,col_reduction_emissions_pct,col_pourcentage_parc,col_nombre_estime
3.26,2.44,45.305242,7.21,4.79,2.73,4.1,4.31,7.68,3.54,1.8,1.33,7.79,1.82,7.66,1.31,5.39,1.9,2024-04-16 00:00:00
3.39,5.05,50.901704,2.92,1.74,8.8,3.06,3.48,7.74,3.71,8.41,3.49,1.89,8.75,6.48,6.04,2.55,4.95,2024-03-12 00:00:00
7.41,8.26,48.969713,3.63,2.12,1.83,3.3,4.06,2.33,2.68,5.67,4.78,3.83,8.03,3.48,4.93,5.2,7.55,2024-05-11 00:00:00
7.05,7.85,50.766089,1.7,7.42,4.75,2.93,7.77,1.93,5.09,5.03,8.17,2.45,5.73,3.81,4.93,2.11,1.83,2024-04-25 00:00:00
3.02,1.53,50.467061,2.3,4.71,2.49,3.98,4.9,4.63,8.05,3.91,2.19,5.6,2.14,6.06,1.3,5.52,5.97,2024-08-05 00:00:00
5.41,2.65,46.140553,6.81,1.35,2.62,7.36,6.47,7.7,6.98,4.68,5.06,8.67,4.41,7.67,3.91,8.37,1.46,2024-04-05 00:00:00
8.41,4.96,45.440155,7.31,1.69,8.0,3.07,8.03,3.37,4.55,1.69,5.79,3.52,8.05,1.2,1.83,6.72,1.28,2024-05-30 00:00:00
8.52,3.65,48.675539,2.97,5.98,2.08,7.73,1.98,2.24,4.48,5.5,6.03,2.57,3.9,6.4,6.34,6.27,4.14,2024-11-13 00:00:00
7.09,2.93,45.170802,1.66,7.47,5.86,8.48,8.54,5.03,6.14,4.08,3.75,4.49,6.08,5.16,5.32,5.38,6.41,2024-12-12 00:00:00
6.33,4.13,49.503912,6.75,3.57,7.75,4.14,7.27,1.97,7.05,2.04,8.3,3.09,7.03,1.23,7.92,1.82,6.86,2024-04-23 00:00:00
6.48,3.19,51.429038,5.64,4.31,7.45,8.77,4.36,3.49,5.32,1.55,5.69,7.12,7.89,5.13,6.81,7.44,4.55,2024-08-13 00:00:00
2.16,6.71,52.612802,3.18,1.66,8.38,7.0,6.27,3.44,2.98,4.17,8.49,4.07,7.96,5.38,2.43,2.37,7.83,2024-08-30 00:00:00
5.38,6.79,46.119738,5.95,2.28,1.24,2.48,4.55,6.01,1.56,5.75,2.46,8.7,4.22,7.57,2.29,6.32,6.61,2024-07-15 00:00:00
6.9,4.64,46.424114,6.76,3.1,4.34,1.31,4.19,6.25,7.27,4.69,2.87,8.17,3.28,1.41,6.7,3.54,3.04,2024-03-12 00:00:00
5.74,7.02,47.487192,8.53,4.88,8.8,5.82,3.1,7.58,5.31,5.34,5.14,3.2,5.95,5.84,4.05,4.88,2.19,2024-10-31 00:00:00
1.62,2.44,48.89478,8.33,5.73,3.68,3.83,4.79,8.26,3.15,4.21,2.84,7.67,4.34,8.33,7.16,6.44,1.9,2024-03-08 00:00:00
5.54,5.59,47.923276,6.15,3.83,3.99,5.25,5.4,5.79,3.67,1.79,5.79,6.21,7.55,4.71,6.92,4.32,5.94,2024-05-30 00:00:00
8.77,7.17,47.415919,7.43,3.78,1.4,2.56,3.34,2.08,1.89,3.66,1.38,3.71,5.75,2.25,8.71,5.48,2.4,2024-08-05 00:00:00
5.92,7.5,52.703342,4.18,7.6,5.72,8.07,7.15,1.98,5.75,6.92,4.23,5.74,5.3,3.66,5.47,4.11,8.73,2024-10-23 00:00:00
7.77,7.58,52.707395,6.63,3.95,7.78,2.63,3.78,7.48,1.45,8.54,5.87,1.39,2.35,8.04,4.86,3.27,5.09,2024-03-21 00:00:00
3.89,4.87,49.896004,1.91,2.8,5.27,3.57,5.1,1.46,5.49,7.44,7.15,7.57,8.76,3.49,8.15,5.97,1.5,2024-03-29 00:00:00
2.22,8.64,48.468209,8.05,7.42,3.27,5.46,5.22,7.82,3.71,8.33,8.49,8.69,7.97,4.71,8.76,8.73,5.5,2024-09-17 00:00:00
7.19,7.02,50.538777,8.09,6.05,5.84,3.85,3.13,8.06,6.1,1.68,7.45,6.92,8.25,8.55,4.73,8.38,4.81,2024-06-24 00:00:00
8.37,2.48,49.093458,7.37,1.96,2.36,8.3,7.2,8.68,7.34,6.88,7.86,3.33,3.33,4.5,6.22,7.88,2.08,2024-10-01 00:00:00
1.95,2.76,46.883172,8.77,6.07,2.49,2.1,2.73,1.39,3.23,1.46,5.72,8.35,2.91,3.17,4.03,1.31,5.57,2024-04-14 00:00:00
3.32,1.36,51.452219,8.52,8.55,7.33,5.83,3.34,2.64,3.74,5.8,4.07,8.17,2.06,4.14,1.74,8.25,7.61,2024-07-15 00:00:00
7.76,6.48,51.267015,1.68,8.67,6.24,6.71,8.3,5.52,6.81,2.28,8.5,2.07,2.78,6.77,7.36,4.63,1.49,2024-09-01 00:00:00
8.17,6.18,50.443571,8.44,2.96,7.62,5.74,1.73,8.41,2.64,6.81,3.11,1.48,5.0,7.67,6.24,3.34,3.52,2024-07-30 00:00:00
7.79,1.65,48.621548,6.66,6.59,2.78,4.3,8.42,3.99,4.11,4.53,2.05,5.58,8.31,5.7,7.08,7.28,3.17,2024-03-12 00:00:00
4.84,6.4,46.434321,7.0,1.75,2.37,3.7,7.42,4.86,2.71,6.74,3.73,2.06,7.19,3.0,5.96,4.79,5.21,2024-07-03 00:00:00
3.54,5.69,45.237233,4.9,3.47,3.39,3.52,5.76,3.0,6.47,3.16,8.7,6.92,5.56,2.58,8.05,6.44,8.02,2024-07-06 00:00:00
2.76,3.19,48.064706,2.52,5.24,2.61,3.8,7.97,1.45,3.98,7.8,3.41,7.12,6.58,3.12,5.74,4.44,2.96,2024-10-15 00:00:00
2.36,4.11,51.99767,7.4,1.31,6.43,7.44,4.39,5.4,1.97,4.16,1.64,7.76,6.03,7.43,6.05,7.78,2.4,2024-12-10 00:00:00
6.65,8.01,47.923589,1.55,6.37,7.95,1.26,6.73,7.21,5.1,1.46,6.63,2.19,4.44,1.6,5.61,6.2,1.93,2024-08-26 00:00:00
3.26,8.34,45.906499,3.56,5.32,6.2,6.13,3.29,8.52,3.51,1.52,7.09,1.68,3.13,2.4,2.09,6.2,4.6,2024-11-05 00:00:00
1.65,8.01,48.953907,2.1,1.55,2.03,7.44,8.23,6.46,6.34,4.53,5.82,7.54,3.75,1.4,4.07,6.55,1.21,2024-04-25 00:00:00
4.44,5.48,47.882261,5.13,4.06,7.4,6.93,2.7,4.71,2.12,7.67,3.28,2.72,8.24,8.17,4.55,4.24,3.7,2024-08-22 00:00:00
6.31,6.54,46.66681,3.11,1.21,5.3,6.43,3.87,1.27,2.3,3.09,3.22,3.0,2.36,1.4,3.47,2.66,3.76,2024-05-03 00:00:00
2.19,8.43,49.576789,6.99,5.03,2.63,1.93,1.56,3.15,5.48,7.08,2.19,7.17,4.7,7.95,2.65,1.72,6.16,2024-09-06 00:00:00
5.24,4.44,46.327563,7.5,6.66,7.77,7.27,4.28,1.35,2.26,2.14,2.45,4.0,8.78,2.18,7.74,4.29,2.98,2024-07-06 00:00:00
3.97,1.99,52.788742,8.09,2.18,1.27,2.91,4.2,1.78,5.86,6.68,6.0,3.45,2.94,5.64,2.97,5.63,7.87,2024-11-06 00:00:00
7.88,1.2,47.837077,7.74,6.91,3.8,2.34,3.65,4.04,7.94,4.11,6.9,2.67,7.89,3.67,7.1,6.05,8.58,2024-08-05 00:00:00
6.26,4.85,52.550054,7.97,5.1,5.14,3.19,3.81,7.02,6.02,1.66,3.69,1.61,2.99,1.23,6.75,4.23,1.92,2024-05-25 00:00:00
3.4,2.5,47.951709,2.47,4.16,4.25,8.65,3.29,5.29,6.27,4.28,1.88,7.3,3.57,3.96,3.45,8.45,7.93,2024-11-10 00:00:00
3.81,7.56,49.506847,3.81,4.38,2.14,7.75,6.51,7.87,3.61,4.9,8.01,4.53,6.02,7.76,4.02,5.35,5.45,2024-07-19 00:00:00
3.06,4.38,51.68992,2.66,7.5,4.31,5.57,7.13,4.62,5.25,5.37,5.85,5.78,5.62,5.37,5.87,7.67,8.2,2024-06-04 00:00:00
4.82,8.49,50.886235,5.49,5.41,5.48,6.43,4.65,7.63,2.64,2.4,4.0,4.01,8.57,2.22,8.34,3.75,8.15,2024-12-19 00:00:00
8.21,2.52,45.994936,3.54,8.57,5.17,6.5,3.54,7.26,5.82,7.4,8.67,5.62,4.35,6.07,6.35,7.33,5.6,2024-10-14 00:00:00
4.41,1.23,47.864391,2.71,6.64,1.29,8.65,4.02,2.54,5.6,3.27,6.69,5.55,2.0,2.79,1.79,4.93,5.54,2024-08-24 00:00:00
4.86,6.09,48.179362,8.56,6.34,1.33,7.1,4.27,3.01,6.72,2.76,8.2,5.99,3.94,7.72,1.51,6.06,5.91,2024-04-19 00:00:00
4.56,5.32,50.395065,3.15,3.97,4.58,3.25,5.48,1.78,6.93,4.24,1.58,8.48,4.62,7.74,3.29,1.72,1.61,2024-10-24 00:00:00
8.69,3.91,50.348923,3.91,7.03,5.53,3.98,8.29,5.27,1.8,1.72,4.06,5.98,2.19,4.24,3.65,5.6,7.64,2024-06-08 00:00:00
6.6,5.2,49.78693,3.49,4.82,3.26,2.31,8.43,7.79,4.99,3.28,8.65,5.98,6.42,8.12,4.75,1.53,6.0,2024-04-24 00:00:00
7.82,3.49,50.870822,7.14,3.39,3.69,6.59,2.85,4.93,8.16,8.66,3.26,5.03,5.6,2.78,7.52,1.76,4.98,2024-06-05 00:00:00
5.06,3.26,48.137678,7.5,4.21,6.58,1.64,1.36,1.69,8.46,3.35,5.77,5.93,5.77,7.1,7.64,1.6,3.54,2024-09-22 00:00:00
6.42,5.78,50.786324,2.54,5.92,3.07,7.27,2.11,8.16,6.34,7.07,3.28,4.7,8.11,2.81,5.44,5.31,8.15,2024-04-12 00:00:00
7.9,6.16,51.56415,2.57,6.12,3.37,2.39,6.11,5.88,8.35,3.82,4.1,1.42,2.34,7.8,2.02,3.14,2.61,2024-05-29 00:00:00
7.16,4.77,52.805849,5.15,5.94,5.41,5.41,5.12,7.63,6.12,7.32,7.39,3.95,2.0,8.26,1.4,1.26,3.4,2024-10-31 00:00:00
2.86,3.56,49.737259,1.57,6.94,8.71,6.31,2.31,7.63,3.23,4.2,1.25,8.3,6.02,6.3,4.36,2.81,3.34,2024-09-01 00:00:00
2.38,5.22,47.029359,4.43,8.13,4.89,5.47,7.83,4.62,5.82,2.2,8.09,2.93,5.88,2.07,2.39,7.79,6.01,2024-03-06 00:00:00
4.3,1.36,52.165343,4.24,5.57,2.65,2.67,5.64,8.29,1.49,3.59,2.67,1.74,8.6,3.1,7.86,4.55,2.16,2024-11-02 00:00:00
6.97,5.65,46.646258,8.56,7.38,1.69,1.43,6.2,7.21,1.67,7.23,7.67,2.42,4.12,4.89,5.99,7.32,4.86,2024-10-04 00:00:00
3.69,6.03,45.224008,2.24,7.02,6.28,2.0,4.65,4.35,2.93,6.7,3.06,6.99,2.63,5.77,5.59,1.34,1.28,2024-06-30 00:00:00
6.97,3.27,51.944304,8.34,1.97,6.35,7.64,5.93,6.05,3.49,7.52,3.45,1.75,5.44,1.37,3.92,7.42,8.3,2024-07-22 00:00:00
2.38,5.78,51.847936,3.51,6.81,6.17,1.91,6.41,7.09,8.37,6.7,6.01,8.42,5.63,3.98,8.75,3.49,1.64,2024-09-06 00:00:00
7.75,8.5,50.964061,4.37,4.61,5.06,7.93,3.48,2.98,2.65,5.97,7.47,5.16,6.62,8.68,1.93,1.27,1.86,2024-03-10 00:00:00
4.7,3.69,47.744975,2.05,4.53,7.24,7.51,1.67,8.8,2.36,3.35,3.88,2.71,2.92,2.45,8.76,7.53,4.35,2024-05-17 00:00:00
8.28,1.47,49.167664,6.73,7.63,6.47,3.0,3.38,8.39,3.19,8.77,8.75,6.04,1.76,1.92,4.8,7.51,2.18,2024-02-10 00:00:00
6.91,5.13,48.567176,3.38,3.8,1.59,7.27,4.15,4.18,7.94,2.49,4.75,7.02,5.24,4.43,3.89,5.21,3.82,2024-01-06 00:00:00
5.28,7.67,45.311752,1.42,7.76,7.36,4.68,4.33,4.86,4.25,3.76,2.77,7.16,5.16,4.6,7.4,5.93,4.8,2024-05-18 00:00:00
2.81,1.41,47.689083,2.07,5.24,1.81,5.18,8.11,4.2,2.81,3.96,3.59,4.28,1.5,2.54,6.42,2.08,7.57,2024-06-19 00:00:00
1.87,8.17,47.651772,1.66,3.47,5.3,3.24,4.05,2.89,3.56,3.63,3.78,8.02,7.82,3.48,6.14,6.15,2.0,2024-04-23 00:00:00
4.25,8.15,49.922284,5.89,3.7,4.95,1.69,4.95,3.47,3.92,3.93,7.88,4.36,4.91,6.78,4.73,4.03,1.69,2024-01-27 00:00:00
1.86,4.27,48.143431,2.34,7.45,5.8,3.52,3.25,4.0,5.83,1.49,3.49,8.5,6.53,2.85,3.15,5.54,8.24,2024-01-09 00:00:00
3.11,7.13,46.098126,7.44,8.06,3.34,4.6,5.02,4.83,5.13,1.95,2.77,8.08,6.01,1.36,2.67,6.38,6.18,2024-03-20 00:00:00
4.26,5.73,50.740332,6.39,6.68,3.37,2.04,4.18,4.95,8.4,4.7,8.35,5.53,2.46,8.2,7.21,2.86,5.67,2024-08-23 00:00:00
7.78,6.32,48.77898,4.57,8.17,4.01,4.42,2.94,1.67,5.71,7.92,6.68,1.32,1.65,2.73,8.79,6.51,8.32,2024-07-04 00:00:00
4.12,2.21,51.973336,7.26,5.1,5.38,6.8,2.03,4.38,4.77,6.25,2.87,4.39,1.85,8.17,2.14,2.81,8.24,2024-11-26 00:00:00
7.79,4.83,44.886194,6.98,5.03,4.47,7.13,7.33,5.59,7.1,7.5,5.53,4.87,5.03,3.66,2.73,3.92,2.12,2024-03-18 00:00:00
5.54,6.81,48.200899,6.2,6.2,3.48,5.26,7.22,7.7,5.41,7.68,4.98,7.87,6.01,6.48,7.02,8.23,2.77,2024-06-14 00:00:00
7.53,7.17,45.646007,5.2,7.96,8.14,5.06,6.32,7.06,2.93,6.17,5.67,8.11,3.25,4.69,2.78,8.56,4.61,2024-09-18 00:00:00
4.89,8.76,44.937163,4.37,3.55,3.27,6.92,3.87,6.82,3.22,6.48,8.77,4.46,3.37,3.0,6.96,4.56,3.43,2024-06-02 00:00:00
1.65,4.34,49.850808,7.27,2.31,5.13,5.17,6.71,7.89,1.8,4.82,4.26,2.49,6.37,4.41,2.89,5.17,2.95,2024-03-21 00:00:00
5.58,3.9,46.016381,8.14,5.17,4.67,8.78,3.03,6.93,7.28,4.39,5.12,8.07,5.13,7.08,4.06,5.86,1.69,2024-02-18 00:00:00
6.56,8.58,48.491502,3.85,3.73,5.33,2.07,3.69,7.47,8.2,8.31,6.76,4.53,3.0,1.33,8.04,5.36,1.57,2024-10-09 00:00:00
5.82,4.62,52.310604,3.44,6.07,4.84,2.5,2.9,7.83,6.78,4.31,5.17,6.37,8.76,6.14,6.77,2.26,2.58,2024-07-16 00:00:00
8.68,8.55,47.579257,3.58,7.31,4.79,4.35,2.6,2.83,4.05,7.03,2.72,4.36,2.29,3.57,7.61,7.01,2.93,2024-10-18 00:00:00
4.8,6.77,51.661299,5.53,5.62,1.39,6.0,6.14,6.03,2.21,4.3,1.42,3.89,3.46,7.67,4.56,4.66,4.08,2024-01-25 00:00:00
8.03,4.18,47.883436,7.76,1.58,8.36,7.37,7.46,2.6,4.96,7.93,6.62,5.63,4.82,8.66,2.99,2.83,7.26,2024-04-28 00:00:00
8.06,2.63,49.233355,7.96,3.99,6.06,2.43,8.24,2.63,6.22,7.83,8.11,7.55,2.97,6.36,2.73,8.72,5.18,2024-11-05 00:00:00
1.27,5.53,44.900063,2.17,3.03,3.77,8.26,8.7,7.69,3.86,3.05,8.7,4.67,4.57,7.32,5.92,4.01,3.21,2024-05-07 00:00:00
2.57,3.5,50.912359,6.76,8.11,7.07,5.74,4.52,6.62,3.24,7.81,5.52,7.14,6.24,7.97,7.83,6.17,1.87,2024-05-24 00:00:00
4.43,5.65,48.968848,2.64,4.26,3.72,5.37,5.43,1.83,2.65,2.01,8.48,5.89,2.33,7.89,7.02,2.82,4.96,2024-09-01 00:00:00
2.64,4.92,45.652406,8.7,2.48,6.39,3.72,2.2,6.59,1.84,2.77,5.18,4.22,7.51,2.78,6.5,4.98,2.31,2024-07-31 00:00:00
4.24,4.45,49.196366,6.8,5.29,1.66,1.52,4.07,6.93,2.21,5.93,4.88,6.76,6.67,5.65,4.25,7.18,2.73,2024-03-13 00:00:00
3.99,4.95,45.597946,8.19,3.14,1.32,7.57,3.31,7.79,3.8,5.82,8.12,3.1,5.38,3.52,8.72,1.34,7.74,2024-08-01 00:00:00
7.99,6.17,52.101819,7.03,6.58,3.77,2.59,1.2,6.73,2.63,2.19,6.53,4.2,5.33,6.08,5.46,8.66,3.49,2024-04-04 00:00:00
1.28,7.82,47.1008,8.3,3.9,3.25,6.33,4.84,7.36,4.22,5.53,6.71,8.72,8.43,4.31,1.95,5.35,5.62,2024-05-17 00:00:00
1.55,6.94,50.674071,5.85,4.66,3.52,8.38,1.99,8.01,4.84,3.27,1.58,5.43,5.31,7.92,5.68,6.02,8.5,2024-11-19 00:00:00
7.51,7.5,48.486275,1.98,6.66,3.29,8.1,4.15,2.6,6.66,8.67,2.19,2.48,3.89,6.21,4.48,5.77,5.7,2024-11-16 00:00:00
1.6,7.63,52.543336,3.16,5.1,4.21,3.89,2.21,2.3,7.25,7.48,3.4,7.28,1.97,7.08,1.94,2.3,6.34,2024-01-15 00:00:00
1.32,3.43,46.656804,1.84,7.23,8.05,2.25,2.27,3.1,2.11,6.76,8.38,5.39,5.43,7.96,8.06,5.06,5.08,2024-08-11 00:00:00
1.31,2.52,48.64427,6.51,6.02,8.39,1.81,5.82,1.54,3.55,3.14,7.71,6.25,5.59,1.39,8.29,5.35,2.52,2024-11-04 00:00:00
3.39,1.42,47.943446,6.6,3.65,5.43,6.91,8.55,6.82,6.32,1.98,6.21,5.22,7.53,4.22,7.15,2.55,6.22,2024-07-12 00:00:00
5.58,3.83,51.655884,7.32,3.74,3.68,5.89,3.01,6.65,4.31,4.56,3.23,2.34,4.09,2.14,3.52,8.61,6.39,2024-08-14 00:00:00
4.31,7.85,48.643203,5.37,2.15,4.8,1.92,3.84,5.6,7.59,2.18,5.3,8.63,6.24,5.96,7.58,8.31,6.92,2024-04-18 00:00:00
5.86,6.61,48.872627,3.67,8.2,4.57,3.7,6.54,5.73,1.89,8.73,6.31,2.84,3.84,2.33,3.88,4.97,5.27,2024-06-12 00:00:00
2.91,5.14,48.818699,1.45,3.19,2.74,3.71,7.99,3.2,7.92,4.7,3.8,2.52,6.07,5.09,2.17,6.31,2.1,2024-02-15 00:00:00
4.0,7.29,50.736267,2.17,7.75,3.41,8.67,3.44,6.98,7.84,5.13,7.27,6.7,8.69,8.23,5.3,2.83,8.37,2024-09-28 00:00:00
6.91,8.56,46.422835,1.67,3.37,2.17,1.83,2.3,4.8,6.12,2.55,4.44,7.29,7.03,4.48,1.3,3.45,2.86,2024-03-20 00:00:00
7.4,3.36,47.388797,4.52,4.52,2.54,5.02,1.65,2.52,2.47,6.25,1.49,6.97,4.59,4.79,5.31,2.53,1.34,2024-12-08 00:00:00
8.56,3.61,49.582638,3.52,6.79,4.34,3.37,3.82,6.83,1.72,1.51,2.69,6.89,3.45,6.51,8.42,2.08,5.33,2024-08-22 00:00:00
8.75,7.8,50.6527,2.14,4.84,5.43,3.07,4.93,5.68,5.43,5.15,2.49,2.79,6.0,3.55,3.26,4.01,7.17,2024-02-01 00:00:00
4.51,2.37,49.262653,7.85,7.86,4.31,6.71,6.28,6.02,2.39,7.37,6.05,5.15,6.74,1.8,2.94,3.13,3.22,2024-09-30 00:00:00
6.0,8.47,52.622428,8.36,8.46,7.8,6.35,6.67,4.18,7.66,5.89,3.12,1.89,3.45,3.3,8.05,3.56,4.35,2024-10-02 00:00:00
3.13,2.24,50.090702,4.28,5.22,7.51,1.49,5.74,8.59,5.48,6.22,5.97,5.42,1.45,6.5,5.77,3.83,3.91,2024-09-05 00:00:00
2.45,8.52,47.20256,8.23,6.9,8.11,7.3,4.27,2.42,1.53,2.85,3.15,2.92,3.03,3.94,5.62,4.64,5.22,2024-05-19 00:00:00
1.84,4.99,52.792627,8.31,2.38,2.51,3.69,1.79,3.66,7.59,6.72,4.21,1.4,8.72,5.34,2.68,8.51,2.73,2024-11-23 00:00:00
3.53,3.54,49.621227,1.45,6.89,6.92,5.75,8.39,1.25,4.29,6.21,4.13,3.95,7.06,6.23,4.14,8.06,5.95,2024-04-12 00:00:00
6.28,4.81,46.435937,4.17,4.63,8.24,7.43,7.11,5.07,4.5,3.94,3.81,6.26,4.31,2.81,2.64,6.28,5.24,2024-06-06 00:00:00
2.73,6.67,48.220948,4.14,7.38,7.9,4.43,5.11,4.19,5.28,7.39,8.42,3.6,3.46,7.83,1.27,1.65,8.56,2024-12-19 00:00:00
6.03,4.92,48.293106,2.25,5.66,4.56,1.73,1.61,2.22,1.78,3.09,6.0,8.46,8.14,3.11,3.94,6.8,8.18,2024-08-27 00:00:00
5.51,8.27,46.579459,3.74,6.22,5.08,5.72,5.81,6.2,5.35,4.42,2.78,4.84,5.07,6.86,5.14,2.09,6.22,2024-04-11 00:00:00
8.74,6.54,46.278488,7.12,6.34,8.11,8.0,7.24,7.1,3.37,4.59,7.3,4.3,8.56,3.31,5.05,5.61,4.15,2024-05-13 00:00:00
