col_table_source,col_aq_id,col_date,col_zone_id,col_pm25_ugm3,col_no2_ugm3,col_aqi_index,col_source,col_annee,col_secteur,col_emissions_mt_co2eq,col_evolution_annuelle_pourcent,col_part_nationale_pourcent,col_date_collecte,col_emissions_co2_transport_mt,col_indice_qualite_air,col_consommation_energie_transport_twh,col_part_transport_emissions_pourcent,col_reduction_emissions_vs_2019_pourcent,col_amelioration_qualite_air_pourcent,col_objectif_atteint,col_energy_id,col_mois,col_line_id,col_mode,col_energie_kwh,col_ville,col_condition_meteo,col_temperature_celsius,col_humidite_pourcent,col_pression_hpa,col_vitesse_vent_kmh,col_visibilite_km
Météo-France,ID_094,2024-10-15 00:00:00,ID_094,2.11,4.58,36.32,Airparif,8.59,4.05,2.55,7.4,6.78,2024-01-13 00:00:00,4.61,8.57,7.58,6.16,5.41,5.15,8.31,ID_094,4.39,ID_094,TGV,1.48,Marseille,7.65,4.6,ID_094,1020.2,30,6.0
Airparif,ID_095,2024-10-10 00:00:00,ID_095,4.26,7.32,18.24,Airparif,6.1,2.47,8.02,1.55,8.14,2024-11-30 00:00:00,8.72,4.7,4.37,3.8,7.13,1.48,6.29,ID_095,3.36,ID_095,TGV,1.45,Bordeaux,6.03,23.1,ID_095,1016.2,50,6.22
Airparif,ID_096,2024-06-05 00:00:00,ID_096,8.07,7.55,44.12,Météo-France,8.8,6.98,5.05,7.5,1.25,2024-10-01 00:00:00,1.38,4.23,8.17,7.86,4.75,1.35,6.95,ID_096,5.25,ID_096,Bus RATP,3.61,Nantes,5.72,21.7,ID_096,1021.0,110,1.31
Data.gouv.fr,ID_097,2024-07-21 00:00:00,ID_097,5.27,5.52,74.48,Airparif,4.95,7.51,4.08,1.41,7.68,2024-10-31 00:00:00,1.23,5.3,2.33,6.97,2.86,1.72,3.87,ID_097,4.05,ID_097,RER,7.23,Montpellier,2.05,14.9,ID_097,1018.1,45,2.34
Airparif,ID_098,2024-12-07 00:00:00,ID_098,7.5,2.7,53.44,Airparif,3.47,6.22,2.9,7.74,5.49,2024-02-21 00:00:00,5.96,1.79,8.44,3.68,7.06,4.75,3.12,ID_098,6.62,ID_098,Transilien,7.26,Bordeaux,5.91,6.4,ID_098,1010.3,130,6.31
Météo-France,ID_099,2024-09-23 00:00:00,ID_099,6.4,2.61,57.63,Météo-France,2.02,2.0,8.04,7.95,7.07,2024-12-21 00:00:00,3.96,8.66,4.69,8.52,6.29,7.1,3.05,ID_099,1.21,ID_099,RER,6.55,Paris,8.68,10.3,ID_099,1014.8,30,8.57
Météo-France,ID_000,2024-01-20 00:00:00,ID_000,2.5,6.93,55.2,Météo-France,8.1,2.83,2.08,3.75,3.14,2024-06-25 00:00:00,6.54,1.91,4.19,7.16,2.26,4.53,2.37,ID_000,7.4,ID_000,Métro,3.7,Lille,4.39,20.1,ID_000,1023.3,110,7.58
Airparif,ID_001,2024-01-22 00:00:00,ID_001,3.28,5.59,22.55,Data.gouv.fr,8.09,8.01,4.04,5.39,4.36,2024-07-22 00:00:00,5.4,8.39,1.31,7.01,1.89,2.08,7.75,ID_001,3.65,ID_001,Bus RATP,2.01,Montpellier,2.08,19.2,ID_001,995.2,30,5.9
Data.gouv.fr,ID_002,2024-07-28 00:00:00,ID_002,2.47,6.98,8.57,Météo-France,1.31,2.41,8.13,1.64,4.22,2024-04-10 00:00:00,8.7,8.55,2.16,1.89,2.58,3.87,2.11,ID_002,3.44,ID_002,Bus RATP,4.97,Lille,8.42,18.9,ID_002,1018.4,50,8.51
Airparif,ID_003,2024-05-02 00:00:00,ID_003,2.0,8.01,84.08,SNCF_Open_Data,6.12,4.94,4.11,3.81,4.02,2024-07-12 00:00:00,6.19,3.4,3.91,3.06,7.49,4.39,4.76,ID_003,6.89,ID_003,TGV,1.72,Toulouse,3.46,9.3,ID_003,1022.1,130,1.66
Météo-France,ID_004,2024-01-05 00:00:00,ID_004,1.85,4.23,17.12,Data.gouv.fr,6.53,8.34,2.76,4.96,6.05,2024-03-30 00:00:00,2.52,2.17,4.14,6.35,8.48,2.85,1.32,ID_004,8.58,ID_004,Bus RATP,4.11,Bordeaux,2.34,6.0,ID_004,1004.1,50,6.17
Météo-France,ID_005,2024-06-20 00:00:00,ID_005,6.9,3.57,65.23,SNCF_Open_Data,2.51,6.12,4.51,7.81,3.91,2024-06-07 00:00:00,2.4,2.65,5.37,3.36,8.31,8.38,8.04,ID_005,3.02,ID_005,Bus RATP,2.12,Toulouse,5.02,19.3,ID_005,999.7,80,1.54
RATP_Open_Data_2024,ID_006,2024-03-23 00:00:00,ID_006,7.81,1.27,58.98,Météo-France,2.38,1.6,6.22,2.85,1.31,2024-03-07 00:00:00,7.04,4.44,4.01,6.61,7.03,2.95,8.19,ID_006,5.39,ID_006,TGV,3.45,Bordeaux,2.97,25.4,ID_006,1009.6,110,7.6
Météo-France,ID_007,2024-11-15 00:00:00,ID_007,6.88,4.33,24.61,Airparif,2.08,2.15,8.07,1.67,2.48,2024-08-06 00:00:00,3.44,8.36,4.11,1.25,6.79,2.16,6.43,ID_007,4.55,ID_007,TGV,6.33,Montpellier,8.4,22.9,ID_007,1016.0,80,1.23
Airparif,ID_008,2024-04-02 00:00:00,ID_008,6.22,4.43,82.8,RATP_Open_Data_2024,5.98,6.43,3.58,1.64,5.92,2024-08-18 00:00:00,7.02,6.99,6.83,4.73,5.35,8.33,6.86,ID_008,6.18,ID_008,Tramway,7.73,Toulouse,7.44,8.8,ID_008,1006.9,70,6.07
Data.gouv.fr,ID_009,2024-02-16 00:00:00,ID_009,6.77,7.95,35.53,Data.gouv.fr,7.02,5.6,2.75,6.49,7.63,2024-08-13 00:00:00,1.48,3.76,6.42,7.44,2.93,5.83,8.48,ID_009,7.92,ID_009,Transilien,8.58,Nantes,6.12,20.4,ID_009,1016.9,110,7.68
Data.gouv.fr,ID_010,2024-09-29 00:00:00,ID_010,1.27,5.45,7.06,Météo-France,1.28,6.45,3.21,1.69,8.79,2024-07-15 00:00:00,8.22,3.7,8.39,7.98,5.07,2.35,8.66,ID_010,3.24,ID_010,TGV,1.74,Paris,1.27,14.5,ID_010,1020.7,50,1.97
Météo-France,ID_011,2024-03-08 00:00:00,ID_011,3.35,7.4,38.66,RATP_Open_Data_2024,2.13,8.42,4.69,3.08,4.43,2024-07-27 00:00:00,5.3,5.67,1.95,2.16,2.13,7.9,3.26,ID_011,5.63,ID_011,TGV,8.48,Nice,5.96,24.0,ID_011,1019.6,70,5.28
Météo-France,ID_012,2024-01-14 00:00:00,ID_012,6.76,2.11,24.87,Météo-France,7.2,7.96,4.2,2.51,7.73,2024-07-19 00:00:00,5.23,3.15,7.59,5.73,7.5,3.19,2.38,ID_012,5.22,ID_012,Transilien,1.52,Montpellier,4.26,9.8,ID_012,1001.3,50,7.59
Airparif,ID_013,2024-10-16 00:00:00,ID_013,7.65,6.27,20.5,RATP_Open_Data_2024,3.07,4.18,4.48,5.74,7.65,2024-04-17 00:00:00,4.24,3.46,6.82,6.26,6.53,6.72,6.45,ID_013,4.7,ID_013,Métro,7.58,Nice,4.53,7.3,ID_013,1014.3,130,4.36
RATP_Open_Data_2024,ID_014,2024-01-20 00:00:00,ID_014,4.55,6.91,47.48,RATP_Open_Data_2024,3.46,2.3,1.38,7.63,8.55,2024-09-09 00:00:00,8.44,7.03,6.94,3.16,4.25,2.22,4.64,ID_014,3.49,ID_014,TGV,1.62,Bordeaux,4.91,25.3,ID_014,1017.9,30,7.78
RATP_Open_Data_2024,ID_015,2024-03-06 00:00:00,ID_015,6.28,4.59,63.48,Météo-France,8.41,6.6,8.46,3.81,4.51,2024-07-29 00:00:00,6.88,4.61,2.6,5.12,7.9,4.1,7.9,ID_015,7.82,ID_015,Métro,7.74,Nantes,8.56,12.4,ID_015,1024.0,130,4.61
RATP_Open_Data_2024,ID_016,2024-08-04 00:00:00,ID_016,5.33,7.27,12.09,Data.gouv.fr,7.78,8.02,3.57,5.49,7.21,2024-08-25 00:00:00,7.1,3.09,8.77,7.87,3.27,2.79,5.38,ID_016,7.94,ID_016,TGV,5.15,Paris,7.88,26.0,ID_016,995.8,70,4.04
Airparif,ID_017,2024-05-31 00:00:00,ID_017,5.34,5.92,38.97,RATP_Open_Data_2024,3.0,3.45,1.75,6.03,2.65,2024-02-24 00:00:00,6.48,2.1,3.74,8.52,1.79,5.51,5.48,ID_017,8.19,ID_017,Transilien,6.4,Montpellier,1.34,13.5,ID_017,1007.6,80,5.59
Airparif,ID_018,2024-02-26 00:00:00,ID_018,2.03,2.13,46.94,SNCF_Open_Data,8.25,1.31,2.33,4.09,2.86,2024-03-30 00:00:00,1.77,1.32,6.9,7.33,7.33,4.95,2.79,ID_018,3.27,ID_018,TER,3.44,Nantes,5.35,25.5,ID_018,1023.1,130,1.82
SNCF_Open_Data,ID_019,2024-12-06 00:00:00,ID_019,1.47,5.52,44.68,SNCF_Open_Data,3.66,1.3,6.67,6.21,3.51,2024-03-17 00:00:00,6.87,5.92,3.29,5.46,2.61,3.59,3.95,ID_019,2.07,ID_019,Bus RATP,8.7,Paris,7.51,11.4,ID_019,1018.6,70,7.98
SNCF_Open_Data,ID_020,2024-10-11 00:00:00,ID_020,1.94,6.85,58.28,Airparif,1.72,5.39,4.87,3.2,5.17,2024-01-24 00:00:00,3.64,8.36,7.73,8.76,4.25,5.66,2.88,ID_020,7.23,ID_020,Tramway,2.1,Marseille,4.33,5.3,ID_020,1018.4,50,3.87
SNCF_Open_Data,ID_021,2024-07-08 00:00:00,ID_021,7.56,8.12,82.35,SNCF_Open_Data,1.44,6.27,4.06,4.6,8.06,2024-10-04 00:00:00,2.81,8.25,3.59,2.9,6.92,7.31,7.75,ID_021,2.1,ID_021,TER,1.7,Nantes,7.05,7.5,ID_021,1011.1,70,7.79
Météo-France,ID_022,2024-05-24 00:00:00,ID_022,7.74,1.72,31.76,Data.gouv.fr,2.69,7.04,5.93,8.67,7.23,2024-01-04 00:00:00,6.48,6.01,3.84,4.33,6.39,5.4,7.62,ID_022,3.5,ID_022,Métro,5.52,Lille,4.99,16.4,ID_022,1004.6,80,1.77
Data.gouv.fr,ID_023,2024-01-14 00:00:00,ID_023,3.15,8.54,7.62,Météo-France,8.06,7.09,3.95,3.45,7.22,2024-07-17 00:00:00,2.5,6.69,3.2,5.45,1.62,2.32,3.78,ID_023,7.43,ID_023,TGV,7.98,Nice,4.07,19.4,ID_023,1005.3,70,5.37
RATP_Open_Data_2024,ID_024,2024-06-08 00:00:00,ID_024,5.4,5.83,19.5,SNCF_Open_Data,2.44,1.54,2.68,7.22,3.04,2024-02-16 00:00:00,8.59,2.5,5.04,5.04,7.34,3.61,5.14,ID_024,7.13,ID_024,Bus RATP,5.02,Montpellier,4.45,9.5,ID_024,997.8,130,4.6
Météo-France,ID_025,2024-11-11 00:00:00,ID_025,5.45,8.29,79.59,RATP_Open_Data_2024,7.66,8.16,8.06,6.44,3.78,2024-04-20 00:00:00,4.89,4.25,6.14,4.72,8.78,2.16,4.78,ID_025,5.49,ID_025,RER,7.28,Marseille,2.06,4.5,ID_025,995.1,110,7.09
RATP_Open_Data_2024,ID_026,2024-09-11 00:00:00,ID_026,4.44,4.69,9.71,Météo-France,5.64,8.55,2.8,8.7,5.81,2024-02-29 00:00:00,7.04,8.77,2.74,6.96,1.49,1.85,3.17,ID_026,6.95,ID_026,TGV,5.81,Paris,8.34,24.0,ID_026,1011.8,70,1.86
RATP_Open_Data_2024,ID_027,2024-03-21 00:00:00,ID_027,2.67,8.7,15.21,Météo-France,5.36,6.03,6.16,1.91,4.28,2024-11-11 00:00:00,1.68,1.64,4.66,3.93,5.62,1.87,1.41,ID_027,4.05,ID_027,TGV,8.71,Lille,3.49,20.0,ID_027,1009.4,45,6.3
SNCF_Open_Data,ID_028,2024-01-25 00:00:00,ID_028,8.67,8.39,47.84,RATP_Open_Data_2024,2.95,4.08,8.57,1.44,7.47,2024-07-20 00:00:00,5.86,1.63,1.87,3.01,4.77,1.72,3.69,ID_028,3.84,ID_028,Bus RATP,3.34,Nice,5.8,22.4,ID_028,1004.6,110,7.75
Data.gouv.fr,ID_029,2024-09-03 00:00:00,ID_029,2.97,3.23,7.03,Data.gouv.fr,2.02,2.66,3.25,4.62,4.09,2024-10-24 00:00:00,1.29,4.09,3.88,1.85,7.62,2.9,5.57,ID_029,3.9,ID_029,Bus RATP,5.38,Marseille,5.04,22.8,ID_029,1001.8,45,5.56
Météo-France,ID_030,2024-07-18 00:00:00,ID_030,2.22,6.26,69.87,Météo-France,5.44,4.38,2.07,1.28,5.04,2024-10-31 00:00:00,3.39,8.02,5.47,4.76,7.85,6.18,1.56,ID_030,5.76,ID_030,Transilien,3.95,Marseille,2.7,24.7,ID_030,1007.5,50,2.93
Météo-France,ID_031,2024-03-07 00:00:00,ID_031,4.06,7.2,40.58,RATP_Open_Data_2024,7.78,6.22,4.86,2.15,3.15,2024-01-22 00:00:00,5.18,2.75,2.17,3.73,7.76,2.47,7.64,ID_031,7.82,ID_031,Transilien,3.86,Lille,5.95,18.0,ID_031,1007.4,110,5.32
RATP_Open_Data_2024,ID_032,2024-04-19 00:00:00,ID_032,2.44,7.0,32.93,Météo-France,2.1,2.38,5.07,8.63,3.66,2024-04-25 00:00:00,2.23,1.75,3.42,5.64,7.65,5.89,3.8,ID_032,6.73,ID_032,RER,2.49,Montpellier,5.3,14.6,ID_032,1022.5,110,5.37
Météo-France,ID_033,2024-05-29 00:00:00,ID_033,2.43,2.03,42.57,Airparif,8.6,1.96,2.94,3.34,4.83,2024-06-02 00:00:00,6.18,3.5,1.7,8.28,2.43,7.53,4.44,ID_033,3.49,ID_033,TER,3.15,Paris,1.91,17.3,ID_033,1003.6,50,1.71
SNCF_Open_Data,ID_034,2024-09-16 00:00:00,ID_034,3.26,2.81,33.34,Airparif,7.55,1.29,8.28,4.41,7.54,2024-06-01 00:00:00,2.58,6.14,2.91,5.04,8.68,3.69,2.95,ID_034,7.37,ID_034,Transilien,2.18,Montpellier,6.26,6.9,ID_034,1022.4,110,8.32
Data.gouv.fr,ID_035,2024-11-10 00:00:00,ID_035,3.15,5.32,19.4,Airparif,8.54,3.15,8.45,5.71,8.34,2024-06-21 00:00:00,2.05,4.75,5.43,7.65,4.01,5.99,6.53,ID_035,5.88,ID_035,Transilien,2.28,Nantes,7.64,26.9,ID_035,1001.1,130,7.41
RATP_Open_Data_2024,ID_036,2024-06-01 00:00:00,ID_036,8.78,3.17,45.41,SNCF_Open_Data,5.1,5.83,3.97,8.27,6.38,2024-09-09 00:00:00,5.31,4.03,5.99,8.08,7.09,3.41,6.68,ID_036,7.54,ID_036,Métro,3.85,Nantes,5.91,6.5,ID_036,996.1,130,3.79
SNCF_Open_Data,ID_037,2024-06-27 00:00:00,ID_037,1.98,5.85,28.99,RATP_Open_Data_2024,5.39,5.84,8.04,8.78,6.83,2024-09-23 00:00:00,8.57,4.29,2.6,1.65,4.91,8.39,1.39,ID_037,5.74,ID_037,Métro,4.64,Bordeaux,5.01,25.2,ID_037,1014.8,70,1.95
Airparif,ID_038,2024-04-20 00:00:00,ID_038,6.8,8.11,71.11,SNCF_Open_Data,4.33,6.76,1.82,5.31,4.71,2024-03-18 00:00:00,3.04,4.07,7.44,3.63,1.56,2.44,6.11,ID_038,5.44,ID_038,TGV,2.26,Bordeaux,4.87,21.4,ID_038,1004.3,110,7.22
Météo-France,ID_039,2024-08-22 00:00:00,ID_039,1.84,7.08,45.5,Data.gouv.fr,2.63,6.63,1.22,7.28,8.73,2024-04-21 00:00:00,7.18,2.59,2.07,6.29,8.17,2.57,2.94,ID_039,4.1,ID_039,TER,2.7,Nantes,6.74,24.0,ID_039,1011.2,70,4.7
Airparif,ID_040,2024-02-10 00:00:00,ID_040,4.87,5.58,21.28,Airparif,8.66,5.56,6.38,3.65,6.19,2024-06-18 00:00:00,3.81,2.84,8.13,2.19,8.1,4.63,8.03,ID_040,3.06,ID_040,Bus RATP,8.37,Toulouse,8.36,9.6,ID_040,1003.9,80,3.45
SNCF_Open_Data,ID_041,2024-06-28 00:00:00,ID_041,4.04,7.42,51.86,SNCF_Open_Data,7.53,4.34,8.07,7.36,3.49,2024-04-25 00:00:00,4.34,8.42,2.47,2.35,7.87,3.44,4.12,ID_041,6.07,ID_041,Transilien,6.99,Strasbourg,2.82,26.7,ID_041,1016.6,70,3.64
RATP_Open_Data_2024,ID_042,2024-04-12 00:00:00,ID_042,8.0,8.09,24.59,Météo-France,3.23,6.52,5.7,8.18,5.82,2024-09-12 00:00:00,8.27,5.93,4.62,3.44,6.96,7.14,7.14,ID_042,7.46,ID_042,Tramway,2.7,Toulouse,4.92,12.7,ID_042,1005.3,130,3.36
Airparif,ID_043,2024-06-25 00:00:00,ID_043,5.66,8.51,82.07,Météo-France,4.99,6.86,1.67,3.67,2.94,2024-12-14 00:00:00,2.16,8.37,5.26,1.52,3.13,3.03,1.64,ID_043,2.97,ID_043,Transilien,5.68,Nantes,6.28,15.3,ID_043,1019.0,70,2.04
Météo-France,ID_044,2024-02-17 00:00:00,ID_044,8.68,4.33,8.54,SNCF_Open_Data,5.95,5.8,6.47,4.48,2.17,2024-02-22 00:00:00,2.15,7.33,3.4,3.31,4.77,7.26,7.94,ID_044,5.7,ID_044,Métro,6.07,Toulouse,7.55,17.5,ID_044,1023.0,45,6.63
Airparif,ID_045,2024-02-29 00:00:00,ID_045,3.03,1.4,52.72,Airparif,5.15,2.59,1.22,6.15,4.22,2024-01-26 00:00:00,1.83,4.89,3.03,4.39,3.49,6.9,5.6,ID_045,8.08,ID_045,Bus RATP,7.61,Lille,2.75,13.5,ID_045,1013.3,70,6.87
Data.gouv.fr,ID_046,2024-06-05 00:00:00,ID_046,4.29,2.47,50.64,SNCF_Open_Data,2.82,7.6,6.68,3.61,2.43,2024-02-25 00:00:00,5.87,8.31,5.29,1.64,8.65,5.56,6.12,ID_046,4.4,ID_046,Bus RATP,3.52,Lille,2.03,6.6,ID_046,1014.1,50,2.22
Data.gouv.fr,ID_047,2024-09-27 00:00:00,ID_047,6.76,8.15,54.05,Data.gouv.fr,1.69,6.06,4.59,7.75,8.06,2024-11-24 00:00:00,8.08,3.71,4.95,6.75,7.44,1.5,6.23,ID_047,8.17,ID_047,TGV,3.44,Toulouse,8.32,7.0,ID_047,1002.9,50,1.43
RATP_Open_Data_2024,ID_048,2024-03-12 00:00:00,ID_048,3.82,1.33,66.1,SNCF_Open_Data,4.6,6.93,5.76,2.36,4.27,2024-08-13 00:00:00,8.29,6.21,6.07,1.45,4.89,2.23,3.41,ID_048,7.85,ID_048,TER,7.77,Lille,8.18,26.3,ID_048,1010.2,45,3.03
RATP_Open_Data_2024,ID_049,2024-12-03 00:00:00,ID_049,8.16,5.93,22.46,RATP_Open_Data_2024,6.25,4.75,5.88,5.77,3.62,2024-04-09 00:00:00,6.58,3.16,1.46,3.27,1.66,5.62,2.56,ID_049,3.05,ID_049,Tramway,5.67,Montpellier,5.55,18.9,ID_049,1023.8,70,5.74
SNCF_Open_Data,ID_050,2024-01-10 00:00:00,ID_050,2.12,4.15,71.4,Météo-France,4.99,2.11,3.04,1.98,7.9,2024-01-21 00:00:00,8.29,7.74,1.29,6.49,7.06,5.29,5.8,ID_050,7.4,ID_050,Bus RATP,6.57,Paris,7.57,8.1,ID_050,1011.1,45,3.83
SNCF_Open_Data,ID_051,2024-03-28 00:00:00,ID_051,7.31,2.42,78.24,SNCF_Open_Data,4.79,3.38,8.67,8.62,3.74,2024-12-17 00:00:00,5.47,6.28,4.86,8.69,4.78,6.23,1.31,ID_051,5.36,ID_051,Métro,2.78,Lille,8.23,16.3,ID_051,996.3,80,5.33
Météo-France,ID_052,2024-11-19 00:00:00,ID_052,1.73,3.0,84.41,Data.gouv.fr,5.31,7.63,2.18,5.53,6.57,2024-12-06 00:00:00,3.73,4.91,7.88,3.89,5.25,6.33,2.64,ID_052,8.28,ID_052,TER,6.08,Toulouse,3.82,16.3,ID_052,1015.6,30,3.95
RATP_Open_Data_2024,ID_053,2024-08-01 00:00:00,ID_053,7.22,6.07,21.87,Airparif,7.93,7.34,4.25,5.67,2.92,2024-11-29 00:00:00,3.65,8.72,5.82,2.37,7.49,6.7,7.43,ID_053,3.69,ID_053,Bus RATP,5.68,Lille,8.38,17.2,ID_053,1020.4,50,5.35
SNCF_Open_Data,ID_054,2024-12-09 00:00:00,ID_054,8.36,8.1,40.73,RATP_Open_Data_2024,7.3,3.03,6.45,6.88,7.82,2024-05-04 00:00:00,6.24,7.71,5.43,7.43,7.19,6.51,2.4,ID_054,7.9,ID_054,Bus RATP,1.82,Strasbourg,7.43,22.5,ID_054,1018.9,110,3.46
Météo-France,ID_055,2024-07-31 00:00:00,ID_055,7.03,5.23,39.28,Météo-France,8.63,5.63,7.01,2.89,5.55,2024-07-02 00:00:00,7.16,6.32,3.0,6.76,4.16,7.15,2.39,ID_055,8.72,ID_055,Métro,4.19,Paris,8.07,6.5,ID_055,1013.0,80,2.48
Airparif,ID_056,2024-06-12 00:00:00,ID_056,6.01,1.88,43.48,Data.gouv.fr,6.3,3.78,5.04,2.55,2.57,2024-09-17 00:00:00,7.76,6.58,7.59,3.2,5.45,4.98,7.57,ID_056,2.14,ID_056,TER,1.49,Nantes,1.8,11.2,ID_056,1019.4,70,4.82
Météo-France,ID_057,2024-08-22 00:00:00,ID_057,6.82,7.77,20.79,RATP_Open_Data_2024,3.01,2.61,5.07,4.99,8.08,2024-04-05 00:00:00,1.66,8.11,1.23,1.23,3.85,1.23,2.08,ID_057,7.55,ID_057,Bus RATP,8.8,Montpellier,5.29,19.9,ID_057,1018.3,130,8.01
SNCF_Open_Data,ID_058,2024-08-15 00:00:00,ID_058,6.9,4.87,76.71,SNCF_Open_Data,4.9,5.5,2.65,8.57,7.58,2024-04-03 00:00:00,3.71,6.65,1.86,8.3,7.25,3.28,1.84,ID_058,7.35,ID_058,TGV,6.67,Montpellier,3.85,23.7,ID_058,1003.0,130,3.94
Météo-France,ID_059,2024-12-23 00:00:00,ID_059,3.34,3.35,21.98,Airparif,2.13,7.05,8.04,2.19,5.06,2024-02-09 00:00:00,3.63,4.12,2.32,2.2,1.26,5.8,8.75,ID_059,4.75,ID_059,Bus RATP,4.93,Nice,4.07,4.7,ID_059,1003.7,110,2.51
Airparif,ID_060,2024-04-14 00:00:00,ID_060,3.69,6.69,67.5,Airparif,5.5,6.87,7.41,4.07,3.81,2024-02-23 00:00:00,4.99,4.93,7.44,2.07,2.82,5.37,5.91,ID_060,8.27,ID_060,Transilien,7.7,Paris,4.21,21.8,ID_060,1013.1,130,3.47
Airparif,ID_061,2024-01-26 00:00:00,ID_061,3.23,7.25,20.87,Airparif,8.8,4.26,6.33,2.3,5.1,2024-03-08 00:00:00,8.79,6.42,2.49,4.69,8.76,6.93,4.36,ID_061,7.74,ID_061,Tramway,5.96,Lyon,5.03,25.7,ID_061,999.2,45,4.38
SNCF_Open_Data,ID_062,2024-07-26 00:00:00,ID_062,8.57,6.93,29.41,Météo-France,4.1,2.21,6.15,3.59,7.69,2024-11-19 00:00:00,5.68,8.69,6.55,7.52,3.3,2.47,5.78,ID_062,2.91,ID_062,RER,3.7,Bordeaux,2.16,26.2,ID_062,1001.1,70,1.81
Airparif,ID_063,2024-09-08 00:00:00,ID_063,7.35,7.71,33.78,Météo-France,6.99,8.2,2.54,6.89,6.16,2024-08-19 00:00:00,5.11,2.22,2.55,1.99,5.32,4.18,8.2,ID_063,8.21,ID_063,Bus RATP,7.73,Toulouse,5.69,7.9,ID_063,1000.3,30,6.86
Data.gouv.fr,ID_064,2024-08-07 00:00:00,ID_064,5.08,6.29,2.69,RATP_Open_Data_2024,3.83,3.65,7.58,3.69,3.05,2024-09-09 00:00:00,1.63,4.54,7.33,1.98,3.01,7.72,4.63,ID_064,4.75,ID_064,Tramway,5.52,Nantes,7.42,7.6,ID_064,1024.6,50,3.21
Airparif,ID_065,2024-01-31 00:00:00,ID_065,8.53,6.32,45.58,SNCF_Open_Data,6.38,5.82,4.5,7.92,5.5,2024-04-13 00:00:00,6.9,2.31,1.41,2.85,7.57,7.71,1.69,ID_065,5.72,ID_065,TGV,7.64,Bordeaux,2.99,11.5,ID_065,1002.0,45,1.65
RATP_Open_Data_2024,ID_066,2024-04-08 00:00:00,ID_066,6.93,7.09,79.09,RATP_Open_Data_2024,8.75,5.0,6.42,1.83,5.13,2024-08-27 00:00:00,3.9,7.4,7.52,5.81,3.64,5.65,5.2,ID_066,7.23,ID_066,Tramway,6.49,Nantes,3.13,14.8,ID_066,1001.5,50,8.43
Airparif,ID_067,2024-03-02 00:00:00,ID_067,1.28,7.81,79.7,Airparif,6.48,1.76,5.25,4.2,5.04,2024-06-14 00:00:00,6.74,6.15,5.28,2.62,6.4,2.51,4.93,ID_067,3.64,ID_067,Tramway,7.66,Montpellier,1.86,24.1,ID_067,1018.2,70,6.96
Météo-France,ID_068,2024-04-26 00:00:00,ID_068,6.9,6.94,39.11,Airparif,7.04,6.42,7.6,3.12,1.87,2024-06-23 00:00:00,6.68,8.03,3.8,8.33,3.42,4.95,4.56,ID_068,4.85,ID_068,Bus RATP,6.19,Montpellier,2.46,8.5,ID_068,1000.9,110,1.59
SNCF_Open_Data,ID_069,2024-09-09 00:00:00,ID_069,2.64,5.74,40.13,SNCF_Open_Data,2.09,6.69,8.32,5.75,7.34,2024-03-23 00:00:00,7.42,8.2,6.14,7.27,4.56,7.02,6.52,ID_069,3.2,ID_069,TER,1.84,Paris,7.51,16.8,ID_069,1022.7,70,5.93
SNCF_Open_Data,ID_070,2024-06-06 00:00:00,ID_070,3.81,1.21,35.4,RATP_Open_Data_2024,7.43,6.18,3.26,5.26,1.56,2024-05-12 00:00:00,2.43,5.42,7.12,8.06,1.76,2.63,2.61,ID_070,7.57,ID_070,TER,5.63,Nantes,7.38,9.6,ID_070,1013.9,130,2.61
Data.gouv.fr,ID_071,2024-12-09 00:00:00,ID_071,8.5,3.7,55.27,SNCF_Open_Data,4.57,2.4,7.79,3.99,5.06,2024-11-29 00:00:00,3.59,6.8,4.71,3.03,7.13,7.28,6.27,ID_071,8.64,ID_071,TER,6.5,Toulouse,4.64,16.6,ID_071,996.7,30,8.15
SNCF_Open_Data,ID_072,2024-12-04 00:00:00,ID_072,5.8,8.58,29.14,SNCF_Open_Data,5.4,8.62,3.85,4.43,8.24,2024-02-12 00:00:00,4.51,6.98,2.04,5.85,8.12,6.28,4.71,ID_072,4.36,ID_072,RER,8.03,Marseille,3.76,13.2,ID_072,1021.2,45,1.32
Airparif,ID_073,2024-06-29 00:00:00,ID_073,6.53,3.23,53.78,SNCF_Open_Data,6.66,2.41,2.41,4.73,1.22,2024-11-05 00:00:00,8.13,2.8,7.87,2.5,6.32,4.43,7.15,ID_073,3.38,ID_073,TGV,8.36,Toulouse,3.38,24.8,ID_073,996.5,70,4.25
Data.gouv.fr,ID_074,2024-03-17 00:00:00,ID_074,4.67,6.2,26.46,SNCF_Open_Data,3.17,4.01,3.27,7.26,2.29,2024-11-22 00:00:00,4.72,1.66,6.83,1.65,2.68,2.73,1.76,ID_074,6.3,ID_074,Bus RATP,5.6,Bordeaux,1.57,11.2,ID_074,1011.0,110,4.69
Airparif,ID_075,2024-10-17 00:00:00,ID_075,3.27,6.72,27.33,Météo-France,4.34,8.03,8.17,3.21,8.76,2024-04-12 00:00:00,6.86,3.5,4.03,2.23,4.79,6.07,1.89,ID_075,7.66,ID_075,Transilien,6.2,Lille,1.94,8.1,ID_075,1023.6,110,5.13
