col_ville,col_region,col_reseau,col_mode,col_ligne,col_nom_ligne,col_heure,col_capacite_theorique,col_charge_percent,col_taux_remplissage,col_voyageurs_estimes,col_densite,col_longueur_km,col_nb_stations,col_efficacite_score,col_date_scraping,col_voyageurs_total_jour,col_voyages_par_km,col_cout_exploitation_euro,col_revenu_estime_euro,col_rentabilite_euro,col_ratio_rentabilite_percent,col_statut,col_date_analyse,col_type_action,col_action,col_impact_estime,col_delai,col_nb_lignes,col_voyageurs_total,col_charge_moyenne,col_efficacite_moyenne
Montpellier,Occitanie,2.37,Transilien,5.62,Ligne B,5.25,5,8.07,6.52,2024-12-15 00:00:00,8802,1.318115,Part-Dieu 4,6.25,2024-01-08 00:00:00,6.93,2.78,8.51,2024-02-21 00:00:00,6.55,8.01,4.39,2024-06-17 00:00:00,5.6,7.56,2024-03-15 00:00:00,6.29,3.63,7.03,2.83,5.97
Lille,Grand Est,8.18,Bus RATP,4.94,Ligne B,7.29,800,2.18,3.89,2024-03-02 00:00:00,62830,-1.238254,Gare de Lyon 9,5.32,2024-08-03 00:00:00,1.77,3.61,3.7,2024-06-15 00:00:00,7.22,3.03,3.31,2024-06-18 00:00:00,2.91,3.04,2024-09-10 00:00:00,1.69,2.29,1.74,6.21,8.59
Nice,Hauts-de-France,5.9,RER,8.14,Ligne 14,2.06,800,2.38,2.19,2024-07-16 00:00:00,48528,0.119494,Gare de Lyon 7,8.03,2024-02-29 00:00:00,4.94,5.6,2.85,2024-09-16 00:00:00,7.67,2.22,8.48,2024-09-14 00:00:00,2.96,7.92,2024-04-25 00:00:00,4.39,2.05,4.92,6.6,2.5
Nice,Provence-Alpes-Côte d'Azur,4.02,Métro,2.26,Ligne A,6.65,350,2.05,2.76,2024-09-30 00:00:00,117684,5.7098,Matabiau 4,2.21,2024-03-30 00:00:00,3.66,6.13,4.42,2024-04-12 00:00:00,3.75,7.59,5.52,2024-11-04 00:00:00,4.65,6.53,2024-02-27 00:00:00,6.75,3.85,4.69,6.83,4.55
Lille,Normandie,3.32,Tramway,3.48,Ligne T2,7.56,800,7.01,1.96,2024-01-16 00:00:00,130603,2.064368,Gare du Nord 1,4.02,2024-01-10 00:00:00,8.34,8.47,7.47,2024-10-13 00:00:00,1.84,1.49,4.09,2024-03-04 00:00:00,1.91,2.12,2024-07-10 00:00:00,3.83,7.51,7.13,4.69,1.68
Lyon,Nouvelle-Aquitaine,1.66,Tramway,7.35,Ligne T2,5.91,5,8.55,7.99,2024-03-16 00:00:00,64176,4.190119,Haussmann Saint-Lazare 4,3.45,2024-06-15 00:00:00,7.71,7.05,1.62,2024-11-20 00:00:00,2.44,5.72,4.6,2024-02-01 00:00:00,5.9,4.61,2024-01-02 00:00:00,6.02,4.57,2.0,1.91,5.63
Nice,Nouvelle-Aquitaine,6.49,Transilien,5.59,Ligne B,1.5,5,3.72,2.16,2024-01-11 00:00:00,2947,1.898734,Montparnasse 7,6.78,2024-10-10 00:00:00,3.91,1.44,2.06,2024-02-20 00:00:00,4.69,3.79,6.19,2024-01-26 00:00:00,3.08,8.62,2024-06-29 00:00:00,4.42,5.15,8.07,4.61,3.99
Lyon,Hauts-de-France,5.8,RER,5.46,Ligne M1,1.48,5,3.27,4.39,2024-04-19 00:00:00,199335,-0.221559,Montparnasse 6,3.73,2024-09-09 00:00:00,1.5,1.4,2.31,2024-02-03 00:00:00,7.49,1.3,2.7,2024-12-18 00:00:00,6.47,5.01,2024-04-23 00:00:00,3.11,3.01,2.15,5.79,5.83
Nantes,Provence-Alpes-Côte d'Azur,5.28,Transilien,3.58,Ligne A,5.26,50,1.26,6.86,2024-02-23 00:00:00,67783,0.662522,Matabiau 3,4.43,2024-12-13 00:00:00,7.83,2.45,6.64,2024-03-19 00:00:00,5.79,8.68,3.49,2024-09-05 00:00:00,3.82,5.67,2024-12-10 00:00:00,6.91,2.53,3.62,4.2,4.74
Bordeaux,Pays de la Loire,3.68,Bus RATP,4.9,Ligne B,2.27,800,7.04,7.31,2024-06-16 00:00:00,196342,4.634135,Saint-Charles 3,2.4,2024-05-10 00:00:00,4.31,7.79,8.09,2024-08-11 00:00:00,6.96,6.31,1.5,2024-04-07 00:00:00,7.65,3.28,2024-11-12 00:00:00,4.91,6.81,6.1,3.66,2.51
Toulouse,Bretagne,6.62,Transilien,5.1,Ligne C,6.07,350,2.32,7.72,2024-02-24 00:00:00,197010,4.227191,Gare de Lyon 2,8.53,2024-02-07 00:00:00,2.54,8.35,1.86,2024-08-28 00:00:00,7.31,8.26,3.89,2024-12-12 00:00:00,4.1,3.21,2024-02-21 00:00:00,3.49,3.3,4.51,8.07,5.23
Lille,Normandie,1.49,Métro,5.37,Ligne B,6.99,350,8.21,1.5,2024-03-12 00:00:00,65600,4.15419,Matabiau 7,6.2,2024-10-15 00:00:00,4.09,7.85,4.37,2024-12-24 00:00:00,6.92,3.21,5.39,2024-03-14 00:00:00,1.87,6.64,2024-04-09 00:00:00,2.65,5.77,2.34,7.99,4.48
Marseille,Bretagne,2.59,TER,6.99,Ligne C,6.37,800,5.48,5.13,2024-11-18 00:00:00,121821,0.56072,Saint-Jean 1,8.48,2024-08-19 00:00:00,7.58,3.5,8.36,2024-12-22 00:00:00,3.68,3.83,1.49,2024-03-19 00:00:00,6.65,2.72,2024-10-20 00:00:00,7.2,6.93,1.82,7.95,6.03
Bordeaux,Provence-Alpes-Côte d'Azur,2.77,Bus RATP,7.19,Ligne M1,5.92,800,1.81,3.04,2024-09-30 00:00:00,35325,2.016545,Saint-Charles 6,4.24,2024-04-15 00:00:00,8.32,4.72,8.36,2024-05-02 00:00:00,7.32,8.74,5.64,2024-01-12 00:00:00,6.1,5.57,2024-05-05 00:00:00,6.35,8.29,3.56,3.88,5.68
Toulouse,Pays de la Loire,5.67,Transilien,8.69,Ligne 14,7.56,120,7.57,3.02,2024-11-21 00:00:00,47605,-0.624515,Part-Dieu 8,4.81,2024-02-12 00:00:00,7.64,4.69,8.44,2024-04-30 00:00:00,8.01,3.07,1.97,2024-01-02 00:00:00,5.06,1.46,2024-02-24 00:00:00,6.2,6.77,4.87,4.36,7.52
Marseille,Hauts-de-France,8.18,TGV,5.26,Ligne 14,7.91,800,5.04,8.17,2024-11-20 00:00:00,40681,-1.161155,Saint-Charles 6,5.3,2024-03-08 00:00:00,1.41,2.86,1.22,2024-01-25 00:00:00,4.28,4.46,2.62,2024-02-25 00:00:00,3.43,4.19,2024-06-04 00:00:00,4.37,4.67,8.27,5.7,4.8
Lille,Pays de la Loire,5.6,Bus RATP,4.99,Ligne C,1.85,5,4.73,2.76,2024-03-05 00:00:00,19622,-0.060585,Haussmann Saint-Lazare 5,7.22,2024-08-19 00:00:00,5.72,2.14,1.98,2024-02-11 00:00:00,3.1,2.0,4.7,2024-06-18 00:00:00,4.27,2.92,2024-04-09 00:00:00,2.63,4.52,5.73,5.78,2.67
Toulouse,Île-de-France,2.91,Bus RATP,3.17,Ligne B,3.07,50,4.51,3.59,2024-04-26 00:00:00,15912,0.093257,Matabiau 9,1.47,2024-06-02 00:00:00,4.75,4.94,7.91,2024-07-22 00:00:00,4.52,6.78,8.15,2024-05-30 00:00:00,1.66,3.32,2024-09-22 00:00:00,2.44,1.98,2.61,1.93,6.1
Toulouse,Bretagne,3.06,Bus RATP,7.98,Ligne 14,4.54,5,8.76,3.99,2024-08-02 00:00:00,131100,2.908819,Gare de Lyon 8,4.36,2024-09-28 00:00:00,3.9,4.13,7.15,2024-09-19 00:00:00,5.93,4.31,1.35,2024-05-12 00:00:00,3.27,4.31,2024-03-28 00:00:00,3.93,1.91,2.25,3.99,4.54
Nice,Île-de-France,4.75,Bus RATP,8.44,Ligne B,2.74,120,1.75,6.38,2024-04-24 00:00:00,147139,5.264417,Part-Dieu 7,5.95,2024-08-22 00:00:00,5.79,3.44,5.55,2024-04-17 00:00:00,6.54,3.22,5.03,2024-04-22 00:00:00,7.96,3.92,2024-09-22 00:00:00,7.62,7.21,5.08,3.32,3.35
Nantes,Occitanie,6.95,RER,5.68,Ligne 1,8.2,800,8.52,8.45,2024-02-21 00:00:00,35934,1.367377,Matabiau 1,5.6,2024-11-08 00:00:00,1.43,5.15,2.45,2024-09-14 00:00:00,5.82,2.42,3.59,2024-08-12 00:00:00,4.09,7.04,2024-10-08 00:00:00,2.39,4.91,6.68,7.42,5.54
Marseille,Bretagne,4.7,Bus RATP,6.29,Ligne 14,5.38,120,6.44,5.85,2024-08-14 00:00:00,24548,0.035149,Part-Dieu 5,2.47,2024-07-13 00:00:00,8.17,7.44,6.94,2024-08-19 00:00:00,3.4,6.45,7.52,2024-03-22 00:00:00,4.84,4.87,2024-05-19 00:00:00,5.95,7.37,1.78,3.93,3.81
Marseille,Provence-Alpes-Côte d'Azur,7.5,Métro,8.1,Ligne A,5.36,800,5.69,8.72,2024-04-27 00:00:00,110168,1.666054,Saint-Charles 2,3.16,2024-12-20 00:00:00,6.31,1.55,3.67,2024-11-17 00:00:00,7.12,6.71,1.55,2024-10-11 00:00:00,2.16,1.91,2024-07-11 00:00:00,5.36,1.79,3.28,1.92,1.56
Strasbourg,Normandie,5.04,TER,2.36,Ligne M1,5.91,350,1.42,7.35,2024-02-24 00:00:00,98331,1.650151,Gare du Nord 8,4.14,2024-11-15 00:00:00,7.97,1.91,1.46,2024-11-04 00:00:00,7.21,6.51,6.91,2024-07-30 00:00:00,8.76,7.14,2024-10-05 00:00:00,5.72,2.69,4.14,2.91,8.25
Marseille,Bretagne,3.59,TGV,4.57,Ligne 14,8.29,350,3.56,3.78,2024-08-20 00:00:00,122569,-0.445087,Gare de Lyon 2,3.97,2024-04-16 00:00:00,4.28,6.58,2.85,2024-04-07 00:00:00,7.02,3.97,6.09,2024-10-13 00:00:00,3.75,3.48,2024-09-02 00:00:00,4.85,7.95,5.66,2.33,1.4
Paris,Grand Est,6.85,TER,6.21,Ligne T2,7.44,350,4.11,1.46,2024-04-01 00:00:00,116840,-1.60184,Saint-Jean 4,5.07,2024-10-11 00:00:00,6.06,3.7,6.09,2024-09-13 00:00:00,8.79,6.56,4.67,2024-04-17 00:00:00,4.54,5.51,2024-06-29 00:00:00,5.04,3.97,4.85,1.98,6.12
Nice,Bretagne,4.65,TER,4.09,Ligne A,3.08,5,6.61,1.79,2024-05-19 00:00:00,110893,2.472431,Matabiau 6,4.35,2024-04-21 00:00:00,3.81,2.72,1.46,2024-04-05 00:00:00,8.25,7.61,7.47,2024-02-01 00:00:00,4.26,7.93,2024-04-06 00:00:00,7.52,1.73,2.74,8.21,7.52
Toulouse,Grand Est,6.63,Transilien,6.69,Ligne 1,2.61,350,6.02,8.28,2024-11-10 00:00:00,102311,5.071901,Montparnasse 4,6.79,2024-05-10 00:00:00,3.64,8.42,4.28,2024-03-16 00:00:00,8.05,5.58,4.84,2024-01-23 00:00:00,5.76,4.62,2024-02-06 00:00:00,7.7,2.23,6.84,7.67,4.58
Strasbourg,Auvergne-Rhône-Alpes,5.75,Métro,1.49,Ligne B,2.86,350,4.66,2.03,2024-12-20 00:00:00,91884,5.165352,Gare de Lyon 3,5.46,2024-07-18 00:00:00,3.47,4.27,5.14,2024-07-08 00:00:00,7.18,4.87,4.58,2024-05-10 00:00:00,2.56,1.21,2024-10-22 00:00:00,1.78,3.59,8.14,4.82,8.67
Lyon,Provence-Alpes-Côte d'Azur,4.31,Bus RATP,5.13,Ligne M1,4.96,120,7.05,2.18,2024-10-11 00:00:00,43106,5.184092,Gare de l'Est 6,5.97,2024-06-21 00:00:00,5.37,2.86,3.86,2024-07-04 00:00:00,1.45,6.62,2.56,2024-08-11 00:00:00,3.37,6.89,2024-05-14 00:00:00,3.76,6.3,2.23,8.39,4.4
Bordeaux,Auvergne-Rhône-Alpes,6.88,RER,1.35,Ligne A,3.7,50,8.26,3.89,2024-10-18 00:00:00,40211,5.686196,Matabiau 1,7.0,2024-01-25 00:00:00,5.42,8.23,4.75,2024-11-20 00:00:00,7.26,6.81,5.15,2024-02-26 00:00:00,2.44,1.92,2024-04-15 00:00:00,3.87,3.87,4.61,7.74,1.49
Montpellier,Occitanie,3.86,RER,3.98,Ligne C,6.23,5,1.36,1.54,2024-03-25 00:00:00,21415,0.031709,Saint-Charles 1,1.38,2024-01-19 00:00:00,7.0,5.88,7.45,2024-01-21 00:00:00,8.48,5.18,3.75,2024-04-29 00:00:00,2.81,6.97,2024-06-23 00:00:00,5.78,6.6,4.71,6.94,7.64
Nantes,Bretagne,3.69,Métro,3.01,Ligne B,7.28,5,1.21,4.59,2024-06-15 00:00:00,147763,1.011459,Gare de l'Est 3,4.64,2024-03-03 00:00:00,7.79,2.32,7.03,2024-08-20 00:00:00,4.76,7.23,7.11,2024-01-27 00:00:00,7.76,2.66,2024-06-05 00:00:00,6.63,1.39,1.68,3.95,7.84
Marseille,Grand Est,1.25,RER,1.22,Ligne C,2.45,5,2.23,2.36,2024-02-14 00:00:00,192089,0.657733,Montparnasse 2,2.71,2024-03-01 00:00:00,8.21,4.07,4.28,2024-11-15 00:00:00,7.16,3.32,4.53,2024-05-12 00:00:00,1.5,1.79,2024-12-16 00:00:00,5.94,4.13,1.23,3.64,7.4
Lille,Île-de-France,4.12,Métro,4.64,Ligne T2,8.29,350,6.41,2.0,2024-01-18 00:00:00,157700,1.537269,Haussmann Saint-Lazare 8,5.02,2024-10-23 00:00:00,7.8,6.81,7.39,2024-09-24 00:00:00,3.42,5.69,1.29,2024-10-23 00:00:00,3.51,7.9,2024-09-23 00:00:00,3.76,1.65,5.44,3.36,2.32
Paris,Bretagne,2.33,Bus RATP,7.79,Ligne M1,6.29,120,1.44,2.95,2024-05-16 00:00:00,62258,2.245226,Haussmann Saint-Lazare 7,5.37,2024-10-08 00:00:00,8.72,6.04,8.24,2024-09-06 00:00:00,5.86,5.19,3.08,2024-07-31 00:00:00,6.42,3.81,2024-06-15 00:00:00,7.99,8.09,4.58,2.44,2.9
Lyon,Pays de la Loire,1.73,Tramway,4.83,Ligne M1,4.64,50,4.18,2.97,2024-01-14 00:00:00,58180,0.900557,Haussmann Saint-Lazare 9,4.78,2024-09-28 00:00:00,1.83,6.76,3.19,2024-03-14 00:00:00,6.0,2.96,2.13,2024-04-04 00:00:00,7.14,3.64,2024-06-17 00:00:00,7.45,6.6,4.66,8.18,4.35
Montpellier,Normandie,4.44,TER,1.93,Ligne A,1.62,800,3.58,4.06,2024-09-18 00:00:00,46933,0.491994,Matabiau 4,7.68,2024-06-09 00:00:00,3.64,3.55,3.06,2024-05-15 00:00:00,8.31,5.94,1.57,2024-06-08 00:00:00,7.47,7.75,2024-09-04 00:00:00,8.54,7.03,3.91,3.1,6.45
Bordeaux,Pays de la Loire,3.91,Bus RATP,2.83,Ligne 1,2.06,120,1.86,3.06,2024-09-08 00:00:00,175332,-1.042863,Gare de l'Est 5,4.42,2024-07-22 00:00:00,1.79,5.57,6.58,2024-05-03 00:00:00,3.47,8.04,8.02,2024-02-02 00:00:00,5.14,3.62,2024-07-01 00:00:00,5.21,8.0,7.84,4.61,1.7
Montpellier,Hauts-de-France,6.84,Métro,3.93,Ligne T2,6.72,800,4.14,3.55,2024-09-22 00:00:00,142644,1.768239,Part-Dieu 9,2.55,2024-10-26 00:00:00,3.16,1.81,8.41,2024-09-06 00:00:00,4.22,7.59,5.12,2024-08-03 00:00:00,7.27,4.71,2024-05-02 00:00:00,7.2,4.36,5.21,3.51,4.73
Bordeaux,Hauts-de-France,2.51,Métro,3.37,Ligne M1,2.97,800,3.25,2.62,2024-03-15 00:00:00,177664,4.555191,Gare de Lyon 5,1.83,2024-10-28 00:00:00,4.84,5.05,4.62,2024-03-11 00:00:00,6.17,3.7,4.65,2024-01-03 00:00:00,2.77,4.77,2024-10-18 00:00:00,3.31,8.27,8.79,4.4,8.09
Lille,Grand Est,7.86,Métro,7.98,Ligne A,8.07,120,1.91,1.65,2024-11-04 00:00:00,21495,1.09714,Haussmann Saint-Lazare 1,6.52,2024-09-27 00:00:00,7.74,3.07,1.83,2024-04-04 00:00:00,7.26,2.56,5.02,2024-03-14 00:00:00,8.12,6.54,2024-07-02 00:00:00,4.89,2.37,1.44,4.08,1.63
Montpellier,Occitanie,7.85,Métro,1.59,Ligne M1,5.44,350,5.78,8.5,2024-09-23 00:00:00,94783,-0.573557,Haussmann Saint-Lazare 3,2.69,2024-06-12 00:00:00,4.51,5.29,3.67,2024-05-10 00:00:00,7.54,7.57,4.41,2024-08-26 00:00:00,6.74,2.75,2024-08-29 00:00:00,2.07,5.51,7.91,7.22,3.97
Lille,Provence-Alpes-Côte d'Azur,4.56,Bus RATP,6.25,Ligne M1,1.64,350,8.12,2.51,2024-06-23 00:00:00,145690,-1.092432,Haussmann Saint-Lazare 6,7.7,2024-07-24 00:00:00,3.17,7.72,2.48,2024-11-17 00:00:00,7.35,3.33,4.35,2024-11-27 00:00:00,5.66,6.52,2024-11-16 00:00:00,3.14,6.57,6.52,7.72,2.32
Strasbourg,Pays de la Loire,2.5,RER,1.43,Ligne M1,4.31,50,7.98,3.67,2024-07-10 00:00:00,14913,1.919468,Saint-Charles 5,6.66,2024-08-25 00:00:00,4.7,2.78,8.71,2024-09-30 00:00:00,3.9,2.64,7.29,2024-07-14 00:00:00,8.25,6.88,2024-11-18 00:00:00,2.28,6.03,1.38,3.24,4.76
Lille,Hauts-de-France,8.3,Bus RATP,2.57,Ligne A,6.59,120,2.64,8.23,2024-07-29 00:00:00,197825,2.603217,Gare de l'Est 2,3.53,2024-08-20 00:00:00,1.56,8.5,7.4,2024-03-04 00:00:00,5.37,8.78,7.09,2024-12-05 00:00:00,8.31,3.97,2024-01-05 00:00:00,1.91,2.6,2.59,7.08,5.05
Lille,Hauts-de-France,4.21,Bus RATP,3.88,Ligne M1,2.39,800,2.83,6.85,2024-11-29 00:00:00,49704,0.293237,Gare de l'Est 6,6.06,2024-12-05 00:00:00,6.16,1.68,6.03,2024-05-12 00:00:00,8.32,7.2,4.29,2024-02-09 00:00:00,3.03,5.69,2024-03-03 00:00:00,4.75,3.94,7.31,8.01,1.94
Paris,Grand Est,7.15,Transilien,4.42,Ligne B,3.43,50,6.24,5.49,2024-10-12 00:00:00,68041,3.478108,Gare du Nord 8,6.6,2024-12-21 00:00:00,7.96,3.85,2.62,2024-04-17 00:00:00,6.13,6.49,7.36,2024-03-08 00:00:00,6.96,5.2,2024-02-16 00:00:00,3.49,3.43,3.17,3.38,7.96
Bordeaux,Hauts-de-France,1.93,Tramway,6.01,Ligne A,3.8,5,2.96,2.71,2024-03-05 00:00:00,31337,3.105163,Gare du Nord 6,6.84,2024-12-03 00:00:00,7.53,5.52,1.38,2024-10-13 00:00:00,7.65,7.7,2.5,2024-09-11 00:00:00,3.97,3.86,2024-06-07 00:00:00,4.42,7.27,7.71,1.85,8.42
Lyon,Bretagne,5.79,Métro,5.46,Ligne C,5.58,120,8.19,7.54,2024-05-02 00:00:00,56414,-0.485308,Gare du Nord 1,5.82,2024-07-31 00:00:00,1.74,5.65,4.87,2024-11-24 00:00:00,4.61,8.21,5.86,2024-07-10 00:00:00,4.35,8.16,2024-02-08 00:00:00,8.04,8.31,2.01,6.57,3.73
Marseille,Occitanie,2.7,Bus RATP,5.25,Ligne T2,3.88,5,3.81,4.35,2024-09-10 00:00:00,123837,3.135516,Saint-Jean 8,3.84,2024-04-29 00:00:00,2.65,7.31,8.05,2024-07-22 00:00:00,7.49,6.76,6.76,2024-10-26 00:00:00,6.53,6.53,2024-09-03 00:00:00,6.41,4.17,4.95,7.17,5.74
Paris,Nouvelle-Aquitaine,4.2,TER,6.15,Ligne 1,4.98,120,8.5,5.95,2024-06-02 00:00:00,20932,3.708824,Haussmann Saint-Lazare 6,8.37,2024-04-24 00:00:00,8.56,3.81,5.96,2024-11-30 00:00:00,5.79,5.24,7.12,2024-03-03 00:00:00,1.72,6.34,2024-02-15 00:00:00,4.99,5.62,4.55,5.04,5.52
Lille,Bretagne,1.9,TGV,7.67,Ligne B,5.34,120,3.15,2.29,2024-09-02 00:00:00,60921,6.279919,Gare de Lyon 4,3.29,2024-09-02 00:00:00,3.6,7.57,8.75,2024-03-02 00:00:00,4.7,5.69,2.12,2024-12-22 00:00:00,3.17,1.42,2024-12-03 00:00:00,5.05,6.22,3.14,2.99,2.13
Marseille,Nouvelle-Aquitaine,6.65,TGV,1.44,Ligne M1,6.63,50,7.9,8.37,2024-05-11 00:00:00,152898,-0.66201,Gare de l'Est 4,8.64,2024-03-14 00:00:00,5.68,1.67,2.97,2024-06-16 00:00:00,2.27,7.05,7.88,2024-08-24 00:00:00,7.56,8.68,2024-12-18 00:00:00,7.26,4.45,6.7,2.32,5.39
Bordeaux,Grand Est,6.77,TGV,4.29,Ligne 14,4.26,50,1.67,2.49,2024-09-06 00:00:00,74035,1.47182,Gare du Nord 1,8.35,2024-05-15 00:00:00,7.12,4.47,2.01,2024-11-20 00:00:00,7.9,6.99,6.53,2024-07-16 00:00:00,4.96,8.17,2024-05-18 00:00:00,4.84,5.57,3.34,3.35,2.3
Montpellier,Hauts-de-France,4.28,Transilien,1.81,Ligne A,3.84,120,4.59,6.64,2024-12-03 00:00:00,194887,0.88612,Gare de l'Est 8,1.93,2024-03-28 00:00:00,5.04,4.22,5.86,2024-03-18 00:00:00,2.35,5.71,2.96,2024-10-20 00:00:00,1.65,7.69,2024-01-24 00:00:00,6.55,3.5,7.65,8.05,6.77
Lyon,Pays de la Loire,4.14,TER,5.16,Ligne M1,8.55,120,3.4,7.99,2024-02-14 00:00:00,143911,0.881978,Gare du Nord 6,2.37,2024-07-19 00:00:00,3.53,7.83,1.63,2024-05-04 00:00:00,7.36,5.73,6.38,2024-10-15 00:00:00,5.59,3.02,2024-08-15 00:00:00,2.17,5.32,1.9,8.34,2.08
Bordeaux,Auvergne-Rhône-Alpes,1.54,Tramway,4.08,Ligne B,3.27,50,5.71,4.74,2024-09-03 00:00:00,185802,0.930846,Gare du Nord 8,6.8,2024-05-19 00:00:00,3.2,1.52,4.82,2024-08-10 00:00:00,2.42,7.4,1.65,2024-09-01 00:00:00,7.9,4.49,2024-06-23 00:00:00,3.81,3.99,4.52,8.05,6.8
Toulouse,Hauts-de-France,2.0,Tramway,4.84,Ligne 1,4.74,5,4.65,4.53,2024-01-17 00:00:00,83334,4.819028,Matabiau 2,5.2,2024-10-11 00:00:00,1.66,2.06,3.61,2024-10-10 00:00:00,4.35,3.28,1.3,2024-07-20 00:00:00,8.78,1.69,2024-07-16 00:00:00,1.73,7.13,8.16,4.68,3.07
Lyon,Normandie,4.86,Transilien,4.23,Ligne 14,3.22,800,4.35,4.9,2024-08-13 00:00:00,110759,2.622464,Matabiau 9,2.9,2024-07-14 00:00:00,7.37,6.76,8.35,2024-10-25 00:00:00,7.86,4.44,2.5,2024-07-19 00:00:00,2.61,4.5,2024-02-23 00:00:00,5.07,4.34,7.04,6.99,4.77
Nantes,Auvergne-Rhône-Alpes,8.2,TGV,6.19,Ligne C,5.66,350,4.32,8.17,2024-12-13 00:00:00,13657,1.86701,Haussmann Saint-Lazare 5,8.2,2024-09-29 00:00:00,3.82,2.87,8.41,2024-06-09 00:00:00,3.67,1.33,2.56,2024-01-11 00:00:00,2.11,8.53,2024-08-04 00:00:00,1.91,7.68,5.35,2.76,2.22
Strasbourg,Grand Est,2.13,TGV,3.82,Ligne B,1.8,350,7.3,1.22,2024-01-29 00:00:00,112186,1.274892,Matabiau 1,8.74,2024-04-10 00:00:00,2.08,1.97,2.76,2024-05-23 00:00:00,4.95,6.47,7.5,2024-05-24 00:00:00,1.72,8.29,2024-12-14 00:00:00,7.44,4.11,1.76,2.64,1.56
Strasbourg,Grand Est,4.81,TER,6.98,Ligne C,8.64,800,4.24,6.3,2024-02-20 00:00:00,129152,1.486942,Gare du Nord 4,5.12,2024-06-26 00:00:00,6.36,6.89,4.74,2024-05-09 00:00:00,2.37,6.73,1.83,2024-03-26 00:00:00,3.81,6.94,2024-04-30 00:00:00,3.26,6.0,1.82,5.05,2.59
Bordeaux,Pays de la Loire,4.06,TER,6.19,Ligne 14,8.1,350,2.8,4.5,2024-12-06 00:00:00,178989,2.287926,Saint-Jean 6,1.48,2024-12-24 00:00:00,7.83,3.89,8.14,2024-10-02 00:00:00,3.32,1.69,3.74,2024-02-01 00:00:00,7.26,6.54,2024-04-13 00:00:00,3.58,8.34,6.37,1.29,5.87
Nantes,Île-de-France,5.55,Bus RATP,4.55,Ligne T2,4.04,800,3.97,7.98,2024-02-13 00:00:00,95967,3.68227,Montparnasse 8,5.37,2024-06-29 00:00:00,6.24,3.43,4.03,2024-11-02 00:00:00,5.73,4.94,6.32,2024-03-07 00:00:00,7.59,6.58,2024-06-20 00:00:00,3.36,8.33,1.5,4.49,6.09
Paris,Île-de-France,6.18,RER,7.83,Ligne T2,7.1,350,7.29,2.85,2024-09-09 00:00:00,110966,1.507321,Haussmann Saint-Lazare 4,6.97,2024-06-16 00:00:00,6.23,3.95,6.81,2024-02-19 00:00:00,8.64,6.84,6.09,2024-06-28 00:00:00,3.2,4.61,2024-01-09 00:00:00,1.78,4.41,4.93,3.26,5.32
Nantes,Hauts-de-France,2.72,TER,8.2,Ligne M1,5.67,5,1.22,6.0,2024-07-29 00:00:00,3831,3.145635,Saint-Charles 5,4.06,2024-09-08 00:00:00,5.9,5.96,7.41,2024-05-30 00:00:00,3.99,2.2,6.29,2024-03-17 00:00:00,7.9,7.48,2024-04-15 00:00:00,6.83,8.6,6.89,7.44,6.88
Bordeaux,Grand Est,2.66,Tramway,6.66,Ligne T2,3.79,120,8.26,6.37,2024-09-28 00:00:00,36212,-1.577611,Saint-Charles 5,1.57,2024-02-03 00:00:00,2.62,4.03,1.69,2024-10-11 00:00:00,1.94,7.74,3.18,2024-10-06 00:00:00,4.93,7.83,2024-12-26 00:00:00,7.64,3.12,3.16,6.08,4.96
Bordeaux,Nouvelle-Aquitaine,4.21,TER,1.76,Ligne M1,7.77,350,3.05,2.55,2024-05-29 00:00:00,50505,2.366863,Saint-Jean 1,4.22,2024-03-09 00:00:00,7.45,5.59,3.95,2024-08-27 00:00:00,6.13,4.72,4.96,2024-04-01 00:00:00,3.15,2.11,2024-08-29 00:00:00,5.18,7.33,2.28,4.38,6.29
Marseille,Grand Est,8.69,TER,4.14,Ligne B,5.64,120,5.19,3.62,2024-11-13 00:00:00,76994,5.900303,Gare de l'Est 1,1.99,2024-05-27 00:00:00,7.68,6.89,6.88,2024-08-22 00:00:00,6.85,4.98,5.31,2024-11-14 00:00:00,8.4,8.3,2024-06-16 00:00:00,8.29,5.23,3.23,2.45,1.9
Lille,Bretagne,8.09,RER,8.06,Ligne 1,1.54,50,3.56,5.47,2024-12-07 00:00:00,42917,1.320733,Gare de l'Est 3,6.49,2024-08-31 00:00:00,3.2,2.07,2.5,2024-03-29 00:00:00,6.48,8.22,3.79,2024-01-13 00:00:00,8.39,2.12,2024-09-04 00:00:00,3.62,6.55,1.65,8.13,4.56
Paris,Provence-Alpes-Côte d'Azur,3.31,TER,8.25,Ligne 14,5.13,120,3.41,5.76,2024-09-22 00:00:00,17341,6.29104,Haussmann Saint-Lazare 3,5.05,2024-03-01 00:00:00,5.8,5.25,4.41,2024-05-26 00:00:00,5.42,4.07,3.21,2024-06-20 00:00:00,8.64,1.46,2024-01-29 00:00:00,7.51,3.46,4.89,8.23,6.89
Strasbourg,Pays de la Loire,5.1,RER,4.74,Ligne A,5.99,120,3.78,6.63,2024-12-15 00:00:00,62072,3.631347,Saint-Jean 7,3.36,2024-07-20 00:00:00,2.39,3.39,4.2,2024-09-05 00:00:00,3.35,8.36,4.01,2024-01-25 00:00:00,7.86,6.55,2024-08-04 00:00:00,4.6,6.07,3.99,7.17,5.21
