col_ville,col_mode_transport,col_periode_journee,col_freq_moyenne,col_freq_max,col_taux_remplissage_moyen,col_date,col_heure,col_jour_semaine,col_est_weekend,col_frequentation,col_capacite_max,col_taux_remplissage,col_source
Nice,Métro,5.55,2.21,3.69,8.71,2024-05-06 00:00:00,7.15,7.44,1,4.48,800,2.63,Airparif
Nice,TGV,5.87,1.28,8.08,7.62,2024-07-01 00:00:00,3.83,3.09,0,1.3,50,3.08,RATP_Open_Data_2024
Strasbourg,TER,1.61,2.85,5.36,4.85,2024-02-16 00:00:00,2.06,8.29,0,1.69,800,3.52,RATP_Open_Data_2024
Montpellier,RER,8.37,4.57,8.44,2.46,2024-08-25 00:00:00,5.82,4.04,0,5.41,120,6.41,Data.gouv.fr
Nantes,Métro,3.46,4.91,3.97,7.45,2024-11-06 00:00:00,2.31,8.09,1,8.41,800,7.52,Airparif
Lille,Bus RATP,6.11,1.31,6.08,3.52,2024-04-11 00:00:00,8.03,8.75,OUI,4.15,800,3.83,SNCF_Open_Data
Lyon,RER,5.23,5.67,6.56,1.87,2024-01-19 00:00:00,1.86,8.25,0,5.36,120,3.58,Airparif
Lille,Bus RATP,5.55,8.75,8.33,4.77,2024-09-16 00:00:00,3.33,8.59,NON,3.64,120,5.66,Data.gouv.fr
Bordeaux,TGV,6.39,8.0,6.54,4.91,2024-06-16 00:00:00,8.01,7.28,0,2.74,5,4.25,Météo-France
Lille,Métro,2.66,7.01,2.59,3.86,2024-10-22 00:00:00,4.91,3.32,0,7.0,120,4.05,SNCF_Open_Data
Marseille,RER,5.2,5.82,7.04,1.81,2024-01-18 00:00:00,4.19,4.13,1,1.79,50,6.32,Airparif
Strasbourg,Tramway,2.43,5.09,8.28,6.37,2024-05-30 00:00:00,2.24,6.34,NON,3.02,5,8.5,Data.gouv.fr
Lyon,Métro,2.78,6.62,2.56,3.7,2024-03-31 00:00:00,2.26,2.23,1,5.89,800,6.82,Data.gouv.fr
Nice,Métro,7.51,3.9,8.79,2.8,2024-05-13 00:00:00,1.78,8.59,NON,2.66,5,5.18,RATP_Open_Data_2024
Lyon,TER,3.38,7.19,7.45,7.81,2024-11-27 00:00:00,7.94,2.18,OUI,5.18,350,8.6,RATP_Open_Data_2024
Toulouse,RER,5.7,2.92,7.08,6.52,2024-08-12 00:00:00,2.8,1.74,0,4.39,800,6.17,Airparif
Bordeaux,Transilien,7.99,3.88,3.85,1.88,2024-03-26 00:00:00,7.91,4.66,1,5.05,5,7.18,Météo-France
Paris,Métro,6.1,2.66,5.44,7.82,2024-10-20 00:00:00,6.71,6.26,0,5.8,50,7.81,SNCF_Open_Data
Strasbourg,TGV,7.53,3.33,6.98,1.71,2024-04-06 00:00:00,2.54,6.95,0,3.5,800,2.34,RATP_Open_Data_2024
Marseille,RER,7.21,8.17,1.33,7.75,2024-04-15 00:00:00,8.06,1.64,1,5.04,350,7.05,SNCF_Open_Data
Montpellier,Transilien,1.49,3.06,7.57,4.44,2024-07-10 00:00:00,4.66,7.74,0,1.37,350,6.05,SNCF_Open_Data
Strasbourg,RER,6.68,2.24,2.96,3.78,2024-08-14 00:00:00,5.54,7.51,NON,2.4,5,7.72,SNCF_Open_Data
Marseille,TGV,4.7,2.9,3.35,3.82,2024-11-12 00:00:00,5.95,2.84,OUI,3.72,50,1.51,RATP_Open_Data_2024
Nice,RER,6.96,6.24,7.08,6.98,2024-01-14 00:00:00,7.67,7.31,0,2.34,350,2.6,Météo-France
Strasbourg,RER,1.45,6.25,2.64,8.63,2024-04-28 00:00:00,3.86,8.25,0,4.97,800,5.54,Data.gouv.fr
Marseille,RER,7.37,6.16,5.12,8.72,2024-04-27 00:00:00,5.3,5.21,1,5.61,800,8.61,RATP_Open_Data_2024
Nice,Métro,8.2,2.5,8.27,8.36,2024-06-11 00:00:00,5.9,1.31,NON,5.88,350,5.14,Data.gouv.fr
Nice,RER,6.34,8.54,6.21,7.48,2024-09-02 00:00:00,3.83,6.35,0,3.01,350,5.99,Data.gouv.fr
Montpellier,TGV,1.88,8.37,8.22,4.89,2024-06-12 00:00:00,8.64,2.73,0,7.29,350,1.8,Data.gouv.fr
Montpellier,TGV,6.2,3.34,4.27,2.52,2024-12-08 00:00:00,8.72,1.75,OUI,4.17,120,7.27,RATP_Open_Data_2024
Nantes,Métro,4.74,8.22,7.62,6.26,2024-06-25 00:00:00,8.54,7.54,0,1.91,350,7.89,Airparif
Nantes,TGV,3.01,2.41,2.16,1.64,2024-02-12 00:00:00,6.63,4.97,1,7.33,800,6.41,Météo-France
Lille,TER,8.72,7.27,5.88,5.38,2024-03-28 00:00:00,6.19,3.15,OUI,3.78,50,4.55,SNCF_Open_Data
Paris,Métro,8.04,2.81,4.44,8.11,2024-08-10 00:00:00,6.61,2.57,1,4.93,50,2.85,Airparif
Nantes,TER,3.93,8.23,7.2,5.65,2024-11-21 00:00:00,5.16,5.28,0,6.96,800,1.28,RATP_Open_Data_2024
Montpellier,RER,3.08,3.74,2.15,2.32,2024-05-06 00:00:00,1.73,4.37,OUI,7.43,800,8.46,Data.gouv.fr
Bordeaux,TER,6.94,2.98,8.7,5.66,2024-03-14 00:00:00,3.75,3.35,1,4.31,5,1.28,SNCF_Open_Data
Nice,TER,4.68,2.64,7.09,4.22,2024-05-03 00:00:00,7.33,2.55,OUI,2.76,5,7.76,Météo-France
Strasbourg,TGV,5.38,7.24,5.1,4.57,2024-10-11 00:00:00,7.33,8.16,0,2.65,5,8.32,Météo-France
Montpellier,TER,8.65,5.15,7.76,2.01,2024-09-22 00:00:00,5.49,7.1,1,1.27,120,1.26,Météo-France
Bordeaux,Transilien,4.36,1.31,7.77,3.7,2024-11-23 00:00:00,7.15,1.27,1,3.03,5,1.72,Airparif
Strasbourg,Transilien,6.4,1.49,1.4,2.71,2024-02-18 00:00:00,3.62,5.61,1,4.96,50,3.72,Météo-France
Paris,Métro,2.22,6.05,5.46,8.56,2024-08-03 00:00:00,2.43,5.98,0,2.11,120,8.42,Airparif
Toulouse,RER,5.82,5.62,4.73,6.2,2024-08-22 00:00:00,8.73,1.27,1,3.45,5,6.0,Airparif
Toulouse,TER,7.03,6.62,4.28,8.65,2024-07-29 00:00:00,5.47,8.54,0,1.62,50,1.64,Data.gouv.fr
Paris,TGV,8.52,7.37,6.79,5.1,2024-01-04 00:00:00,3.89,5.66,NON,4.22,50,1.23,SNCF_Open_Data
Marseille,Métro,2.65,5.01,8.11,5.81,2024-08-30 00:00:00,5.72,8.7,1,2.31,350,7.73,SNCF_Open_Data
Bordeaux,Transilien,7.48,4.19,6.36,6.71,2024-12-13 00:00:00,3.98,6.1,0,2.46,800,5.35,Airparif
Marseille,Bus RATP,7.35,2.21,1.5,2.75,2024-01-25 00:00:00,5.95,3.77,OUI,7.91,800,1.91,Data.gouv.fr
Montpellier,Métro,2.47,7.71,3.39,2.66,2024-06-18 00:00:00,3.16,5.79,1,5.65,120,5.2,RATP_Open_Data_2024
Lyon,Bus RATP,2.44,5.22,5.26,6.87,2024-11-13 00:00:00,3.65,4.72,OUI,3.08,350,2.6,Météo-France
Toulouse,Tramway,8.79,3.83,8.06,4.26,2024-08-14 00:00:00,4.2,8.24,0,7.23,350,2.73,Météo-France
Bordeaux,Tramway,2.6,4.1,3.23,2.38,2024-03-25 00:00:00,7.96,3.78,OUI,1.56,800,3.29,RATP_Open_Data_2024
Paris,Tramway,7.0,2.15,6.07,6.01,2024-07-08 00:00:00,4.05,1.99,OUI,4.74,800,2.74,SNCF_Open_Data
Nice,TGV,1.41,3.31,3.9,2.16,2024-09-24 00:00:00,7.15,8.76,NON,7.47,350,1.33,SNCF_Open_Data
Toulouse,Transilien,2.27,4.61,4.47,2.38,2024-09-03 00:00:00,5.17,6.41,0,4.2,5,3.53,SNCF_Open_Data
Strasbourg,Transilien,2.92,8.44,4.69,7.34,2024-12-10 00:00:00,4.45,6.43,0,7.12,120,6.75,SNCF_Open_Data
Nice,Tramway,8.3,2.62,1.5,1.96,2024-04-15 00:00:00,4.03,7.19,OUI,7.61,50,6.24,SNCF_Open_Data
Lyon,Bus RATP,2.37,6.78,6.24,5.86,2024-12-07 00:00:00,8.06,2.12,0,1.66,120,3.89,Airparif
Montpellier,Métro,4.39,2.4,3.68,5.5,2024-08-28 00:00:00,1.64,5.51,OUI,6.46,50,3.84,SNCF_Open_Data
Lyon,Transilien,6.0,4.36,7.26,4.74,2024-09-23 00:00:00,8.36,3.31,1,1.36,350,5.62,SNCF_Open_Data
Nice,RER,5.47,8.17,3.05,5.23,2024-05-14 00:00:00,7.21,2.71,OUI,3.91,50,1.78,Data.gouv.fr
Bordeaux,Tramway,7.85,5.9,6.59,4.17,2024-06-26 00:00:00,8.65,4.26,1,3.3,5,7.59,SNCF_Open_Data
Lyon,RER,7.54,2.43,1.26,3.27,2024-07-03 00:00:00,8.76,3.37,0,4.62,800,3.7,Airparif
Lyon,RER,4.76,2.87,1.88,1.48,2024-02-12 00:00:00,4.79,6.0,1,6.58,5,6.27,Airparif
Lille,Bus RATP,6.07,6.87,8.38,5.83,2024-12-22 00:00:00,2.81,7.43,1,8.21,350,7.47,SNCF_Open_Data
Bordeaux,TER,3.87,1.32,1.53,1.9,2024-06-02 00:00:00,1.94,3.72,0,6.52,800,8.42,Data.gouv.fr
Nantes,TGV,5.4,6.65,2.71,7.78,2024-11-25 00:00:00,3.31,1.35,0,4.81,350,4.6,Data.gouv.fr
Marseille,TGV,2.51,5.57,4.23,8.43,2024-03-15 00:00:00,5.97,6.57,NON,6.33,5,3.39,SNCF_Open_Data
Montpellier,Bus RATP,5.72,5.1,2.18,1.66,2024-11-23 00:00:00,7.12,1.35,OUI,5.52,5,3.06,SNCF_Open_Data
Montpellier,Transilien,5.4,4.04,7.61,5.49,2024-01-16 00:00:00,4.93,5.78,0,5.32,50,6.38,Airparif
Nice,Bus RATP,4.87,7.74,1.47,1.51,2024-05-10 00:00:00,5.3,3.94,OUI,4.2,120,6.29,Data.gouv.fr
Nantes,Tramway,6.2,4.44,1.76,8.38,2024-10-24 00:00:00,7.21,6.26,0,3.05,120,2.16,RATP_Open_Data_2024
Bordeaux,Métro,1.68,6.3,3.55,7.19,2024-03-19 00:00:00,3.8,7.13,NON,4.67,50,2.12,Data.gouv.fr
Strasbourg,Transilien,3.33,8.02,7.25,7.85,2024-02-04 00:00:00,7.76,1.92,1,7.35,50,8.57,Météo-France
Nantes,Tramway,2.7,3.03,1.88,3.75,2024-08-10 00:00:00,5.3,5.3,1,3.11,120,7.33,Airparif
Nantes,RER,1.64,7.14,6.02,3.51,2024-06-04 00:00:00,3.66,4.29,1,3.1,5,7.0,Airparif
Marseille,Transilien,7.34,2.3,6.19,7.26,2024-07-06 00:00:00,1.91,2.51,1,7.56,120,3.4,RATP_Open_Data_2024
Lille,Bus RATP,3.37,2.15,1.22,7.38,2024-01-04 00:00:00,5.09,1.27,OUI,3.11,50,1.87,Airparif
Montpellier,Transilien,5.1,2.94,2.84,7.33,2024-09-06 00:00:00,6.75,2.78,0,3.57,5,4.65,RATP_Open_Data_2024
Paris,Métro,7.9,8.01,6.17,4.21,2024-04-20 00:00:00,2.98,7.76,OUI,7.11,350,1.53,Météo-France
Paris,Tramway,8.69,4.03,2.27,5.01,2024-03-23 00:00:00,5.19,8.7,1,5.33,5,5.59,SNCF_Open_Data
Toulouse,TER,4.27,4.99,6.02,7.44,2024-11-16 00:00:00,7.59,3.01,0,8.28,800,1.5,SNCF_Open_Data
Lille,Tramway,1.69,5.38,4.94,6.92,2024-02-20 00:00:00,3.08,4.42,NON,4.89,120,4.94,RATP_Open_Data_2024
Montpellier,Transilien,7.47,3.94,7.38,6.49,2024-03-02 00:00:00,1.96,7.3,0,5.83,350,4.5,Météo-France
Bordeaux,Transilien,5.89,1.52,2.12,2.65,2024-09-08 00:00:00,5.83,8.07,0,8.53,120,3.63,RATP_Open_Data_2024
Paris,TGV,2.42,5.31,4.35,3.27,2024-04-29 00:00:00,5.22,7.68,NON,7.05,5,5.24,SNCF_Open_Data
Nantes,TER,6.68,2.42,2.21,2.61,2024-02-25 00:00:00,3.32,8.3,1,7.76,350,3.08,Airparif
Paris,Bus RATP,2.38,8.31,4.9,2.88,2024-11-29 00:00:00,3.17,7.48,OUI,2.35,50,5.81,SNCF_Open_Data
Lille,Bus RATP,3.74,5.33,2.37,7.83,2024-04-17 00:00:00,2.55,3.59,1,8.05,50,4.65,RATP_Open_Data_2024
Marseille,Bus RATP,5.63,7.54,1.7,3.47,2024-06-13 00:00:00,2.96,1.96,1,2.05,800,2.52,Airparif
Nantes,TGV,2.18,6.01,7.79,3.52,2024-11-15 00:00:00,4.9,7.24,NON,3.81,800,6.42,Météo-France
Paris,Métro,4.98,3.92,3.59,4.43,2024-09-23 00:00:00,8.58,5.99,NON,1.46,50,2.63,Data.gouv.fr
Bordeaux,Bus RATP,3.27,8.68,1.78,1.57,2024-03-06 00:00:00,5.03,2.82,OUI,5.44,350,1.37,Data.gouv.fr
Nice,Bus RATP,7.38,5.67,3.33,5.89,2024-03-03 00:00:00,4.96,4.97,1,4.68,800,1.48,Airparif
Nice,Transilien,1.89,7.11,4.4,1.51,2024-05-11 00:00:00,3.09,7.38,0,8.18,350,3.24,Airparif
Nice,Transilien,7.84,4.13,6.27,6.25,2024-08-23 00:00:00,7.13,3.03,OUI,8.3,5,5.54,Airparif
Marseille,Bus RATP,3.98,5.64,6.49,5.28,2024-06-05 00:00:00,2.31,6.22,1,2.3,50,7.16,Airparif
Montpellier,Transilien,6.24,5.75,6.55,4.73,2024-06-23 00:00:00,5.51,4.14,0,4.58,120,5.14,RATP_Open_Data_2024
Paris,Transilien,5.28,3.63,7.37,5.0,2024-11-30 00:00:00,5.97,5.21,1,2.99,800,4.78,Airparif
Toulouse,Métro,4.83,2.18,7.08,3.44,2024-01-18 00:00:00,6.68,2.39,OUI,7.1,350,6.67,Data.gouv.fr
Toulouse,Transilien,4.12,2.1,4.34,4.0,2024-03-19 00:00:00,4.62,1.77,0,7.39,5,7.29,Airparif
Strasbourg,TGV,3.77,1.47,6.54,2.69,2024-11-26 00:00:00,7.91,3.59,OUI,3.82,50,6.27,Airparif
Lille,Tramway,4.59,1.54,6.24,7.19,2024-09-19 00:00:00,5.04,3.94,OUI,6.92,800,7.12,SNCF_Open_Data
Marseille,TER,8.64,2.33,8.75,7.52,2024-01-06 00:00:00,7.72,3.14,1,7.25,5,3.71,RATP_Open_Data_2024
Lyon,Bus RATP,3.45,7.56,7.44,5.15,2024-02-07 00:00:00,4.68,2.16,NON,1.93,5,8.09,Airparif
Strasbourg,RER,1.5,5.25,2.54,7.09,2024-03-21 00:00:00,2.74,7.55,OUI,2.47,50,8.01,Météo-France
Lyon,Métro,2.35,8.12,6.6,6.82,2024-10-08 00:00:00,6.25,5.79,NON,8.49,350,6.23,RATP_Open_Data_2024
Lyon,Métro,4.22,8.32,6.28,4.77,2024-10-11 00:00:00,2.22,5.79,OUI,2.69,120,6.61,SNCF_Open_Data
Lille,RER,4.01,2.88,7.63,7.56,2024-12-23 00:00:00,8.75,4.06,NON,6.78,800,2.01,RATP_Open_Data_2024
Bordeaux,Bus RATP,2.46,7.84,2.19,4.89,2024-07-24 00:00:00,6.33,5.69,OUI,5.16,5,3.65,Airparif
Marseille,Tramway,7.57,4.92,4.62,6.09,2024-12-18 00:00:00,2.72,7.34,OUI,1.89,350,5.2,Météo-France
Strasbourg,Transilien,8.47,8.74,4.02,4.27,2024-02-04 00:00:00,2.29,3.27,NON,8.14,5,7.73,Météo-France
Toulouse,Tramway,3.67,5.98,4.69,6.81,2024-11-04 00:00:00,7.0,8.63,1,4.26,5,1.78,Météo-France
Montpellier,Tramway,6.92,4.97,3.36,6.14,2024-09-26 00:00:00,2.56,3.49,NON,3.94,50,2.49,Data.gouv.fr
Paris,TGV,3.07,6.22,4.44,4.91,2024-10-26 00:00:00,5.94,4.26,OUI,3.52,5,7.17,RATP_Open_Data_2024
Lille,Bus RATP,7.97,6.06,2.95,7.94,2024-06-25 00:00:00,5.59,6.49,OUI,7.68,120,2.21,Airparif
Toulouse,TER,4.86,7.23,7.83,1.33,2024-04-08 00:00:00,6.99,7.36,NON,5.89,120,7.93,RATP_Open_Data_2024
Lille,TER,1.21,6.28,5.76,7.92,2024-04-11 00:00:00,7.22,7.12,NON,5.73,120,3.5,Airparif
Bordeaux,Transilien,3.8,2.92,4.18,4.98,2024-09-04 00:00:00,8.07,7.0,0,5.69,800,2.76,Météo-France
Nice,RER,8.43,6.44,5.22,2.69,2024-08-14 00:00:00,5.05,3.86,0,7.82,800,1.99,Airparif
Lille,Métro,6.83,6.93,5.04,6.31,2024-08-29 00:00:00,5.53,3.23,NON,3.2,350,6.58,Airparif
Nice,TGV,5.64,7.1,4.62,3.99,2024-09-15 00:00:00,8.71,5.28,NON,4.06,350,4.31,Data.gouv.fr
Nantes,TER,7.17,4.95,5.24,8.37,2024-02-03 00:00:00,8.09,3.58,OUI,8.16,800,4.12,RATP_Open_Data_2024
Montpellier,TGV,2.61,2.62,2.23,8.09,2024-05-28 00:00:00,8.43,5.35,1,2.29,350,8.78,SNCF_Open_Data
Paris,TER,7.22,2.73,8.14,2.16,2024-07-06 00:00:00,3.32,2.42,OUI,3.57,5,2.04,Airparif
Lille,Tramway,5.43,8.59,2.01,4.12,2024-08-20 00:00:00,3.26,1.68,NON,7.58,5,6.16,Data.gouv.fr
Nice,TER,3.82,4.39,5.6,3.29,2024-10-08 00:00:00,8.49,7.37,1,1.55,120,7.86,Météo-France
Marseille,Tramway,6.09,1.99,2.65,2.49,2024-01-22 00:00:00,2.58,3.3,NON,6.35,5,5.99,SNCF_Open_Data
Lille,Tramway,2.33,2.93,8.69,4.9,2024-11-16 00:00:00,7.05,8.4,1,4.07,800,1.95,Météo-France
Paris,RER,3.72,5.57,3.8,2.49,2024-02-10 00:00:00,2.62,3.58,1,3.78,800,4.11,Météo-France
Paris,RER,7.3,2.08,7.33,3.43,2024-06-28 00:00:00,8.47,4.66,1,4.77,50,5.12,RATP_Open_Data_2024
Nice,Bus RATP,1.83,3.53,4.51,2.78,2024-04-03 00:00:00,7.18,2.18,NON,8.55,800,5.55,SNCF_Open_Data
Montpellier,TGV,7.9,5.42,8.15,4.35,2024-01-04 00:00:00,5.45,6.32,0,2.95,50,8.49,Airparif
Nice,TER,5.34,6.11,6.77,5.09,2024-08-26 00:00:00,4.46,6.9,0,4.11,350,2.78,Météo-France
Lyon,Bus RATP,8.55,4.8,6.21,6.49,2024-05-17 00:00:00,8.26,7.7,0,1.7,350,4.31,SNCF_Open_Data
Bordeaux,TGV,8.53,2.82,3.09,4.1,2024-04-27 00:00:00,1.24,4.44,NON,7.52,5,2.8,Météo-France
Lille,Tramway,2.58,6.98,2.5,4.42,2024-04-20 00:00:00,2.2,7.22,NON,3.22,800,7.34,Météo-France
Toulouse,RER,1.61,8.36,1.6,6.64,2024-12-22 00:00:00,8.64,5.13,1,4.21,120,8.42,RATP_Open_Data_2024
Marseille,Tramway,6.02,5.94,2.83,7.43,2024-08-14 00:00:00,2.48,6.44,OUI,1.25,800,6.51,SNCF_Open_Data
Lille,RER,8.59,7.39,8.16,2.99,2024-02-04 00:00:00,7.31,7.15,1,3.85,50,4.96,Météo-France
Lille,TGV,5.57,3.95,6.01,6.25,2024-06-19 00:00:00,6.71,8.42,0,7.0,800,7.93,SNCF_Open_Data
Marseille,Métro,6.25,8.71,3.23,6.34,2024-12-08 00:00:00,4.41,5.76,NON,8.39,120,4.45,Météo-France
Strasbourg,Tramway,1.73,7.86,2.4,1.25,2024-07-15 00:00:00,6.45,6.3,0,4.18,120,1.31,Météo-France
Montpellier,Transilien,1.9,6.61,6.15,2.25,2024-03-04 00:00:00,8.44,2.5,1,2.36,120,6.8,Airparif
Nice,Transilien,5.1,2.63,4.82,7.59,2024-05-12 00:00:00,3.0,1.27,NON,1.27,350,7.03,SNCF_Open_Data
Montpellier,Tramway,6.24,1.2,3.56,8.36,2024-06-23 00:00:00,6.48,7.97,OUI,3.99,50,3.96,Data.gouv.fr
Montpellier,Tramway,2.0,7.43,8.78,4.69,2024-01-09 00:00:00,4.85,7.89,1,1.74,800,2.24,Data.gouv.fr
Nice,RER,1.68,2.29,7.05,2.8,2024-03-28 00:00:00,5.66,4.83,1,6.51,50,3.86,Airparif
Paris,Tramway,5.32,3.08,8.6,6.99,2024-01-06 00:00:00,1.48,7.45,0,6.22,800,8.52,Airparif
Paris,RER,1.27,6.54,3.77,4.32,2024-05-08 00:00:00,5.43,2.4,OUI,1.52,350,3.43,Airparif
Paris,Bus RATP,6.82,2.55,2.16,3.29,2024-03-14 00:00:00,5.32,2.87,NON,8.04,50,7.92,RATP_Open_Data_2024
Marseille,Transilien,1.69,2.5,2.64,8.06,2024-11-07 00:00:00,3.45,4.03,0,3.93,120,7.61,RATP_Open_Data_2024
Lyon,Tramway,3.9,6.56,5.57,1.82,2024-04-10 00:00:00,6.89,8.65,OUI,7.33,120,6.38,Météo-France
Strasbourg,Bus RATP,8.05,6.04,7.06,1.4,2024-10-19 00:00:00,6.63,2.62,OUI,1.28,800,1.23,RATP_Open_Data_2024
Nice,Bus RATP,3.76,4.56,8.26,7.09,2024-04-05 00:00:00,1.93,3.73,1,6.41,120,8.22,SNCF_Open_Data
Lyon,Tramway,2.03,4.47,5.46,2.78,2024-05-24 00:00:00,3.97,1.58,OUI,6.87,5,7.88,Airparif
Nice,RER,5.33,1.73,1.51,1.56,2024-07-19 00:00:00,3.38,1.8,NON,5.68,350,7.75,SNCF_Open_Data
Nice,Tramway,6.19,3.8,6.92,7.52,2024-03-24 00:00:00,5.17,6.75,OUI,7.34,120,3.34,Airparif
Lyon,TER,4.37,5.47,2.74,6.95,2024-05-28 00:00:00,2.83,7.99,1,2.03,5,3.77,Data.gouv.fr
Nice,TGV,1.83,7.97,7.98,7.37,2024-02-18 00:00:00,5.95,7.11,1,5.84,800,7.65,Météo-France
Bordeaux,Bus RATP,3.03,3.69,2.43,7.05,2024-10-09 00:00:00,1.44,2.18,OUI,3.37,800,2.07,SNCF_Open_Data
Toulouse,TGV,5.33,4.27,6.93,5.78,2024-08-16 00:00:00,8.2,6.71,1,7.12,120,4.41,RATP_Open_Data_2024
Strasbourg,Tramway,7.65,5.09,8.75,1.72,2024-11-20 00:00:00,1.29,5.97,1,3.41,800,2.23,RATP_Open_Data_2024
Toulouse,Transilien,4.9,6.42,4.04,7.03,2024-07-13 00:00:00,5.55,5.16,1,8.67,5,4.0,Airparif
Nantes,Transilien,6.43,7.04,1.55,6.13,2024-07-25 00:00:00,2.83,4.26,OUI,4.98,800,3.26,RATP_Open_Data_2024
Nantes,Métro,2.86,4.92,7.4,8.68,2024-04-28 00:00:00,5.17,7.75,NON,7.52,120,7.78,Data.gouv.fr
Paris,TGV,1.3,4.66,3.49,6.04,2024-12-18 00:00:00,3.26,4.44,1,3.98,50,6.1,Airparif
Lyon,Métro,4.31,3.18,6.17,7.16,2024-02-11 00:00:00,3.07,3.65,OUI,7.87,5,5.54,Météo-France
Marseille,TGV,4.8,1.44,4.66,2.57,2024-01-31 00:00:00,7.81,5.78,1,5.89,800,1.27,Météo-France
Nantes,TGV,5.36,6.51,8.0,7.2,2024-07-26 00:00:00,4.14,2.58,1,3.75,120,2.06,RATP_Open_Data_2024
Lille,Métro,2.43,7.52,6.51,5.97,2024-04-28 00:00:00,2.31,1.67,OUI,2.39,50,6.82,Data.gouv.fr
Strasbourg,TER,2.19,8.25,5.9,8.51,2024-03-08 00:00:00,2.52,6.1,NON,5.13,50,4.99,SNCF_Open_Data
Paris,TGV,7.4,7.0,8.29,3.42,2024-04-17 00:00:00,2.64,7.85,1,7.16,5,7.61,Airparif
Nantes,Tramway,6.77,8.06,1.89,4.84,2024-07-20 00:00:00,5.79,8.67,0,5.95,120,8.48,SNCF_Open_Data
Montpellier,TER,4.11,1.48,8.16,7.25,2024-03-03 00:00:00,5.53,5.16,NON,3.46,120,3.43,RATP_Open_Data_2024
Marseille,Transilien,7.59,7.67,3.81,2.79,2024-11-13 00:00:00,1.7,3.96,NON,3.65,120,8.44,Airparif
Lyon,TGV,7.89,1.82,3.13,2.47,2024-11-29 00:00:00,2.58,7.97,1,7.76,120,4.35,Airparif
Bordeaux,Bus RATP,7.22,4.79,4.16,8.03,2024-06-11 00:00:00,1.59,2.29,1,1.39,50,4.94,Airparif
Lille,TER,3.66,7.06,1.68,5.3,2024-12-03 00:00:00,3.26,1.61,NON,4.81,350,4.11,Data.gouv.fr
Nantes,TGV,5.24,1.46,6.0,2.28,2024-11-27 00:00:00,7.8,2.42,0,8.15,5,5.65,Météo-France
Bordeaux,Transilien,3.54,5.21,4.44,6.99,2024-09-10 00:00:00,6.06,2.76,0,6.94,120,2.09,Météo-France
Paris,Transilien,4.07,2.47,8.62,1.65,2024-05-09 00:00:00,1.41,6.47,OUI,4.78,50,5.72,RATP_Open_Data_2024
Paris,Transilien,1.95,7.8,5.51,6.4,2024-01-19 00:00:00,5.76,7.61,0,1.85,50,4.79,Airparif
Nantes,TGV,6.47,1.34,8.72,1.74,2024-04-23 00:00:00,5.73,2.95,0,6.89,50,4.98,RATP_Open_Data_2024
Nantes,Bus RATP,5.39,6.2,3.25,1.58,2024-10-20 00:00:00,7.94,1.57,1,1.84,50,2.18,RATP_Open_Data_2024
Paris,TGV,1.58,6.91,5.72,2.19,2024-05-18 00:00:00,6.51,6.16,1,4.02,50,7.68,SNCF_Open_Data
Montpellier,Transilien,3.73,6.75,1.95,4.94,2024-01-06 00:00:00,4.91,5.14,0,5.94,350,1.72,SNCF_Open_Data
Montpellier,TER,5.28,7.89,4.02,1.87,2024-07-30 00:00:00,7.75,6.35,1,2.59,50,5.58,SNCF_Open_Data
Lille,Transilien,8.65,3.11,4.89,7.41,2024-07-01 00:00:00,4.2,6.94,OUI,6.91,120,4.31,Météo-France
Bordeaux,RER,2.73,2.82,6.48,4.99,2024-10-01 00:00:00,8.13,2.05,OUI,5.85,800,4.75,Data.gouv.fr
Lille,TGV,7.06,4.08,2.43,7.46,2024-12-13 00:00:00,2.76,7.45,0,8.48,120,4.79,Data.gouv.fr
Lyon,Transilien,4.87,7.42,5.06,5.26,2024-08-29 00:00:00,1.96,7.88,1,4.87,120,6.06,Airparif
Strasbourg,Bus RATP,5.33,3.03,6.23,8.36,2024-04-06 00:00:00,2.92,2.02,1,5.89,5,4.06,Météo-France
Strasbourg,TER,8.59,6.88,2.1,5.25,2024-10-05 00:00:00,4.28,5.88,OUI,1.72,120,2.44,Airparif
Paris,Bus RATP,6.07,6.96,3.36,1.8,2024-08-08 00:00:00,2.43,4.71,OUI,6.69,50,7.34,Météo-France
Lille,TGV,5.23,4.51,2.31,2.3,2024-05-17 00:00:00,6.22,1.78,NON,8.5,800,4.52,Météo-France
Nice,Transilien,6.52,2.15,7.98,6.85,2024-07-04 00:00:00,5.84,3.05,OUI,4.55,350,1.95,Data.gouv.fr
Montpellier,RER,6.64,1.72,4.38,1.99,2024-10-28 00:00:00,2.3,2.51,1,7.59,350,3.3,Airparif
Strasbourg,RER,2.48,3.6,2.34,4.35,2024-07-23 00:00:00,5.98,8.72,0,8.14,5,3.97,SNCF_Open_Data
Bordeaux,Tramway,6.41,5.26,5.74,1.6,2024-07-07 00:00:00,4.99,7.45,NON,7.55,350,4.72,Météo-France
Nice,TER,4.51,7.61,5.21,7.72,2024-08-12 00:00:00,6.43,1.76,1,8.19,50,3.71,Météo-France
Nice,TER,5.95,3.32,4.51,2.24,2024-10-17 00:00:00,7.62,7.4,NON,5.09,50,3.96,Météo-France
Montpellier,Transilien,2.34,2.93,2.44,4.09,2024-01-06 00:00:00,2.89,1.93,0,2.51,50,8.76,SNCF_Open_Data
