col_ville,col_mode_transport,col_retard_moyen,col_retard_max,col_nb_incidents,col_total_passagers_impactes,col_date,col_heure,col_ligne,col_retard_minutes,col_retard_categorie,col_cause_retard,col_nb_voyages_affectes,col_passagers_impactes,col_type_incident,col_source
Nice,Bus RATP,3.36,7.99,ID_051,1.96,2024-03-25 00:00:00,5.05,2.93,1.43,6.76,5.12,1.34,4.47,ID_051,Airparif
Nice,TER,2.12,6.58,ID_052,2.53,2024-06-19 00:00:00,2.78,6.39,4.1,5.94,7.56,7.36,5.61,ID_052,Météo-France
Nice,Transilien,4.91,4.12,ID_053,7.37,2024-03-17 00:00:00,8.41,1.38,4.8,4.06,3.08,8.58,5.0,ID_053,RATP_Open_Data_2024
Paris,Bus RATP,2.38,4.99,ID_054,4.39,2024-02-08 00:00:00,4.6,2.68,6.31,7.55,4.3,1.67,6.83,ID_054,RATP_Open_Data_2024
Bordeaux,RER,8.43,2.84,ID_055,1.31,2024-04-21 00:00:00,4.15,1.5,8.24,6.13,4.17,3.48,7.21,ID_055,SNCF_Open_Data
Toulouse,Tramway,2.05,6.57,ID_056,8.57,2024-02-13 00:00:00,2.24,2.44,5.54,1.83,8.31,5.45,3.04,ID_056,Data.gouv.fr
Paris,Tramway,2.56,2.44,ID_057,8.18,2024-07-15 00:00:00,3.65,7.95,1.84,5.0,1.78,2.26,8.37,ID_057,Data.gouv.fr
Toulouse,TER,7.05,1.77,ID_058,7.48,2024-01-17 00:00:00,5.86,1.97,6.03,7.7,2.54,8.78,7.07,ID_058,SNCF_Open_Data
Nice,TGV,7.29,1.35,ID_059,2.11,2024-11-29 00:00:00,7.61,7.27,5.85,7.76,5.81,6.57,2.29,ID_059,Data.gouv.fr
Toulouse,TGV,2.97,1.71,ID_060,4.96,2024-06-12 00:00:00,3.82,7.62,1.9,5.38,3.22,8.27,4.54,ID_060,RATP_Open_Data_2024
Toulouse,Tramway,6.34,6.37,ID_061,7.91,2024-11-22 00:00:00,4.61,5.14,8.2,4.44,6.46,4.01,8.4,ID_061,RATP_Open_Data_2024
Lille,TGV,3.03,2.41,ID_062,1.88,2024-11-15 00:00:00,3.6,2.97,2.88,3.87,4.42,7.91,5.16,ID_062,RATP_Open_Data_2024
Nantes,RER,3.98,2.21,ID_063,3.37,2024-09-29 00:00:00,8.09,2.85,3.89,3.1,2.61,3.49,7.09,ID_063,Météo-France
Nice,Métro,4.55,3.94,ID_064,1.23,2024-02-04 00:00:00,8.8,7.77,5.51,5.14,6.0,7.05,6.38,ID_064,SNCF_Open_Data
Lille,TGV,3.82,6.25,ID_065,8.51,2024-08-21 00:00:00,1.92,2.65,8.49,2.07,4.07,7.51,2.66,ID_065,RATP_Open_Data_2024
Bordeaux,TER,2.04,3.69,ID_066,3.34,2024-09-06 00:00:00,8.32,5.84,1.27,4.69,6.83,2.68,4.23,ID_066,Airparif
Nantes,RER,7.53,7.64,ID_067,8.56,2024-04-30 00:00:00,8.66,5.02,5.89,5.95,5.05,1.48,7.68,ID_067,RATP_Open_Data_2024
Montpellier,TGV,7.11,6.3,ID_068,5.69,2024-10-30 00:00:00,1.4,4.76,7.77,8.19,7.89,8.34,8.49,ID_068,Météo-France
Strasbourg,Transilien,3.52,6.59,ID_069,4.02,2024-09-20 00:00:00,3.05,1.82,6.58,2.01,8.45,1.31,6.14,ID_069,SNCF_Open_Data
Paris,RER,2.26,4.95,ID_070,6.1,2024-02-07 00:00:00,6.01,8.17,7.15,2.14,2.34,4.85,5.08,ID_070,RATP_Open_Data_2024
Strasbourg,TGV,6.71,3.64,ID_071,5.35,2024-10-04 00:00:00,3.34,3.03,7.15,3.89,4.89,2.27,2.82,ID_071,Data.gouv.fr
Montpellier,TER,6.33,6.33,ID_072,7.4,2024-02-14 00:00:00,7.05,4.49,3.13,8.28,7.66,4.44,1.76,ID_072,SNCF_Open_Data
Strasbourg,Métro,1.41,1.65,ID_073,7.32,2024-10-24 00:00:00,1.82,5.48,7.96,7.06,8.56,4.54,4.45,ID_073,Data.gouv.fr
Paris,RER,6.5,2.79,ID_074,6.72,2024-08-07 00:00:00,5.58,2.69,7.07,7.77,3.0,3.47,6.39,ID_074,Data.gouv.fr
Bordeaux,Tramway,8.38,4.63,ID_075,2.86,2024-12-04 00:00:00,4.31,4.13,7.27,7.91,5.42,2.46,1.23,ID_075,RATP_Open_Data_2024
Strasbourg,Bus RATP,4.71,5.9,ID_076,1.3,2024-06-08 00:00:00,8.68,4.6,5.05,4.95,2.57,8.76,1.57,ID_076,Météo-France
Lille,Métro,3.23,4.36,ID_077,3.29,2024-09-06 00:00:00,1.84,4.7,7.09,1.49,7.24,6.8,1.66,ID_077,Data.gouv.fr
Lyon,TER,2.7,4.0,ID_078,2.32,2024-08-09 00:00:00,2.46,6.49,1.52,8.29,5.02,7.45,7.12,ID_078,SNCF_Open_Data
Lille,Tramway,6.84,3.45,ID_079,6.38,2024-10-10 00:00:00,1.21,3.39,4.68,2.94,7.41,4.92,3.72,ID_079,Data.gouv.fr
Paris,Métro,3.43,1.76,ID_080,8.42,2024-02-03 00:00:00,4.59,4.17,8.37,5.0,8.71,5.27,4.32,ID_080,Data.gouv.fr
Nantes,Transilien,1.3,8.2,ID_081,8.73,2024-12-21 00:00:00,5.38,3.13,8.45,7.74,6.03,2.74,1.29,ID_081,Météo-France
Nice,Transilien,6.6,6.3,ID_082,1.4,2024-01-30 00:00:00,5.78,6.91,4.7,1.8,3.35,2.19,1.8,ID_082,RATP_Open_Data_2024
Marseille,Métro,4.28,7.1,ID_083,2.34,2024-09-02 00:00:00,7.03,6.92,1.53,2.27,3.08,8.21,6.51,ID_083,Météo-France
Bordeaux,Métro,5.76,4.61,ID_084,6.53,2024-08-15 00:00:00,2.25,4.02,5.97,3.13,8.08,1.61,4.88,ID_084,Data.gouv.fr
Montpellier,RER,3.42,4.95,ID_085,2.08,2024-10-29 00:00:00,8.59,2.54,3.79,3.69,1.93,4.44,1.24,ID_085,RATP_Open_Data_2024
Nantes,TGV,5.86,1.49,ID_086,5.85,2024-06-10 00:00:00,8.26,1.77,6.19,5.83,6.84,7.71,8.34,ID_086,Airparif
Marseille,Bus RATP,7.9,5.84,ID_087,6.03,2024-02-17 00:00:00,1.29,6.1,4.85,2.33,6.03,5.54,7.53,ID_087,SNCF_Open_Data
Montpellier,TGV,4.27,4.58,ID_088,7.65,2024-12-14 00:00:00,4.62,8.66,7.95,4.69,7.26,7.57,4.22,ID_088,RATP_Open_Data_2024
Lyon,TGV,3.87,2.35,ID_089,3.36,2024-03-20 00:00:00,8.1,5.44,2.83,2.57,6.7,7.52,5.06,ID_089,RATP_Open_Data_2024
Toulouse,Tramway,7.62,4.19,ID_090,5.24,2024-05-02 00:00:00,2.51,1.59,8.61,3.0,7.77,6.32,2.42,ID_090,Data.gouv.fr
Montpellier,Bus RATP,2.43,4.47,ID_091,1.96,2024-12-16 00:00:00,7.48,8.63,6.26,2.71,3.63,3.74,5.58,ID_091,Météo-France
Toulouse,Tramway,4.85,4.25,ID_092,6.37,2024-04-07 00:00:00,8.11,3.17,8.31,7.51,6.04,4.67,8.07,ID_092,Airparif
Strasbourg,Bus RATP,5.55,8.58,ID_093,2.4,2024-06-17 00:00:00,1.76,3.03,7.05,2.25,4.74,5.37,6.13,ID_093,Météo-France
Strasbourg,Bus RATP,6.75,5.37,ID_094,4.59,2024-07-10 00:00:00,7.07,4.42,3.54,4.8,5.81,3.42,4.06,ID_094,Météo-France
Lyon,Transilien,2.53,7.15,ID_095,7.5,2024-05-10 00:00:00,3.94,4.86,4.48,5.19,6.58,3.04,7.92,ID_095,RATP_Open_Data_2024
Nantes,Transilien,5.17,8.48,ID_096,7.98,2024-10-09 00:00:00,4.45,7.07,7.39,2.41,7.6,3.88,5.38,ID_096,RATP_Open_Data_2024
Lyon,TER,6.78,6.53,ID_097,6.77,2024-02-02 00:00:00,5.6,4.21,8.29,8.44,5.32,2.0,7.6,ID_097,RATP_Open_Data_2024
Strasbourg,Métro,5.76,2.9,ID_098,7.36,2024-07-23 00:00:00,1.94,2.68,8.79,3.59,6.33,3.36,7.4,ID_098,RATP_Open_Data_2024
Lyon,TER,1.72,6.73,ID_099,5.34,2024-05-08 00:00:00,1.5,3.23,1.85,6.36,4.56,4.26,8.31,ID_099,Météo-France
Strasbourg,Bus RATP,5.31,5.95,ID_000,4.83,2024-01-20 00:00:00,5.57,7.41,8.3,5.56,3.42,5.48,6.63,ID_000,SNCF_Open_Data
Lille,TGV,5.41,3.06,ID_001,7.25,2024-11-30 00:00:00,5.64,6.95,8.23,2.36,5.98,5.4,2.49,ID_001,Data.gouv.fr
Toulouse,Bus RATP,7.55,6.07,ID_002,8.19,2024-07-07 00:00:00,2.94,2.73,8.4,6.53,7.81,1.61,2.63,ID_002,Data.gouv.fr
Paris,RER,7.2,6.26,ID_003,5.13,2024-05-18 00:00:00,2.33,1.61,6.27,6.94,2.67,1.63,5.06,ID_003,Data.gouv.fr
Lyon,RER,6.81,2.99,ID_004,6.02,2024-11-01 00:00:00,1.8,4.05,1.96,2.26,2.91,4.95,2.14,ID_004,Airparif
Strasbourg,RER,8.71,1.72,ID_005,1.57,2024-12-05 00:00:00,6.62,5.22,6.25,8.06,4.57,8.27,4.26,ID_005,Airparif
Bordeaux,RER,3.77,7.31,ID_006,2.35,2024-12-13 00:00:00,6.47,4.9,3.35,1.34,4.34,4.44,6.02,ID_006,RATP_Open_Data_2024
Lille,Métro,7.32,8.69,ID_007,6.66,2024-10-11 00:00:00,3.29,1.29,2.49,8.71,8.24,1.52,1.57,ID_007,Météo-France
Marseille,Transilien,2.73,5.62,ID_008,5.94,2024-10-17 00:00:00,1.31,4.26,6.16,7.66,4.83,3.3,5.11,ID_008,Data.gouv.fr
Toulouse,Métro,5.89,8.23,ID_009,3.3,2024-12-03 00:00:00,6.45,1.33,1.64,6.13,8.79,3.63,2.45,ID_009,RATP_Open_Data_2024
Nantes,RER,4.78,2.38,ID_010,2.15,2024-03-14 00:00:00,5.99,5.29,1.95,1.59,3.4,7.94,5.52,ID_010,Météo-France
Bordeaux,TGV,2.07,3.52,ID_011,6.02,2024-11-12 00:00:00,4.17,5.85,1.59,7.46,1.28,3.14,1.84,ID_011,RATP_Open_Data_2024
Toulouse,RER,2.99,2.34,ID_012,5.56,2024-01-03 00:00:00,1.43,2.08,6.36,1.71,6.86,1.46,8.62,ID_012,Data.gouv.fr
Marseille,TER,4.84,5.48,ID_013,7.34,2024-01-07 00:00:00,3.74,3.82,3.71,1.71,3.49,1.5,3.09,ID_013,Data.gouv.fr
Lyon,RER,5.73,4.63,ID_014,5.51,2024-03-29 00:00:00,7.38,3.31,2.31,4.53,1.24,6.41,3.27,ID_014,RATP_Open_Data_2024
Nice,Métro,2.46,8.35,ID_015,4.61,2024-04-16 00:00:00,5.79,7.9,7.28,6.37,8.68,2.84,2.56,ID_015,Airparif
Toulouse,Bus RATP,6.64,3.84,ID_016,6.53,2024-03-14 00:00:00,7.27,4.54,5.49,4.37,4.64,1.48,8.29,ID_016,Airparif
Toulouse,RER,3.65,4.81,ID_017,3.13,2024-05-15 00:00:00,7.63,2.99,4.48,6.51,7.12,3.89,3.1,ID_017,SNCF_Open_Data
Lyon,Métro,4.31,3.93,ID_018,2.69,2024-07-24 00:00:00,6.82,5.88,8.56,4.26,5.01,7.43,6.66,ID_018,Airparif
Nantes,Tramway,8.78,2.31,ID_019,1.89,2024-04-23 00:00:00,3.41,7.57,3.78,6.59,6.63,7.33,2.89,ID_019,Airparif
Nantes,Tramway,4.44,5.19,ID_020,4.71,2024-10-05 00:00:00,1.99,2.23,5.89,1.75,6.04,7.1,5.51,ID_020,Data.gouv.fr
Nice,Tramway,4.75,2.07,ID_021,2.49,2024-09-19 00:00:00,7.11,2.59,1.64,5.03,8.05,2.13,5.37,ID_021,Météo-France
Marseille,Bus RATP,6.95,7.73,ID_022,5.7,2024-11-03 00:00:00,2.14,8.39,6.97,2.53,7.13,5.0,7.54,ID_022,Data.gouv.fr
Strasbourg,Tramway,4.69,6.27,ID_023,5.78,2024-10-30 00:00:00,7.18,2.4,5.55,1.38,7.43,1.87,7.91,ID_023,RATP_Open_Data_2024
Nice,RER,5.83,6.54,ID_024,6.13,2024-02-22 00:00:00,4.48,3.83,5.3,8.18,4.41,2.84,8.1,ID_024,RATP_Open_Data_2024
Lille,Tramway,1.24,3.01,ID_025,2.79,2024-08-22 00:00:00,2.74,6.96,3.39,8.14,7.66,2.89,3.69,ID_025,Météo-France
Lyon,TGV,6.58,7.15,ID_026,7.71,2024-09-20 00:00:00,7.06,6.11,4.11,4.59,4.19,7.75,8.61,ID_026,Data.gouv.fr
Montpellier,TGV,5.76,6.35,ID_027,2.2,2024-05-19 00:00:00,4.8,7.73,4.42,6.07,8.53,5.86,4.28,ID_027,Météo-France
Nantes,Transilien,4.73,3.08,ID_028,6.35,2024-11-08 00:00:00,7.13,4.43,5.07,4.91,3.33,8.26,5.56,ID_028,SNCF_Open_Data
Nice,TER,8.22,8.1,ID_029,5.72,2024-01-21 00:00:00,6.54,4.53,1.52,8.56,1.3,2.44,6.4,ID_029,Data.gouv.fr
Nice,Bus RATP,3.18,5.56,ID_030,7.9,2024-12-01 00:00:00,4.11,4.61,4.63,7.7,6.75,2.32,4.95,ID_030,RATP_Open_Data_2024
Montpellier,RER,7.95,1.8,ID_031,4.7,2024-06-03 00:00:00,4.74,8.04,4.12,3.8,2.18,3.08,8.51,ID_031,Météo-France
Montpellier,Transilien,2.97,4.68,ID_032,8.15,2024-07-20 00:00:00,7.36,2.52,4.93,6.53,3.67,1.59,2.06,ID_032,Data.gouv.fr
Bordeaux,TGV,8.12,4.52,ID_033,5.8,2024-08-16 00:00:00,2.25,2.15,2.18,7.73,4.71,1.23,7.2,ID_033,SNCF_Open_Data
Marseille,TER,1.98,4.54,ID_034,1.32,2024-09-06 00:00:00,7.28,3.71,2.11,3.81,2.53,4.25,8.45,ID_034,SNCF_Open_Data
Montpellier,TGV,2.79,3.72,ID_035,8.14,2024-03-06 00:00:00,1.65,7.21,1.99,2.88,6.98,3.82,5.22,ID_035,SNCF_Open_Data
Marseille,Métro,2.49,1.42,ID_036,4.57,2024-03-15 00:00:00,1.99,1.85,4.97,2.65,5.78,7.42,7.16,ID_036,RATP_Open_Data_2024
Nice,TGV,2.83,5.81,ID_037,1.77,2024-11-21 00:00:00,5.18,5.77,1.29,6.06,2.74,5.12,1.24,ID_037,SNCF_Open_Data
Nice,Transilien,1.47,6.0,ID_038,2.88,2024-01-27 00:00:00,2.1,6.99,5.44,2.23,5.62,5.92,7.1,ID_038,Airparif
Marseille,Transilien,1.7,3.45,ID_039,8.53,2024-12-09 00:00:00,3.61,5.93,7.02,6.04,3.34,7.77,3.67,ID_039,Airparif
Marseille,Métro,4.77,3.93,ID_040,4.4,2024-01-01 00:00:00,7.33,5.96,1.53,2.97,3.02,6.84,8.39,ID_040,Data.gouv.fr
Lille,Métro,3.4,7.48,ID_041,5.62,2024-10-09 00:00:00,1.49,3.58,6.69,2.16,6.8,4.62,2.97,ID_041,RATP_Open_Data_2024
Montpellier,RER,1.42,6.49,ID_042,1.97,2024-10-07 00:00:00,7.37,3.59,8.8,3.93,7.11,3.2,7.73,ID_042,Data.gouv.fr
Paris,RER,1.84,7.85,ID_043,6.09,2024-06-08 00:00:00,4.62,2.58,7.76,2.58,5.55,5.26,3.73,ID_043,Météo-France
Nantes,TER,5.09,6.74,ID_044,8.61,2024-05-17 00:00:00,8.63,4.5,7.73,4.89,2.59,4.39,4.71,ID_044,Météo-France
Lille,TER,8.19,1.75,ID_045,8.69,2024-07-17 00:00:00,5.51,1.23,5.54,5.96,8.56,1.68,5.33,ID_045,Data.gouv.fr
Lille,Transilien,4.82,7.45,ID_046,5.51,2024-07-04 00:00:00,4.39,2.34,5.84,2.41,4.45,3.03,4.02,ID_046,Data.gouv.fr
Bordeaux,TER,8.03,2.08,ID_047,1.72,2024-05-12 00:00:00,2.83,7.67,4.32,6.1,1.74,7.59,5.24,ID_047,RATP_Open_Data_2024
Bordeaux,Bus RATP,5.44,7.04,ID_048,6.76,2024-10-21 00:00:00,7.36,7.11,2.79,5.93,3.54,7.23,8.48,ID_048,Météo-France
Marseille,Transilien,5.49,2.88,ID_049,7.98,2024-03-22 00:00:00,5.03,1.73,3.68,2.39,6.24,3.63,7.58,ID_049,SNCF_Open_Data
Lyon,Tramway,3.92,4.92,ID_050,3.66,2024-03-25 00:00:00,2.12,2.51,3.54,5.65,3.75,2.14,1.25,ID_050,SNCF_Open_Data
Nantes,Métro,1.81,4.33,ID_051,5.74,2024-11-02 00:00:00,2.81,5.29,2.23,8.49,3.0,8.25,5.32,ID_051,RATP_Open_Data_2024
Paris,TGV,5.96,8.15,ID_052,7.03,2024-02-25 00:00:00,3.55,1.97,3.43,3.34,7.04,3.46,4.36,ID_052,Airparif
Lille,TGV,2.72,3.91,ID_053,8.2,2024-07-02 00:00:00,1.27,7.48,8.24,3.49,6.48,6.99,1.66,ID_053,SNCF_Open_Data
Lyon,TGV,5.05,6.5,ID_054,6.81,2024-07-09 00:00:00,7.11,7.57,3.84,7.91,2.79,7.19,5.99,ID_054,Météo-France
Bordeaux,Transilien,1.74,6.4,ID_055,2.6,2024-01-09 00:00:00,1.35,5.81,1.92,7.39,8.66,6.16,6.25,ID_055,Airparif
Nice,TER,8.58,1.42,ID_056,7.31,2024-09-10 00:00:00,5.92,3.88,6.52,3.14,1.45,2.67,6.19,ID_056,RATP_Open_Data_2024
Nantes,Métro,5.86,8.0,ID_057,5.57,2024-07-05 00:00:00,1.67,1.45,8.35,3.21,6.0,5.19,1.85,ID_057,Airparif
Strasbourg,RER,6.83,2.83,ID_058,2.25,2024-03-27 00:00:00,3.16,1.9,2.02,7.96,4.71,4.56,1.89,ID_058,Data.gouv.fr
Lille,Tramway,2.02,4.73,ID_059,3.85,2024-11-10 00:00:00,7.46,6.49,2.05,6.11,2.46,8.11,2.55,ID_059,RATP_Open_Data_2024
Nantes,RER,1.61,6.11,ID_060,8.73,2024-05-28 00:00:00,7.52,4.08,5.0,1.65,2.2,7.12,8.24,ID_060,RATP_Open_Data_2024
Marseille,Tramway,7.09,4.64,ID_061,3.98,2024-07-17 00:00:00,6.98,3.55,7.95,5.62,5.53,7.76,1.54,ID_061,Airparif
Lyon,Bus RATP,6.52,7.1,ID_062,2.27,2024-07-29 00:00:00,1.31,7.52,1.51,7.62,5.55,7.74,7.1,ID_062,RATP_Open_Data_2024
Paris,Transilien,8.16,8.32,ID_063,2.31,2024-02-20 00:00:00,2.74,5.82,6.43,5.8,7.68,5.83,3.16,ID_063,RATP_Open_Data_2024
Bordeaux,Métro,8.57,3.74,ID_064,1.3,2024-02-03 00:00:00,7.02,3.22,2.25,6.59,5.16,1.96,7.13,ID_064,Data.gouv.fr
Lyon,TGV,3.6,2.37,ID_065,1.29,2024-04-08 00:00:00,3.83,5.35,3.96,4.54,7.4,6.26,2.77,ID_065,Data.gouv.fr
Nice,RER,6.82,3.18,ID_066,6.05,2024-06-16 00:00:00,7.34,1.33,4.08,2.9,5.31,4.69,7.6,ID_066,RATP_Open_Data_2024
Bordeaux,Transilien,4.11,6.64,ID_067,6.43,2024-10-08 00:00:00,4.88,4.14,3.53,6.32,5.24,7.09,8.28,ID_067,SNCF_Open_Data
Lyon,TGV,7.48,7.66,ID_068,6.22,2024-01-10 00:00:00,5.49,1.9,3.76,8.2,1.53,3.75,6.47,ID_068,SNCF_Open_Data
Nantes,RER,7.44,6.64,ID_069,1.61,2024-04-19 00:00:00,2.06,3.26,7.64,4.19,5.97,6.88,4.52,ID_069,Data.gouv.fr
Marseille,RER,6.27,1.75,ID_070,2.76,2024-05-06 00:00:00,4.42,3.17,2.17,1.63,3.69,1.75,8.02,ID_070,Data.gouv.fr
Bordeaux,Tramway,3.16,6.11,ID_071,5.93,2024-01-25 00:00:00,6.56,5.05,5.55,1.64,1.69,8.59,6.53,ID_071,Airparif
Nantes,TGV,4.62,4.49,ID_072,5.94,2024-07-02 00:00:00,7.51,1.54,5.54,6.89,4.58,1.49,5.43,ID_072,Airparif
Toulouse,TER,2.76,4.66,ID_073,4.95,2024-07-26 00:00:00,5.99,6.75,2.78,7.09,5.51,6.69,3.98,ID_073,RATP_Open_Data_2024
Montpellier,Bus RATP,2.64,7.49,ID_074,6.44,2024-05-30 00:00:00,3.38,3.25,3.33,8.49,8.24,8.74,3.26,ID_074,Météo-France
Nice,TGV,3.09,2.88,ID_075,1.8,2024-01-20 00:00:00,6.35,2.73,3.97,7.56,3.13,5.98,4.25,ID_075,Airparif
Marseille,TER,2.92,8.28,ID_076,2.62,2024-05-10 00:00:00,4.58,4.75,7.8,6.6,4.63,6.89,1.67,ID_076,Météo-France
Bordeaux,Bus RATP,8.04,4.8,ID_077,8.25,2024-01-30 00:00:00,5.56,4.78,8.14,7.88,7.94,7.52,3.94,ID_077,RATP_Open_Data_2024
Paris,Bus RATP,2.47,3.45,ID_078,6.37,2024-06-18 00:00:00,4.91,3.22,5.71,5.85,5.78,2.37,3.49,ID_078,Data.gouv.fr
Toulouse,Bus RATP,3.11,5.0,ID_079,5.48,2024-03-21 00:00:00,4.37,8.33,6.12,4.02,3.07,7.76,7.94,ID_079,Airparif
Montpellier,Transilien,2.48,3.31,ID_080,4.29,2024-09-25 00:00:00,4.35,5.91,4.63,5.63,4.45,5.47,2.53,ID_080,Data.gouv.fr
Nantes,Tramway,3.87,5.87,ID_081,1.23,2024-01-16 00:00:00,2.09,1.73,1.94,8.64,6.99,7.56,7.21,ID_081,SNCF_Open_Data
Lille,RER,4.91,3.61,ID_082,3.15,2024-11-18 00:00:00,8.56,3.66,8.15,6.9,8.04,7.37,5.72,ID_082,RATP_Open_Data_2024
Lille,Transilien,6.52,3.5,ID_083,8.09,2024-08-31 00:00:00,4.48,1.84,5.68,4.57,2.39,2.52,8.04,ID_083,SNCF_Open_Data
Lyon,TGV,7.62,1.45,ID_084,5.37,2024-08-12 00:00:00,1.67,5.34,6.6,8.23,7.63,6.14,1.49,ID_084,SNCF_Open_Data
Strasbourg,TER,8.06,2.79,ID_085,4.95,2024-06-08 00:00:00,3.12,2.57,8.13,1.5,7.19,8.75,7.42,ID_085,Data.gouv.fr
Nantes,Tramway,1.86,5.08,ID_086,7.57,2024-07-20 00:00:00,8.18,4.73,3.21,3.73,8.58,5.88,4.79,ID_086,Airparif
Toulouse,RER,8.79,3.55,ID_087,1.29,2024-06-21 00:00:00,4.59,4.42,7.4,2.89,2.23,6.28,7.18,ID_087,SNCF_Open_Data
Strasbourg,Métro,3.4,3.19,ID_088,4.35,2024-09-14 00:00:00,8.14,1.92,2.53,6.66,6.78,7.75,5.95,ID_088,SNCF_Open_Data
Bordeaux,Transilien,7.27,1.55,ID_089,2.09,2024-03-12 00:00:00,8.39,5.69,1.56,4.19,5.61,8.34,3.25,ID_089,Météo-France
Toulouse,RER,8.53,6.84,ID_090,7.22,2024-07-03 00:00:00,5.88,5.72,2.76,2.25,8.07,7.21,3.87,ID_090,Data.gouv.fr
Lille,Métro,6.76,7.18,ID_091,6.29,2024-11-07 00:00:00,8.54,2.5,4.16,7.96,4.15,7.99,2.23,ID_091,SNCF_Open_Data
Paris,TER,3.11,1.87,ID_092,5.43,2024-03-07 00:00:00,8.37,4.05,6.37,5.5,1.5,8.69,8.71,ID_092,SNCF_Open_Data
Lille,RER,2.34,6.36,ID_093,8.35,2024-01-07 00:00:00,4.33,4.16,6.57,6.87,4.39,5.75,3.85,ID_093,Data.gouv.fr
Marseille,Tramway,2.95,5.02,ID_094,6.23,2024-12-20 00:00:00,8.68,3.69,7.59,8.48,3.13,7.69,3.95,ID_094,Airparif
Toulouse,RER,3.89,7.96,ID_095,1.24,2024-04-22 00:00:00,1.38,2.46,3.63,4.41,7.81,2.19,3.99,ID_095,RATP_Open_Data_2024
Lyon,Tramway,7.87,3.9,ID_096,3.45,2024-05-17 00:00:00,4.09,6.43,8.45,2.45,5.58,7.86,4.39,ID_096,RATP_Open_Data_2024
Lyon,Tramway,6.56,5.07,ID_097,1.31,2024-07-05 00:00:00,5.09,3.92,3.3,4.83,4.52,2.35,3.06,ID_097,Data.gouv.fr
Nantes,TER,4.69,8.47,ID_098,3.55,2024-09-18 00:00:00,3.6,1.35,3.64,2.15,8.72,4.08,5.17,ID_098,Météo-France
Bordeaux,Tramway,3.87,4.27,ID_099,7.73,2024-05-28 00:00:00,5.28,3.87,6.18,4.96,8.12,1.8,3.21,ID_099,Data.gouv.fr
Paris,Métro,8.02,2.28,ID_000,1.48,2024-12-12 00:00:00,6.76,5.89,6.0,2.65,4.9,8.37,2.46,ID_000,Météo-France
Nice,Tramway,1.65,5.23,ID_001,3.72,2024-12-22 00:00:00,1.56,5.79,4.17,4.22,3.29,8.37,7.07,ID_001,Data.gouv.fr
Bordeaux,TER,8.45,5.6,ID_002,3.37,2024-01-09 00:00:00,2.36,1.61,4.15,2.96,3.54,7.18,5.54,ID_002,Airparif
Montpellier,Bus RATP,3.75,8.69,ID_003,3.44,2024-10-21 00:00:00,1.27,5.36,7.03,5.04,4.66,1.95,8.02,ID_003,Airparif
Strasbourg,Tramway,8.35,5.13,ID_004,5.51,2024-06-22 00:00:00,4.13,2.07,2.17,8.57,6.51,4.78,1.58,ID_004,SNCF_Open_Data
Toulouse,RER,3.73,3.96,ID_005,2.81,2024-05-22 00:00:00,5.82,7.93,2.34,4.68,7.18,5.97,5.31,ID_005,Météo-France
Paris,RER,6.83,6.32,ID_006,6.23,2024-04-01 00:00:00,1.71,8.73,1.73,7.72,4.39,3.45,2.93,ID_006,Airparif
Nantes,RER,6.11,8.42,ID_007,4.79,2024-02-20 00:00:00,2.18,3.55,4.3,4.68,3.36,1.85,8.8,ID_007,Data.gouv.fr
Bordeaux,Transilien,2.39,3.61,ID_008,4.44,2024-08-10 00:00:00,2.55,5.86,7.61,8.74,4.6,2.88,8.72,ID_008,Data.gouv.fr
Toulouse,TGV,7.31,6.51,ID_009,3.67,2024-03-27 00:00:00,8.7,3.23,3.11,4.61,1.43,8.65,3.23,ID_009,Data.gouv.fr
Nice,TER,2.02,7.43,ID_010,5.99,2024-05-20 00:00:00,2.96,5.46,1.73,3.35,5.87,2.17,4.78,ID_010,Météo-France
Lyon,Transilien,4.58,7.94,ID_011,5.32,2024-10-30 00:00:00,8.13,3.22,4.53,2.21,8.02,1.63,6.12,ID_011,RATP_Open_Data_2024
Marseille,TGV,2.84,5.51,ID_012,7.68,2024-03-26 00:00:00,4.44,5.85,4.27,1.46,3.44,5.07,5.18,ID_012,SNCF_Open_Data
Paris,TER,1.73,3.68,ID_013,5.98,2024-12-19 00:00:00,7.35,8.66,2.67,1.89,2.1,1.33,6.4,ID_013,RATP_Open_Data_2024
Toulouse,TER,7.37,3.87,ID_014,7.03,2024-01-16 00:00:00,5.74,4.29,1.5,5.81,2.73,6.86,4.64,ID_014,Météo-France
Bordeaux,TER,1.5,7.29,ID_015,6.36,2024-02-10 00:00:00,5.55,4.87,4.86,8.13,1.25,2.92,7.82,ID_015,SNCF_Open_Data
Nice,RER,6.86,7.82,ID_016,7.17,2024-07-24 00:00:00,2.32,6.16,1.25,5.17,3.04,5.0,8.3,ID_016,Météo-France
Strasbourg,TER,8.71,2.77,ID_017,6.8,2024-02-25 00:00:00,5.43,6.28,2.59,4.05,8.27,6.47,8.53,ID_017,Météo-France
Lyon,TGV,4.21,7.17,ID_018,3.17,2024-04-14 00:00:00,7.47,4.02,5.67,2.08,8.41,4.32,3.96,ID_018,RATP_Open_Data_2024
Marseille,Métro,7.96,7.02,ID_019,5.84,2024-01-06 00:00:00,3.56,3.26,1.55,3.23,4.22,8.22,4.28,ID_019,RATP_Open_Data_2024
