col_ville,col_region,col_type_periode,col_creneau_horaire,col_heure_debut,col_type_route,col_type_trafic_dominant,col_nb_vehicules,col_est_heure_pic,col_niveau_congestion,col_vitesse_moyenne_kmh,col_facteur_periode,col_date_scraping,col_source,col_trafic_total,col_nb_heures_pic,col_vitesse_moyenne,col_trafic_moyen_journalier,col_facteur_vs_ouvre,col_heures_pic,col_niveau_encombrement,col_date_analyse,col_trafic_moyen,col_nb_villes_concernees,col_trafic_total_jour,col_heures_congestion,col_rang,col_pourcentage_vs_max
Montpellier,Nouvelle-Aquitaine,4.83,1.42,1.62,5.26,2.28,6.95,3.97,7.78,50,6.82,2024-07-11 00:00:00,Airparif,7.1,4.81,70,3.64,3.72,5.19,1.22,2024-04-03 00:00:00,2.36,Nice,1.6,6.3,6.37,4.86
Lyon,Occitanie,6.34,7.62,4.75,4.62,1.27,6.28,1.27,3.57,110,7.97,2024-09-22 00:00:00,RATP_Open_Data_2024,7.01,7.1,80,2.45,3.47,3.8,8.64,2024-06-04 00:00:00,6.79,Montpellier,3.8,3.54,1.87,2.08
Strasbourg,Auvergne-Rhône-Alpes,5.9,4.67,3.15,3.28,1.95,8.51,6.55,7.49,50,6.69,2024-09-03 00:00:00,RATP_Open_Data_2024,4.59,4.62,30,2.23,6.15,3.77,3.76,2024-02-02 00:00:00,4.06,Strasbourg,5.01,1.95,5.06,2.48
Paris,Grand Est,3.74,3.02,7.26,7.85,4.45,1.22,2.0,6.96,130,4.36,2024-05-23 00:00:00,Airparif,1.82,5.02,80,3.87,7.21,6.91,3.51,2024-07-08 00:00:00,8.69,Lyon,1.59,3.06,7.52,4.92
Paris,Auvergne-Rhône-Alpes,3.79,7.07,4.84,5.44,5.3,7.7,5.41,1.27,110,6.45,2024-03-25 00:00:00,Météo-France,3.09,4.76,30,8.69,7.77,3.95,4.27,2024-04-16 00:00:00,6.75,Strasbourg,5.94,2.8,8.16,7.45
Nantes,Nouvelle-Aquitaine,7.42,6.52,3.76,4.02,3.09,5.87,8.62,7.92,130,7.25,2024-10-31 00:00:00,SNCF_Open_Data,7.6,1.66,30,3.17,4.83,3.24,4.05,2024-07-09 00:00:00,6.27,Marseille,2.5,6.35,7.51,6.6
Montpellier,Hauts-de-France,7.49,6.47,7.09,3.69,4.03,8.0,2.62,4.1,50,7.86,2024-09-03 00:00:00,RATP_Open_Data_2024,5.82,5.49,80,6.01,5.18,8.73,7.64,2024-11-17 00:00:00,6.59,Nantes,4.26,1.89,8.74,1.44
Paris,Bretagne,5.19,8.33,4.48,8.17,8.12,1.7,2.75,4.49,130,8.39,2024-03-19 00:00:00,SNCF_Open_Data,6.36,3.62,70,5.81,3.51,5.22,5.27,2024-10-18 00:00:00,1.51,Lille,3.04,5.67,1.61,5.36
Toulouse,Grand Est,5.51,1.5,6.82,1.79,8.14,3.02,5.08,1.25,130,5.16,2024-12-18 00:00:00,SNCF_Open_Data,1.26,1.68,50,5.09,2.5,2.77,6.23,2024-03-22 00:00:00,6.39,Marseille,1.8,5.42,6.65,4.61
Nantes,Provence-Alpes-Côte d'Azur,8.44,4.51,4.89,3.79,7.66,1.36,7.68,2.75,110,3.01,2024-05-23 00:00:00,Data.gouv.fr,4.42,6.16,50,6.96,1.53,3.9,3.54,2024-11-24 00:00:00,1.85,Lille,6.64,8.05,4.72,1.44
Lille,Hauts-de-France,2.41,3.54,8.33,7.59,5.85,5.86,3.94,3.1,80,5.8,2024-08-14 00:00:00,SNCF_Open_Data,1.8,4.83,30,6.9,2.34,1.71,1.87,2024-05-31 00:00:00,6.52,Nantes,5.17,7.83,5.64,3.02
Strasbourg,Nouvelle-Aquitaine,1.33,4.16,5.0,3.62,4.88,2.71,8.65,5.98,30,7.57,2024-01-22 00:00:00,Airparif,2.28,7.54,130,6.84,8.51,2.54,2.99,2024-10-29 00:00:00,4.98,Lille,3.95,3.4,7.03,4.37
Lyon,Pays de la Loire,8.65,5.96,7.77,2.45,1.26,2.18,8.28,7.52,45,6.42,2024-05-22 00:00:00,Météo-France,6.35,5.43,50,8.48,8.38,4.89,2.89,2024-08-17 00:00:00,2.49,Nice,2.75,6.15,4.53,7.66
Strasbourg,Nouvelle-Aquitaine,7.92,2.91,7.66,3.19,7.5,6.78,8.21,7.1,110,2.48,2024-10-09 00:00:00,Airparif,4.49,5.93,50,3.9,1.72,2.55,2.99,2024-09-24 00:00:00,6.11,Nice,7.58,8.46,4.39,4.74
Montpellier,Île-de-France,5.12,8.62,1.72,7.63,3.9,1.43,7.84,7.52,70,1.85,2024-07-28 00:00:00,RATP_Open_Data_2024,2.69,3.66,80,7.56,2.91,4.14,1.46,2024-07-29 00:00:00,8.35,Toulouse,6.09,5.81,7.75,3.35
Toulouse,Bretagne,7.59,3.71,5.9,6.27,4.18,5.28,6.6,2.3,130,2.21,2024-08-07 00:00:00,Airparif,6.44,7.5,80,2.44,6.14,6.93,4.13,2024-02-14 00:00:00,1.25,Nice,8.18,3.99,4.38,7.4
Nantes,Provence-Alpes-Côte d'Azur,6.44,7.55,3.07,8.24,5.52,6.45,2.36,8.06,130,1.81,2024-01-29 00:00:00,Data.gouv.fr,5.66,5.04,30,3.05,5.97,5.43,4.11,2024-04-28 00:00:00,5.95,Strasbourg,2.2,7.7,2.09,2.26
Nice,Normandie,5.08,4.44,7.61,1.95,4.79,5.03,5.52,2.88,130,2.23,2024-11-26 00:00:00,Airparif,7.95,5.09,110,6.09,4.02,2.1,8.16,2024-12-14 00:00:00,3.58,Montpellier,1.67,1.64,6.57,5.29
Lyon,Occitanie,3.25,4.36,7.75,7.61,3.88,5.13,5.07,7.02,30,1.68,2024-08-17 00:00:00,Météo-France,4.38,8.68,110,3.93,8.12,6.31,2.85,2024-08-15 00:00:00,2.65,Paris,6.17,8.32,7.08,3.99
Marseille,Provence-Alpes-Côte d'Azur,7.83,6.82,2.62,3.62,8.24,3.62,8.35,5.37,50,4.37,2024-05-07 00:00:00,SNCF_Open_Data,7.85,5.04,130,4.27,5.38,1.62,8.43,2024-06-17 00:00:00,3.09,Nice,2.01,1.29,3.32,8.09
Lyon,Normandie,8.0,1.2,5.34,8.23,5.59,7.93,5.02,1.54,110,5.69,2024-09-18 00:00:00,SNCF_Open_Data,4.25,8.59,45,7.12,2.1,5.31,5.52,2024-03-17 00:00:00,3.14,Nantes,5.44,2.75,2.7,1.51
Paris,Grand Est,8.73,8.75,7.76,5.02,5.19,5.92,2.23,1.2,130,1.53,2024-11-26 00:00:00,Météo-France,7.4,2.84,30,4.33,3.27,5.02,3.62,2024-11-28 00:00:00,5.83,Nantes,8.43,4.58,3.02,7.29
Nantes,Auvergne-Rhône-Alpes,7.42,7.79,3.07,4.67,6.7,7.02,5.3,2.93,130,6.62,2024-12-17 00:00:00,Météo-France,8.78,1.54,130,5.08,6.2,2.54,7.56,2024-05-09 00:00:00,3.03,Nice,1.74,8.5,7.15,1.34
Lyon,Grand Est,3.75,2.94,4.15,7.51,8.31,3.68,2.47,4.02,130,2.82,2024-11-02 00:00:00,Météo-France,5.78,1.85,110,6.61,5.09,7.8,8.46,2024-01-23 00:00:00,8.36,Bordeaux,7.28,3.62,3.13,4.95
Marseille,Auvergne-Rhône-Alpes,6.84,7.42,8.64,2.02,3.56,5.42,4.53,7.51,30,2.92,2024-09-30 00:00:00,Data.gouv.fr,4.31,3.61,45,5.93,1.62,4.22,5.84,2024-04-20 00:00:00,4.81,Toulouse,6.22,3.28,8.15,7.85
Nice,Île-de-France,8.28,3.11,2.47,3.99,8.1,6.63,8.1,1.74,50,7.98,2024-08-06 00:00:00,RATP_Open_Data_2024,4.04,7.95,30,5.07,3.9,4.55,4.07,2024-10-19 00:00:00,4.9,Lyon,2.15,5.43,8.49,8.79
Marseille,Auvergne-Rhône-Alpes,5.88,1.25,7.62,7.63,7.41,8.38,4.72,5.42,30,1.34,2024-07-01 00:00:00,RATP_Open_Data_2024,5.09,5.94,130,1.28,2.42,2.79,2.54,2024-12-02 00:00:00,6.81,Strasbourg,4.39,4.07,6.97,6.45
Lille,Île-de-France,7.23,8.7,2.43,1.63,1.92,4.34,2.41,7.53,30,1.91,2024-08-02 00:00:00,SNCF_Open_Data,2.21,6.2,130,8.39,3.24,7.5,3.09,2024-02-29 00:00:00,8.8,Bordeaux,7.81,2.07,4.03,5.37
Bordeaux,Occitanie,7.55,4.92,8.1,7.04,2.9,3.67,3.36,5.73,80,4.98,2024-03-22 00:00:00,SNCF_Open_Data,3.11,4.52,45,2.07,5.99,2.49,5.46,2024-11-01 00:00:00,2.22,Montpellier,3.77,5.32,5.25,5.46
Nice,Bretagne,7.77,6.9,3.09,1.86,6.24,4.09,4.14,2.39,30,6.05,2024-02-16 00:00:00,RATP_Open_Data_2024,2.21,8.56,50,4.02,7.55,6.93,4.11,2024-05-09 00:00:00,6.46,Paris,4.91,4.86,2.43,6.95
Lyon,Nouvelle-Aquitaine,1.32,7.8,3.06,2.39,4.02,7.05,2.87,8.77,70,8.45,2024-03-17 00:00:00,SNCF_Open_Data,7.49,7.53,30,7.69,7.29,6.1,5.36,2024-01-10 00:00:00,6.26,Toulouse,8.25,5.57,2.37,6.1
Lille,Île-de-France,4.37,3.48,6.78,7.71,7.33,4.59,7.71,8.1,110,6.0,2024-09-30 00:00:00,Airparif,2.21,6.24,50,8.24,5.63,5.94,6.59,2024-09-14 00:00:00,5.29,Toulouse,6.94,2.37,3.54,1.6
Lyon,Auvergne-Rhône-Alpes,1.28,3.2,2.99,5.77,7.89,4.51,8.59,8.28,80,3.32,2024-08-28 00:00:00,Data.gouv.fr,7.35,7.31,30,8.66,3.41,8.21,1.6,2024-10-22 00:00:00,2.64,Toulouse,4.52,7.43,7.25,6.49
Marseille,Bretagne,4.2,8.76,2.92,5.3,2.01,1.69,6.83,6.7,80,7.26,2024-08-02 00:00:00,SNCF_Open_Data,1.68,8.7,50,3.25,2.13,4.04,1.33,2024-05-24 00:00:00,5.99,Bordeaux,6.95,6.6,4.33,4.91
Nice,Bretagne,6.07,5.24,5.74,3.74,6.04,3.81,7.29,1.38,30,7.09,2024-01-15 00:00:00,RATP_Open_Data_2024,7.53,1.37,110,8.56,2.55,4.86,4.14,2024-03-01 00:00:00,7.4,Strasbourg,4.34,2.99,1.9,5.75
Bordeaux,Auvergne-Rhône-Alpes,5.84,8.03,7.37,2.76,3.48,2.0,4.05,6.91,80,5.16,2024-04-27 00:00:00,Airparif,2.94,2.44,50,1.85,1.84,6.88,6.09,2024-09-11 00:00:00,2.94,Lyon,2.18,3.61,6.75,4.92
Nice,Île-de-France,6.3,4.08,2.68,1.69,4.37,4.25,7.76,2.1,80,1.58,2024-04-28 00:00:00,Météo-France,8.39,4.68,80,6.28,1.64,7.18,3.22,2024-08-19 00:00:00,8.51,Paris,5.93,2.16,8.68,5.24
Nantes,Normandie,1.63,4.31,3.83,6.97,4.97,3.41,6.84,5.36,130,8.08,2024-03-14 00:00:00,Airparif,2.35,2.99,50,8.05,5.71,4.48,3.36,2024-12-09 00:00:00,5.03,Montpellier,4.4,4.68,5.01,8.33
Lyon,Pays de la Loire,7.13,6.67,7.38,3.46,5.38,4.78,7.66,7.52,70,2.25,2024-10-27 00:00:00,RATP_Open_Data_2024,8.53,3.68,130,3.47,8.51,6.47,3.78,2024-06-29 00:00:00,4.3,Montpellier,1.44,1.94,6.62,2.66
Nantes,Provence-Alpes-Côte d'Azur,5.29,1.55,6.91,4.84,8.75,4.11,4.18,7.44,30,8.11,2024-03-02 00:00:00,SNCF_Open_Data,4.35,5.83,130,5.03,7.47,3.22,5.21,2024-01-12 00:00:00,7.84,Montpellier,7.24,4.43,7.97,4.66
Lyon,Normandie,4.39,5.99,8.19,3.02,2.62,4.32,1.67,4.41,110,5.25,2024-12-14 00:00:00,SNCF_Open_Data,7.12,7.51,80,2.09,6.78,7.27,4.95,2024-05-04 00:00:00,2.99,Lille,4.32,1.44,8.45,2.9
Strasbourg,Auvergne-Rhône-Alpes,6.56,1.76,3.5,2.27,6.56,8.1,5.95,2.55,130,7.93,2024-01-21 00:00:00,Météo-France,1.52,4.89,110,4.28,1.21,4.62,7.56,2024-01-07 00:00:00,6.4,Paris,8.28,7.6,1.81,2.48
Montpellier,Île-de-France,5.03,1.91,1.95,6.56,5.13,4.72,5.38,6.44,45,6.58,2024-09-17 00:00:00,Météo-France,1.92,5.26,30,4.86,4.2,6.02,2.18,2024-09-04 00:00:00,5.14,Paris,2.33,3.81,1.48,8.28
Paris,Bretagne,2.43,2.91,1.86,5.36,6.5,6.74,3.24,5.44,80,5.88,2024-06-12 00:00:00,Météo-France,7.57,3.86,110,3.81,5.62,2.8,2.38,2024-06-22 00:00:00,1.22,Lyon,4.44,3.3,6.17,5.38
Lille,Grand Est,5.35,7.0,2.13,7.1,4.92,3.6,7.76,4.13,45,7.86,2024-08-01 00:00:00,Météo-France,4.31,5.76,110,8.0,7.31,6.89,1.89,2024-06-20 00:00:00,5.53,Nice,2.33,8.77,3.64,3.73
Nice,Grand Est,2.06,7.83,4.4,6.5,7.79,3.08,8.54,6.65,30,8.04,2024-11-01 00:00:00,SNCF_Open_Data,6.65,1.45,50,2.77,2.28,6.2,8.72,2024-07-28 00:00:00,2.28,Bordeaux,6.3,3.46,8.1,4.78
Bordeaux,Auvergne-Rhône-Alpes,3.31,4.84,8.36,1.26,8.31,8.25,1.3,4.39,50,8.05,2024-01-02 00:00:00,SNCF_Open_Data,4.86,5.84,30,7.58,3.85,8.74,6.85,2024-01-18 00:00:00,8.59,Lyon,5.62,5.13,8.02,5.47
Lille,Nouvelle-Aquitaine,8.45,1.3,4.87,3.32,4.59,3.01,7.49,7.14,110,3.09,2024-06-21 00:00:00,Météo-France,3.16,8.31,80,1.43,4.97,6.77,3.84,2024-10-04 00:00:00,7.65,Strasbourg,1.57,8.34,3.01,5.53
Strasbourg,Occitanie,4.2,5.77,3.54,6.75,1.32,2.85,6.53,1.52,130,2.4,2024-04-13 00:00:00,SNCF_Open_Data,2.38,5.44,45,3.32,8.75,4.56,2.9,2024-09-09 00:00:00,5.48,Montpellier,5.04,4.83,1.69,7.19
Nantes,Provence-Alpes-Côte d'Azur,2.05,5.69,8.14,5.9,2.9,4.45,6.85,2.98,70,6.41,2024-11-06 00:00:00,SNCF_Open_Data,2.23,2.56,45,1.3,6.99,5.78,7.46,2024-11-29 00:00:00,1.31,Lyon,3.39,6.11,5.72,8.48
Montpellier,Occitanie,4.76,6.57,6.77,6.8,5.6,6.91,5.06,1.29,30,2.41,2024-01-12 00:00:00,SNCF_Open_Data,1.37,6.07,45,4.74,4.02,4.2,4.19,2024-10-08 00:00:00,1.24,Paris,3.45,5.65,3.17,4.82
Lille,Nouvelle-Aquitaine,7.46,1.53,4.85,5.19,7.19,8.11,1.42,1.95,50,1.96,2024-09-04 00:00:00,SNCF_Open_Data,3.59,4.8,30,8.71,5.89,5.32,8.65,2024-03-06 00:00:00,3.46,Marseille,6.93,1.62,1.34,2.67
Nice,Grand Est,3.37,2.35,4.4,7.31,6.69,7.86,8.37,2.26,30,1.98,2024-01-25 00:00:00,Airparif,2.76,7.25,50,4.91,1.28,4.37,4.66,2024-05-09 00:00:00,3.92,Lyon,8.19,6.71,6.19,8.61
Nice,Occitanie,5.09,4.99,3.83,2.29,8.47,5.13,3.5,7.52,130,3.88,2024-03-13 00:00:00,Météo-France,4.68,6.52,50,5.65,6.02,6.01,8.22,2024-04-27 00:00:00,1.86,Nantes,5.06,3.68,8.22,4.73
Lille,Auvergne-Rhône-Alpes,3.1,3.24,1.73,6.74,6.27,1.81,3.64,6.26,30,7.97,2024-11-03 00:00:00,Airparif,3.01,7.51,80,8.14,5.48,1.51,8.61,2024-06-13 00:00:00,6.56,Lyon,1.28,4.05,1.48,3.08
Nantes,Grand Est,8.02,6.69,2.71,4.04,1.4,1.68,1.65,2.74,110,6.54,2024-01-11 00:00:00,Météo-France,7.66,2.37,80,7.29,2.58,2.89,5.13,2024-03-08 00:00:00,1.32,Marseille,3.01,4.03,4.18,5.93
Paris,Pays de la Loire,7.0,6.46,1.78,6.66,2.94,6.77,7.78,1.55,80,8.62,2024-07-29 00:00:00,RATP_Open_Data_2024,1.63,5.52,50,5.44,5.84,2.63,4.12,2024-04-05 00:00:00,4.74,Montpellier,2.21,7.64,7.49,4.56
Lyon,Pays de la Loire,5.18,2.55,2.7,3.58,7.21,4.76,8.43,3.96,80,5.04,2024-01-07 00:00:00,Météo-France,6.15,7.82,110,7.31,4.23,3.91,1.48,2024-11-12 00:00:00,6.04,Paris,6.32,6.99,8.6,7.59
Strasbourg,Île-de-France,5.35,8.51,6.02,7.79,6.28,1.41,1.53,4.53,70,7.42,2024-11-13 00:00:00,SNCF_Open_Data,7.35,5.96,130,2.38,5.16,3.73,4.34,2024-07-09 00:00:00,1.22,Toulouse,6.31,4.0,6.71,3.85
Paris,Grand Est,7.98,4.8,2.17,5.66,3.71,2.07,1.45,6.21,45,2.7,2024-03-09 00:00:00,Data.gouv.fr,2.11,2.99,130,8.25,7.73,2.86,5.65,2024-02-11 00:00:00,1.67,Paris,6.57,3.26,7.52,8.23
Nantes,Bretagne,4.0,3.17,8.48,8.64,5.92,7.68,8.08,2.76,30,5.55,2024-10-04 00:00:00,Airparif,5.89,2.33,80,4.44,1.84,1.2,6.98,2024-11-19 00:00:00,4.21,Nice,7.01,5.26,6.28,5.19
Paris,Normandie,3.12,7.17,1.59,4.27,4.39,4.48,6.47,2.35,50,1.87,2024-07-23 00:00:00,Data.gouv.fr,5.01,5.82,130,3.71,7.62,2.33,4.07,2024-10-22 00:00:00,5.81,Strasbourg,6.54,3.73,4.95,2.36
Bordeaux,Provence-Alpes-Côte d'Azur,6.39,5.29,4.62,5.54,4.04,4.19,2.15,4.09,110,1.25,2024-03-31 00:00:00,Météo-France,8.63,2.01,50,6.72,7.35,4.16,5.18,2024-07-15 00:00:00,6.99,Strasbourg,2.56,7.67,7.89,4.02
Strasbourg,Hauts-de-France,6.25,6.55,2.43,2.48,1.8,7.69,7.2,2.04,50,5.36,2024-10-04 00:00:00,RATP_Open_Data_2024,1.36,6.32,130,5.26,7.62,2.77,8.36,2024-07-21 00:00:00,8.47,Bordeaux,7.92,2.58,7.41,7.12
Bordeaux,Nouvelle-Aquitaine,8.58,3.88,7.85,8.65,7.5,4.76,1.7,5.37,45,5.25,2024-01-26 00:00:00,RATP_Open_Data_2024,4.08,1.85,70,4.85,5.54,5.04,8.58,2024-02-18 00:00:00,5.87,Nantes,3.59,8.17,6.4,1.81
Montpellier,Île-de-France,6.44,4.07,3.47,3.37,2.21,1.86,7.59,6.18,50,1.59,2024-12-20 00:00:00,Data.gouv.fr,6.31,6.69,30,6.26,5.93,7.53,2.23,2024-08-30 00:00:00,7.58,Lyon,6.62,8.77,6.72,2.9
Strasbourg,Normandie,7.81,3.11,8.32,7.43,6.45,7.05,5.54,8.32,130,5.39,2024-01-03 00:00:00,Data.gouv.fr,6.75,7.41,80,4.94,8.62,2.1,6.29,2024-12-19 00:00:00,3.61,Strasbourg,5.48,2.0,6.21,4.49
Nantes,Bretagne,8.35,6.26,8.74,3.37,1.57,2.15,3.47,7.55,130,4.07,2024-09-20 00:00:00,Data.gouv.fr,3.12,6.95,50,4.15,8.79,3.93,5.56,2024-06-18 00:00:00,6.95,Bordeaux,5.7,6.1,1.63,1.23
Nice,Nouvelle-Aquitaine,1.38,6.56,7.66,5.34,6.92,5.78,2.56,2.65,70,8.65,2024-11-12 00:00:00,Météo-France,2.47,4.61,30,5.1,2.89,2.36,4.64,2024-11-24 00:00:00,6.88,Strasbourg,8.35,3.12,5.79,7.68
Lille,Bretagne,5.75,1.66,4.98,2.5,6.74,3.96,6.17,7.95,50,8.68,2024-12-09 00:00:00,Airparif,8.59,6.73,130,6.63,3.82,6.44,1.75,2024-01-22 00:00:00,5.18,Strasbourg,8.53,1.25,3.99,7.3
Lyon,Hauts-de-France,2.05,8.03,8.59,6.63,6.87,7.38,7.77,6.36,80,6.04,2024-06-17 00:00:00,RATP_Open_Data_2024,2.88,6.47,45,5.78,4.29,3.07,8.29,2024-07-13 00:00:00,2.24,Lille,4.43,4.66,6.47,5.52
Nice,Provence-Alpes-Côte d'Azur,7.66,3.1,5.51,5.68,2.7,7.98,4.24,7.68,110,6.05,2024-06-05 00:00:00,Météo-France,8.18,5.47,80,1.91,2.3,4.44,1.49,2024-05-16 00:00:00,3.18,Montpellier,4.63,6.63,1.75,3.67
Montpellier,Normandie,5.64,6.95,4.24,1.88,3.02,7.22,4.18,2.76,130,6.93,2024-10-27 00:00:00,RATP_Open_Data_2024,5.07,4.99,80,5.47,5.31,8.79,1.32,2024-06-12 00:00:00,5.72,Toulouse,7.1,5.14,5.33,3.43
Nice,Occitanie,5.49,7.12,3.66,4.42,1.73,3.96,3.26,7.21,80,5.55,2024-12-20 00:00:00,Data.gouv.fr,6.7,1.69,50,1.61,2.75,7.2,6.52,2024-12-06 00:00:00,1.3,Nice,5.23,8.21,1.73,2.44
Toulouse,Pays de la Loire,4.26,7.39,4.62,6.38,1.32,1.54,5.86,5.1,70,2.39,2024-03-07 00:00:00,SNCF_Open_Data,3.28,4.06,130,7.53,7.56,1.73,3.45,2024-04-12 00:00:00,5.51,Strasbourg,2.47,5.29,4.97,5.46
Bordeaux,Bretagne,3.04,5.92,8.73,3.89,8.05,8.74,5.67,2.2,130,5.55,2024-11-09 00:00:00,Data.gouv.fr,7.73,3.94,70,6.9,3.8,4.36,1.47,2024-03-05 00:00:00,3.1,Montpellier,1.69,8.75,5.74,2.67
Lille,Occitanie,8.53,7.85,5.79,3.66,5.12,8.25,8.19,5.67,80,4.49,2024-01-09 00:00:00,SNCF_Open_Data,4.05,4.28,50,2.14,4.84,1.21,4.94,2024-10-08 00:00:00,8.6,Strasbourg,5.09,4.4,5.03,2.32
Strasbourg,Occitanie,8.68,2.78,2.76,1.31,3.39,1.35,3.96,3.94,50,2.67,2024-02-26 00:00:00,Data.gouv.fr,1.45,7.41,70,2.92,7.58,1.66,3.83,2024-03-01 00:00:00,6.67,Lyon,7.1,5.32,1.52,2.06
Strasbourg,Auvergne-Rhône-Alpes,8.46,3.21,3.12,6.95,1.56,3.09,5.62,4.52,50,5.03,2024-05-31 00:00:00,Data.gouv.fr,1.85,6.04,50,8.77,5.09,8.3,8.43,2024-09-06 00:00:00,8.21,Montpellier,2.5,5.69,2.65,7.92
Paris,Grand Est,4.84,7.77,1.58,7.33,5.28,6.15,3.35,3.76,70,3.41,2024-05-25 00:00:00,Data.gouv.fr,5.98,7.77,45,5.41,6.6,7.74,7.18,2024-01-31 00:00:00,4.98,Marseille,3.41,1.93,5.05,4.45
Lyon,Bretagne,3.11,1.22,8.79,7.85,6.08,3.42,1.48,3.28,45,4.84,2024-07-29 00:00:00,Météo-France,2.6,5.8,70,4.85,5.74,3.48,5.02,2024-09-26 00:00:00,4.32,Paris,5.77,2.43,3.93,5.83
Marseille,Normandie,5.57,6.02,4.82,4.79,6.26,6.08,5.78,1.62,130,1.41,2024-07-03 00:00:00,SNCF_Open_Data,8.15,2.74,30,5.25,7.03,4.41,8.36,2024-01-12 00:00:00,8.33,Montpellier,8.32,3.03,3.73,7.22
Montpellier,Occitanie,5.91,8.74,2.83,2.67,1.34,5.39,1.25,7.55,130,6.71,2024-12-04 00:00:00,SNCF_Open_Data,7.48,3.14,45,2.6,7.93,6.84,6.76,2024-09-20 00:00:00,4.58,Paris,3.22,4.18,3.2,7.51
Nantes,Nouvelle-Aquitaine,7.17,3.91,2.62,4.34,3.71,8.77,5.15,7.2,50,4.06,2024-03-07 00:00:00,RATP_Open_Data_2024,3.62,3.67,130,2.74,8.32,6.88,7.05,2024-07-30 00:00:00,6.11,Toulouse,6.82,6.67,5.46,4.67
Lyon,Nouvelle-Aquitaine,6.24,6.84,7.4,1.28,1.36,3.69,1.82,7.7,50,7.68,2024-04-20 00:00:00,SNCF_Open_Data,5.61,7.21,50,4.15,3.26,7.43,7.31,2024-05-01 00:00:00,4.94,Paris,7.44,7.12,7.09,7.57
Montpellier,Normandie,7.62,3.22,7.2,1.56,7.44,7.22,6.54,3.64,30,1.67,2024-08-30 00:00:00,Data.gouv.fr,2.38,6.61,30,4.85,1.7,6.51,3.42,2024-07-23 00:00:00,7.94,Lille,5.43,2.04,3.3,5.14
Bordeaux,Grand Est,3.56,3.74,3.21,3.44,8.8,3.86,2.55,6.84,45,8.68,2024-03-04 00:00:00,SNCF_Open_Data,2.79,4.6,45,4.36,5.73,3.1,2.62,2024-05-26 00:00:00,2.73,Montpellier,3.84,1.84,2.9,6.17
Lyon,Occitanie,3.22,7.17,3.65,1.55,7.0,7.11,3.77,7.86,30,3.98,2024-11-19 00:00:00,SNCF_Open_Data,3.99,1.95,130,2.22,5.76,3.8,6.04,2024-06-01 00:00:00,3.15,Bordeaux,7.85,8.18,7.63,1.33
Strasbourg,Provence-Alpes-Côte d'Azur,5.93,2.64,2.9,2.92,7.97,6.81,2.32,3.14,50,1.21,2024-10-28 00:00:00,Airparif,2.43,7.4,45,7.98,1.82,6.79,2.13,2024-07-09 00:00:00,3.77,Montpellier,6.17,3.55,2.22,8.14
Nice,Île-de-France,7.91,8.68,4.39,4.02,5.38,2.04,4.87,2.03,70,3.56,2024-11-10 00:00:00,SNCF_Open_Data,7.15,7.74,80,2.72,4.15,6.64,5.62,2024-05-03 00:00:00,4.66,Nice,7.0,5.34,2.8,7.85
Paris,Pays de la Loire,6.36,2.81,6.11,5.81,8.49,3.0,8.55,8.6,130,2.74,2024-05-08 00:00:00,SNCF_Open_Data,2.15,6.17,45,8.24,5.55,1.38,4.89,2024-07-05 00:00:00,1.81,Marseille,5.63,5.45,4.02,4.99
Montpellier,Auvergne-Rhône-Alpes,5.37,1.84,2.57,1.82,4.02,2.67,2.46,3.86,110,7.06,2024-09-05 00:00:00,Data.gouv.fr,1.89,2.73,45,3.33,3.97,5.39,5.45,2024-11-20 00:00:00,5.47,Nantes,5.02,4.85,6.5,1.4
Paris,Bretagne,3.36,7.38,1.94,5.78,7.05,4.49,2.21,6.32,45,6.27,2024-06-20 00:00:00,Data.gouv.fr,4.6,6.15,45,8.76,5.14,3.89,6.78,2024-01-12 00:00:00,4.18,Bordeaux,6.35,7.26,4.89,1.49
Nantes,Occitanie,3.52,8.22,5.45,8.36,4.57,7.59,3.03,4.84,110,1.54,2024-03-24 00:00:00,Airparif,8.32,7.19,30,2.67,3.51,2.11,4.28,2024-10-15 00:00:00,3.4,Lille,4.63,8.32,5.34,4.86
Nantes,Île-de-France,5.4,7.6,1.42,8.28,2.79,8.45,2.82,4.41,45,3.49,2024-01-29 00:00:00,Airparif,3.93,2.42,130,4.46,1.32,8.64,4.76,2024-01-09 00:00:00,3.22,Nantes,3.89,8.05,5.71,7.51
Bordeaux,Grand Est,5.49,4.21,5.86,5.04,6.28,3.19,3.96,4.16,110,3.28,2024-03-18 00:00:00,Airparif,4.37,6.2,45,8.1,5.48,5.49,3.28,2024-03-19 00:00:00,8.67,Strasbourg,6.38,2.12,7.21,7.72
Strasbourg,Bretagne,8.08,7.12,3.22,5.55,7.92,7.33,3.11,2.47,80,2.16,2024-05-22 00:00:00,Météo-France,4.13,6.6,30,6.6,3.78,4.64,2.16,2024-09-29 00:00:00,5.33,Montpellier,7.46,7.97,7.69,6.55
Nantes,Pays de la Loire,7.43,5.74,1.31,5.71,1.42,3.4,4.44,5.55,80,3.56,2024-10-03 00:00:00,Météo-France,5.6,6.34,30,1.75,8.44,3.92,5.41,2024-08-08 00:00:00,1.98,Lyon,3.21,3.48,2.8,8.78
