col_ville,col_code_departement,col_region,col_population,col_type_route,col_heure,col_trafic_vehicules_h,col_vitesse_moyenne_kmh,col_niveau_congestion,col_indice_congestion_1_10,col_date_scraping,col_source,col_latitude,col_longitude,col_qualite_air,col_emission_co2_g_km_moyenne,col_emission_totale_estimee_kg_h,col_lignes_metro,col_lignes_tram,col_systeme_velo,col_departement,col_jour_semaine,col_tmja,col_pourcentage_pl,col_vitesse_commerciale_kmh,col_longueur_reseau_km,col_date_mesure,col_mois,col_mois_nom,col_direction,col_classe_route,col_classement_bison,col_densite_trafic_percent,col_duree_trajet_supplementaire_min,col_est_periode_vacances,col_recommandation,col_trafic_par_habitant
Montpellier,Auvergne-Rhône-Alpes,Grand Est,47.641648,3.81,2.42,6.75,130,3.7,2.83,2024-01-10 00:00:00,Météo-France,47.641648,4.372734,7.03,7.64,2024-06-14 00:00:00,2.49,2.85,5.68,Grand Est,8.32,2.69,2.33,80,4.372734,2024-09-30 00:00:00,4.42,8.31,4.59,3.68,6.91,110983,5.78,NON,2.58,6.07
Nantes,Île-de-France,Nouvelle-Aquitaine,51.234098,1.79,2.7,5.29,70,2.12,7.18,2024-07-03 00:00:00,SNCF_Open_Data,51.234098,0.319695,2.17,4.86,2024-11-22 00:00:00,4.53,1.41,2.77,Hauts-de-France,5.61,7.1,7.99,30,0.319695,2024-08-30 00:00:00,2.14,4.02,1.44,3.49,6.56,159325,5.01,1,1.45,5.56
Lille,Auvergne-Rhône-Alpes,Occitanie,47.691632,3.77,1.49,2.36,110,6.37,6.2,2024-08-11 00:00:00,SNCF_Open_Data,47.691632,-1.067327,4.39,8.67,2024-11-12 00:00:00,7.26,6.24,1.88,Auvergne-Rhône-Alpes,1.88,6.53,3.18,30,-1.067327,2024-12-18 00:00:00,6.73,8.56,6.89,4.36,2.53,112262,8.12,0,4.88,3.45
Lille,Grand Est,Normandie,49.068487,3.17,2.75,7.02,30,3.53,8.35,2024-02-15 00:00:00,Airparif,49.068487,3.290536,2.52,3.79,2024-12-18 00:00:00,5.2,4.42,7.2,Provence-Alpes-Côte d'Azur,7.1,1.94,4.29,130,3.290536,2024-10-30 00:00:00,5.3,1.93,8.06,3.29,7.68,61199,5.72,NON,5.2,2.05
Lyon,Pays de la Loire,Pays de la Loire,49.467719,4.76,6.88,3.2,45,2.08,1.91,2024-02-22 00:00:00,Météo-France,49.467719,3.961201,8.34,7.3,2024-05-22 00:00:00,1.83,7.16,5.44,Grand Est,2.96,2.15,4.73,70,3.961201,2024-09-29 00:00:00,3.05,2.96,7.35,3.33,3.87,69497,8.03,OUI,7.7,8.59
Lille,Normandie,Normandie,45.554535,8.63,4.12,4.61,50,6.22,5.7,2024-11-03 00:00:00,RATP_Open_Data_2024,45.554535,4.259994,3.97,2.27,2024-10-10 00:00:00,4.92,2.36,5.78,Bretagne,6.12,1.38,5.5,50,4.259994,2024-09-28 00:00:00,8.39,5.13,8.67,6.36,6.34,116164,3.65,OUI,7.11,3.3
Lyon,Bretagne,Île-de-France,48.505695,6.43,8.35,7.64,45,4.36,4.7,2024-06-02 00:00:00,Météo-France,48.505695,4.387212,3.97,6.5,2024-08-12 00:00:00,2.49,2.16,1.45,Occitanie,5.12,1.94,5.55,80,4.387212,2024-05-11 00:00:00,1.71,8.57,4.48,4.16,1.69,82940,8.44,0,7.99,6.73
Toulouse,Normandie,Nouvelle-Aquitaine,47.799104,6.41,2.98,2.59,70,7.74,4.42,2024-03-27 00:00:00,Data.gouv.fr,47.799104,1.658883,2.11,7.45,2024-02-10 00:00:00,1.35,5.01,6.53,Provence-Alpes-Côte d'Azur,3.1,5.17,7.37,30,1.658883,2024-04-18 00:00:00,5.94,3.44,7.8,4.02,4.36,43200,5.33,NON,1.27,2.19
Paris,Hauts-de-France,Nouvelle-Aquitaine,45.080504,8.21,5.47,8.1,110,5.49,5.36,2024-12-16 00:00:00,Data.gouv.fr,45.080504,0.93791,1.43,4.29,2024-05-09 00:00:00,5.58,4.04,1.4,Grand Est,7.63,2.48,3.17,45,0.93791,2024-02-17 00:00:00,8.64,5.02,6.51,8.63,6.08,34033,1.48,0,8.53,4.4
Lille,Auvergne-Rhône-Alpes,Nouvelle-Aquitaine,51.612025,1.25,1.86,7.94,45,6.69,1.4,2024-01-05 00:00:00,Data.gouv.fr,51.612025,4.571557,1.38,8.72,2024-07-27 00:00:00,5.67,7.91,7.57,Provence-Alpes-Côte d'Azur,6.55,4.91,4.82,45,4.571557,2024-06-07 00:00:00,3.23,7.19,4.8,8.0,7.08,14770,6.2,OUI,7.6,8.78
Lille,Provence-Alpes-Côte d'Azur,Hauts-de-France,45.152529,7.43,4.31,3.29,45,8.75,2.72,2024-04-13 00:00:00,SNCF_Open_Data,45.152529,0.24692,4.66,5.1,2024-12-26 00:00:00,7.05,2.61,5.12,Île-de-France,4.55,4.35,6.08,30,0.24692,2024-03-05 00:00:00,8.08,8.15,4.14,6.11,4.91,61508,3.11,NON,6.81,3.28
Toulouse,Hauts-de-France,Grand Est,47.038383,8.58,8.79,1.83,130,8.18,7.09,2024-06-17 00:00:00,Météo-France,47.038383,0.013227,7.23,5.69,2024-10-26 00:00:00,3.67,3.28,1.52,Pays de la Loire,7.63,6.7,7.41,45,0.013227,2024-02-04 00:00:00,7.28,7.94,2.16,8.74,3.06,130485,3.9,OUI,8.57,3.23
Nice,Grand Est,Hauts-de-France,51.719654,1.65,3.43,3.95,80,3.49,3.84,2024-12-09 00:00:00,SNCF_Open_Data,51.719654,1.091502,3.65,1.51,2024-10-25 00:00:00,4.05,4.55,2.42,Pays de la Loire,2.4,3.67,7.4,130,1.091502,2024-12-16 00:00:00,5.21,4.6,3.66,3.19,1.51,128486,6.61,OUI,1.39,7.02
Montpellier,Normandie,Provence-Alpes-Côte d'Azur,52.303376,2.68,2.39,4.66,50,2.11,6.2,2024-03-29 00:00:00,RATP_Open_Data_2024,52.303376,4.667566,3.53,8.76,2024-02-14 00:00:00,1.67,6.25,3.01,Hauts-de-France,2.34,3.94,1.34,80,4.667566,2024-06-26 00:00:00,2.54,5.78,5.97,2.39,5.46,125399,3.48,1,3.42,5.22
Strasbourg,Bretagne,Hauts-de-France,44.918978,3.64,7.71,1.89,130,7.44,7.37,2024-06-28 00:00:00,Data.gouv.fr,44.918978,2.723516,8.65,5.11,2024-05-05 00:00:00,6.05,4.03,1.47,Bretagne,5.11,8.29,3.69,70,2.723516,2024-04-03 00:00:00,2.4,2.09,3.77,5.21,3.95,90445,1.24,1,2.37,5.41
Toulouse,Bretagne,Occitanie,47.344585,4.94,7.78,3.49,70,6.1,3.25,2024-09-15 00:00:00,RATP_Open_Data_2024,47.344585,-0.17745,7.9,5.55,2024-07-24 00:00:00,2.62,4.45,4.29,Nouvelle-Aquitaine,5.43,1.89,2.32,50,-0.17745,2024-05-09 00:00:00,7.67,5.0,7.67,4.35,5.03,154437,4.36,NON,8.1,5.33
Marseille,Auvergne-Rhône-Alpes,Hauts-de-France,48.712765,3.69,1.94,5.66,30,4.67,4.23,2024-01-25 00:00:00,RATP_Open_Data_2024,48.712765,6.047367,8.74,5.48,2024-01-19 00:00:00,5.03,4.94,5.81,Île-de-France,6.88,1.67,2.93,110,6.047367,2024-05-19 00:00:00,6.28,6.22,7.13,7.79,5.3,96892,8.58,OUI,2.49,7.85
Strasbourg,Nouvelle-Aquitaine,Bretagne,47.211337,2.95,5.49,6.74,110,2.05,4.99,2024-10-09 00:00:00,Météo-France,47.211337,0.253002,6.78,2.64,2024-07-04 00:00:00,7.6,8.1,4.4,Provence-Alpes-Côte d'Azur,3.57,4.9,1.94,45,0.253002,2024-02-19 00:00:00,1.31,5.25,7.66,3.9,8.08,46991,4.79,1,7.03,8.45
Nice,Nouvelle-Aquitaine,Provence-Alpes-Côte d'Azur,45.279378,4.15,2.25,7.04,50,6.48,4.42,2024-04-09 00:00:00,RATP_Open_Data_2024,45.279378,3.779691,3.19,1.96,2024-04-22 00:00:00,6.31,2.98,7.99,Nouvelle-Aquitaine,8.36,4.31,8.47,50,3.779691,2024-09-28 00:00:00,6.9,3.27,7.51,8.05,5.82,73497,2.41,NON,6.07,5.56
Nantes,Auvergne-Rhône-Alpes,Bretagne,45.777315,2.25,7.89,7.21,45,8.53,2.17,2024-09-09 00:00:00,Météo-France,45.777315,1.195636,2.43,3.98,2024-04-26 00:00:00,3.38,7.79,8.79,Nouvelle-Aquitaine,8.13,6.83,1.95,80,1.195636,2024-03-20 00:00:00,7.02,6.64,5.9,4.66,1.64,191721,5.3,1,5.73,4.13
Lille,Bretagne,Pays de la Loire,52.47946,5.87,4.59,2.1,80,7.84,7.33,2024-09-10 00:00:00,SNCF_Open_Data,52.47946,6.212215,4.06,4.07,2024-08-13 00:00:00,5.06,3.47,6.31,Hauts-de-France,7.36,5.79,1.75,30,6.212215,2024-05-09 00:00:00,3.65,7.83,7.52,3.29,2.09,192886,6.32,NON,7.15,7.74
Lyon,Île-de-France,Île-de-France,47.107684,2.19,8.3,7.87,130,4.91,4.73,2024-07-16 00:00:00,RATP_Open_Data_2024,47.107684,1.868322,5.75,3.18,2024-08-31 00:00:00,2.29,7.91,5.16,Auvergne-Rhône-Alpes,4.36,1.34,4.21,80,1.868322,2024-11-05 00:00:00,1.66,4.04,5.92,3.32,6.38,71197,7.74,1,8.53,6.0
Nice,Grand Est,Normandie,45.813736,7.78,7.77,7.33,45,8.59,7.33,2024-03-29 00:00:00,Airparif,45.813736,1.927566,3.23,5.37,2024-04-09 00:00:00,3.71,5.46,4.85,Auvergne-Rhône-Alpes,3.0,1.46,2.23,45,1.927566,2024-07-24 00:00:00,8.07,6.54,1.3,6.56,3.01,23691,4.44,0,7.14,3.22
Montpellier,Bretagne,Bretagne,50.655121,1.93,2.12,1.59,45,4.54,7.31,2024-08-15 00:00:00,Météo-France,50.655121,0.969861,1.74,7.7,2024-09-19 00:00:00,3.52,8.63,6.62,Hauts-de-France,2.78,3.0,7.42,80,0.969861,2024-09-15 00:00:00,8.47,5.03,2.26,2.93,3.6,3241,2.18,NON,2.03,6.8
Lyon,Auvergne-Rhône-Alpes,Provence-Alpes-Côte d'Azur,48.58701,8.0,3.47,7.41,110,3.18,7.46,2024-03-14 00:00:00,RATP_Open_Data_2024,48.58701,1.608321,6.77,5.96,2024-08-10 00:00:00,2.16,2.67,2.68,Bretagne,2.22,6.03,7.51,45,1.608321,2024-03-04 00:00:00,3.34,2.09,1.86,4.57,4.92,194083,7.06,NON,2.78,5.68
Bordeaux,Normandie,Nouvelle-Aquitaine,49.264991,6.66,6.02,3.0,30,3.03,3.69,2024-05-28 00:00:00,Météo-France,49.264991,4.647799,6.5,2.4,2024-04-20 00:00:00,5.55,5.64,3.28,Hauts-de-France,1.21,7.34,7.76,130,4.647799,2024-03-04 00:00:00,2.66,4.51,4.47,3.83,6.27,127768,8.44,0,3.48,7.51
Strasbourg,Hauts-de-France,Nouvelle-Aquitaine,48.419883,3.96,1.86,4.46,70,3.99,7.68,2024-02-13 00:00:00,Airparif,48.419883,5.660865,2.11,3.5,2024-04-05 00:00:00,4.57,4.84,2.27,Auvergne-Rhône-Alpes,1.62,5.78,5.8,45,5.660865,2024-06-13 00:00:00,1.3,6.6,6.25,4.42,8.45,155292,3.87,OUI,7.92,3.99
Strasbourg,Provence-Alpes-Côte d'Azur,Grand Est,51.758258,1.37,5.12,8.01,30,2.89,8.2,2024-09-29 00:00:00,Data.gouv.fr,51.758258,5.220578,2.62,3.91,2024-12-17 00:00:00,8.26,3.13,7.77,Provence-Alpes-Côte d'Azur,5.88,2.47,3.15,45,5.220578,2024-12-16 00:00:00,2.28,1.54,4.8,4.92,2.73,49871,7.7,1,1.35,5.19
Marseille,Pays de la Loire,Île-de-France,52.063431,5.28,2.92,3.01,80,5.32,4.65,2024-02-10 00:00:00,Météo-France,52.063431,3.478983,3.73,4.01,2024-05-30 00:00:00,3.66,3.41,4.62,Occitanie,5.78,6.77,2.22,130,3.478983,2024-09-16 00:00:00,7.45,3.63,3.19,7.22,5.18,114347,7.97,OUI,1.77,2.75
Nice,Occitanie,Provence-Alpes-Côte d'Azur,47.016084,2.16,2.28,6.39,70,7.95,8.33,2024-02-14 00:00:00,Météo-France,47.016084,-0.387286,4.01,5.7,2024-11-26 00:00:00,5.66,5.41,1.24,Île-de-France,7.99,2.34,1.25,80,-0.387286,2024-11-30 00:00:00,1.84,1.73,2.19,4.03,1.89,44844,3.59,OUI,6.12,7.74
Toulouse,Auvergne-Rhône-Alpes,Pays de la Loire,51.654971,5.1,2.47,8.78,30,3.75,5.12,2024-08-10 00:00:00,SNCF_Open_Data,51.654971,1.051753,1.96,5.38,2024-07-13 00:00:00,2.3,3.04,7.98,Occitanie,3.65,2.81,8.31,130,1.051753,2024-07-09 00:00:00,5.37,2.34,7.24,4.72,2.24,129262,2.52,0,3.47,5.19
Strasbourg,Grand Est,Hauts-de-France,47.445121,7.77,3.39,3.64,130,6.58,2.43,2024-01-01 00:00:00,Data.gouv.fr,47.445121,2.239528,4.0,4.17,2024-03-21 00:00:00,4.32,6.68,4.88,Occitanie,6.81,1.61,8.23,80,2.239528,2024-06-16 00:00:00,2.58,4.62,6.14,7.66,3.61,167646,2.14,OUI,6.31,4.1
Bordeaux,Bretagne,Hauts-de-France,48.502637,4.54,4.14,8.17,45,1.61,2.21,2024-09-14 00:00:00,SNCF_Open_Data,48.502637,-0.527266,7.79,4.03,2024-09-15 00:00:00,2.63,7.76,2.6,Normandie,7.78,7.18,8.5,130,-0.527266,2024-08-08 00:00:00,6.35,2.54,5.46,7.76,6.26,35153,2.6,NON,2.22,1.25
Montpellier,Hauts-de-France,Nouvelle-Aquitaine,50.853955,8.63,6.95,3.59,110,2.38,2.1,2024-08-17 00:00:00,Data.gouv.fr,50.853955,3.659212,8.49,4.59,2024-07-13 00:00:00,7.0,7.69,8.37,Auvergne-Rhône-Alpes,7.12,7.31,3.62,30,3.659212,2024-05-11 00:00:00,4.55,5.1,3.49,4.66,2.3,108069,3.99,OUI,4.83,6.79
Nantes,Normandie,Normandie,47.115609,1.78,6.84,2.76,45,2.67,5.86,2024-10-11 00:00:00,Airparif,47.115609,2.413541,3.35,8.55,2024-12-20 00:00:00,7.06,6.23,3.43,Pays de la Loire,3.62,1.97,6.41,30,2.413541,2024-09-18 00:00:00,3.42,1.9,2.34,4.33,8.11,87427,5.04,1,2.9,4.81
Paris,Nouvelle-Aquitaine,Occitanie,50.106667,3.22,2.09,7.46,50,4.19,5.89,2024-10-05 00:00:00,RATP_Open_Data_2024,50.106667,6.169934,3.86,4.02,2024-02-27 00:00:00,5.25,8.08,2.47,Normandie,2.46,8.67,8.68,70,6.169934,2024-11-27 00:00:00,8.22,8.51,3.04,8.34,7.74,104539,2.84,0,5.75,4.62
Lille,Hauts-de-France,Hauts-de-France,48.697925,2.73,5.62,3.1,130,7.23,3.64,2024-09-16 00:00:00,Data.gouv.fr,48.697925,3.341744,7.48,2.32,2024-11-03 00:00:00,7.69,5.39,8.65,Pays de la Loire,3.86,3.24,7.97,80,3.341744,2024-04-18 00:00:00,8.27,1.3,4.9,1.51,1.54,154538,2.23,OUI,3.42,2.15
Nice,Occitanie,Île-de-France,50.741012,4.88,4.24,5.73,110,2.57,2.38,2024-01-12 00:00:00,Data.gouv.fr,50.741012,1.949378,5.95,6.64,2024-06-11 00:00:00,7.29,1.7,8.32,Nouvelle-Aquitaine,2.84,1.38,1.84,30,1.949378,2024-09-27 00:00:00,7.63,5.73,4.33,6.73,6.67,132540,3.72,0,1.35,8.07
Strasbourg,Bretagne,Hauts-de-France,50.252971,2.21,5.96,8.18,50,4.54,3.97,2024-02-23 00:00:00,Airparif,50.252971,1.14606,2.19,3.07,2024-06-09 00:00:00,7.53,1.55,6.58,Occitanie,1.66,8.76,5.89,110,1.14606,2024-12-23 00:00:00,2.89,2.67,8.05,1.56,4.64,193621,3.57,0,4.92,7.15
Lyon,Bretagne,Grand Est,51.151292,8.33,2.77,3.82,70,8.41,5.8,2024-09-10 00:00:00,Météo-France,51.151292,6.149656,3.62,3.72,2024-09-02 00:00:00,3.95,6.55,2.45,Bretagne,2.41,2.18,5.8,130,6.149656,2024-12-16 00:00:00,5.0,2.75,2.87,2.0,8.45,92064,6.85,NON,4.81,5.67
Marseille,Provence-Alpes-Côte d'Azur,Normandie,48.619834,7.15,6.24,1.82,30,2.46,5.15,2024-09-03 00:00:00,Météo-France,48.619834,4.717708,6.56,3.38,2024-01-23 00:00:00,7.12,6.61,6.77,Normandie,8.56,4.86,4.19,50,4.717708,2024-09-13 00:00:00,5.76,3.72,3.44,7.35,3.03,81360,7.37,0,6.99,7.84
Nice,Hauts-de-France,Pays de la Loire,50.720489,3.68,3.58,2.61,50,2.29,8.72,2024-04-22 00:00:00,Airparif,50.720489,-1.137637,1.94,4.35,2024-01-29 00:00:00,3.75,4.6,6.02,Bretagne,2.47,2.46,2.16,70,-1.137637,2024-07-27 00:00:00,7.88,1.53,4.97,2.26,3.84,143275,3.4,OUI,4.15,8.27
Strasbourg,Normandie,Pays de la Loire,45.650827,3.75,6.46,3.03,30,6.21,3.96,2024-03-17 00:00:00,Data.gouv.fr,45.650827,2.954296,7.97,8.31,2024-03-10 00:00:00,6.97,7.21,8.15,Île-de-France,2.26,8.32,6.65,80,2.954296,2024-07-25 00:00:00,6.76,4.2,6.67,5.17,6.75,54213,1.88,0,2.66,7.04
Toulouse,Nouvelle-Aquitaine,Normandie,49.847688,6.71,8.33,2.44,130,4.82,8.52,2024-04-15 00:00:00,RATP_Open_Data_2024,49.847688,1.441924,3.79,7.45,2024-09-29 00:00:00,5.22,8.79,2.79,Occitanie,8.42,6.3,3.59,110,1.441924,2024-05-19 00:00:00,4.8,3.15,8.28,3.96,5.37,98610,8.18,1,2.95,8.28
Nantes,Occitanie,Grand Est,49.170708,3.96,2.39,2.27,30,5.11,5.4,2024-06-27 00:00:00,Airparif,49.170708,5.868552,5.19,4.03,2024-07-07 00:00:00,7.59,4.72,4.69,Pays de la Loire,6.3,2.85,2.49,130,5.868552,2024-11-10 00:00:00,5.53,2.4,5.56,6.54,5.49,78076,7.63,1,5.57,1.78
Lyon,Normandie,Bretagne,47.914751,3.16,3.24,3.65,30,3.59,4.66,2024-05-17 00:00:00,Airparif,47.914751,0.685886,1.21,7.12,2024-03-27 00:00:00,5.1,1.39,8.39,Pays de la Loire,5.6,1.37,8.18,45,0.685886,2024-08-23 00:00:00,8.27,3.95,7.78,6.55,7.23,125888,8.75,0,6.55,3.64
Nantes,Occitanie,Nouvelle-Aquitaine,50.57522,6.05,5.88,7.23,45,7.16,5.43,2024-01-26 00:00:00,SNCF_Open_Data,50.57522,1.536204,7.41,6.95,2024-11-01 00:00:00,4.87,3.16,5.16,Hauts-de-France,8.27,2.12,8.49,50,1.536204,2024-05-16 00:00:00,7.96,5.36,4.17,3.61,8.48,13997,8.25,NON,1.66,2.47
Nice,Bretagne,Bretagne,52.28221,7.49,6.8,7.49,50,2.5,5.05,2024-05-17 00:00:00,Airparif,52.28221,5.118729,5.11,4.92,2024-05-30 00:00:00,6.54,5.32,7.33,Île-de-France,4.06,7.45,6.63,50,5.118729,2024-01-10 00:00:00,4.95,4.19,7.29,2.52,3.87,165572,3.56,1,7.13,2.38
Paris,Occitanie,Occitanie,49.857527,3.32,7.69,1.82,45,3.23,6.17,2024-11-20 00:00:00,Airparif,49.857527,-0.306056,7.86,6.43,2024-06-12 00:00:00,6.76,3.77,4.14,Nouvelle-Aquitaine,1.36,5.39,8.29,45,-0.306056,2024-03-08 00:00:00,8.05,8.08,7.12,4.56,7.02,182792,2.04,OUI,4.21,7.65
Paris,Île-de-France,Provence-Alpes-Côte d'Azur,46.170893,7.88,3.14,1.33,45,2.66,5.66,2024-11-17 00:00:00,Airparif,46.170893,4.636766,2.03,3.96,2024-08-07 00:00:00,3.8,8.22,1.43,Hauts-de-France,5.42,4.69,7.53,130,4.636766,2024-03-29 00:00:00,6.0,3.33,4.02,3.82,4.01,96221,8.32,1,2.47,6.83
Montpellier,Occitanie,Bretagne,49.593274,8.58,7.29,8.09,130,7.69,3.33,2024-10-28 00:00:00,Météo-France,49.593274,3.135193,5.75,7.38,2024-09-14 00:00:00,7.01,6.46,8.48,Occitanie,8.7,7.23,6.14,45,3.135193,2024-05-15 00:00:00,1.74,4.73,5.23,7.18,4.77,41060,3.81,NON,7.05,1.24
Bordeaux,Normandie,Pays de la Loire,48.264524,4.6,2.78,1.88,80,6.81,2.98,2024-03-26 00:00:00,SNCF_Open_Data,48.264524,5.063348,3.17,4.34,2024-10-20 00:00:00,7.23,4.37,2.02,Hauts-de-France,6.38,1.88,8.12,45,5.063348,2024-02-11 00:00:00,8.67,2.67,7.21,3.81,2.28,166053,3.56,NON,2.73,7.75
Strasbourg,Hauts-de-France,Provence-Alpes-Côte d'Azur,51.844102,6.6,4.17,1.28,80,5.25,2.2,2024-11-18 00:00:00,RATP_Open_Data_2024,51.844102,1.790128,6.48,4.3,2024-12-23 00:00:00,1.83,4.27,3.57,Île-de-France,5.26,1.59,7.41,130,1.790128,2024-08-19 00:00:00,2.93,5.39,5.36,8.08,4.82,71397,3.44,0,5.82,5.54
Bordeaux,Normandie,Bretagne,47.070117,6.35,4.4,4.07,30,4.42,8.49,2024-10-01 00:00:00,Météo-France,47.070117,0.336693,6.52,2.04,2024-02-25 00:00:00,7.04,6.55,7.43,Nouvelle-Aquitaine,4.2,2.53,6.59,80,0.336693,2024-03-17 00:00:00,2.08,1.95,6.63,5.44,3.01,73582,5.14,1,3.68,1.72
Paris,Auvergne-Rhône-Alpes,Nouvelle-Aquitaine,46.837423,7.65,7.79,8.31,80,7.28,1.4,2024-10-24 00:00:00,Airparif,46.837423,-0.510011,3.53,4.29,2024-05-19 00:00:00,4.4,3.67,1.95,Hauts-de-France,6.3,2.86,6.69,45,-0.510011,2024-04-02 00:00:00,6.98,1.46,4.75,2.81,7.92,41964,5.3,1,8.5,6.63
Lyon,Occitanie,Normandie,46.470061,4.27,6.62,8.5,110,5.37,8.35,2024-03-12 00:00:00,RATP_Open_Data_2024,46.470061,3.218222,3.86,6.47,2024-05-07 00:00:00,4.01,7.09,1.77,Pays de la Loire,8.21,6.35,5.06,30,3.218222,2024-12-24 00:00:00,6.12,2.56,5.19,6.32,2.83,87758,8.18,NON,4.38,6.57
Bordeaux,Bretagne,Nouvelle-Aquitaine,47.888394,7.39,2.8,3.56,110,1.8,6.75,2024-10-19 00:00:00,Data.gouv.fr,47.888394,-1.049367,3.5,6.51,2024-08-17 00:00:00,3.23,2.56,3.11,Provence-Alpes-Côte d'Azur,5.61,7.31,2.8,130,-1.049367,2024-11-05 00:00:00,8.68,7.07,7.19,7.31,1.38,76341,1.54,0,8.31,5.88
Paris,Bretagne,Hauts-de-France,48.296676,3.69,1.96,5.53,110,2.62,5.93,2024-11-13 00:00:00,Airparif,48.296676,5.559503,2.72,6.21,2024-06-11 00:00:00,7.26,1.32,7.65,Grand Est,7.3,6.1,8.73,110,5.559503,2024-08-01 00:00:00,4.61,2.55,2.94,6.77,6.52,16525,5.39,1,6.64,8.79
Toulouse,Provence-Alpes-Côte d'Azur,Normandie,49.606246,5.32,6.27,2.28,50,7.39,7.66,2024-06-05 00:00:00,Météo-France,49.606246,-0.545544,5.7,5.38,2024-04-15 00:00:00,5.34,3.27,8.09,Hauts-de-France,8.08,7.74,8.51,70,-0.545544,2024-10-20 00:00:00,1.51,5.6,8.11,8.02,7.89,85145,4.11,0,4.49,1.59
Nice,Provence-Alpes-Côte d'Azur,Occitanie,48.063365,8.24,3.99,3.78,30,5.32,4.8,2024-09-26 00:00:00,Airparif,48.063365,4.62981,6.97,7.19,2024-10-20 00:00:00,6.16,8.69,8.22,Hauts-de-France,4.17,3.88,5.46,30,4.62981,2024-09-05 00:00:00,2.9,2.82,7.67,4.87,3.85,82718,2.39,0,5.23,6.15
Bordeaux,Grand Est,Provence-Alpes-Côte d'Azur,45.870244,7.43,5.67,6.19,30,7.44,2.85,2024-03-03 00:00:00,Météo-France,45.870244,3.572155,5.08,2.03,2024-12-17 00:00:00,8.02,7.98,5.41,Occitanie,2.79,3.02,2.07,70,3.572155,2024-08-02 00:00:00,6.15,1.47,6.64,7.16,2.32,127401,7.33,1,8.24,6.04
Nantes,Grand Est,Normandie,51.75485,2.84,7.3,2.95,45,2.15,7.07,2024-09-04 00:00:00,Airparif,51.75485,3.513386,5.64,6.7,2024-06-15 00:00:00,6.71,5.58,6.08,Hauts-de-France,6.24,3.27,1.6,110,3.513386,2024-10-06 00:00:00,5.92,1.21,1.83,4.39,3.56,177512,8.03,1,2.04,5.38
Lyon,Occitanie,Pays de la Loire,48.088515,6.38,5.28,1.51,80,7.53,5.25,2024-01-18 00:00:00,RATP_Open_Data_2024,48.088515,1.511322,3.88,6.32,2024-09-11 00:00:00,5.2,5.53,1.64,Île-de-France,4.36,6.86,7.83,70,1.511322,2024-06-02 00:00:00,7.57,4.53,3.71,2.7,7.77,114732,7.91,1,7.97,6.7
Bordeaux,Occitanie,Bretagne,52.711855,1.45,5.94,6.84,45,6.72,2.68,2024-12-10 00:00:00,SNCF_Open_Data,52.711855,3.31151,5.53,1.42,2024-04-05 00:00:00,7.13,5.53,5.39,Pays de la Loire,5.44,3.5,1.54,45,3.31151,2024-06-14 00:00:00,4.41,6.98,4.72,1.93,1.68,187404,3.83,OUI,6.3,7.22
Nice,Grand Est,Occitanie,50.856347,7.06,8.74,7.34,130,1.69,6.95,2024-12-12 00:00:00,Data.gouv.fr,50.856347,4.459794,4.28,5.94,2024-11-30 00:00:00,4.25,7.2,4.72,Occitanie,2.43,3.6,7.09,130,4.459794,2024-07-10 00:00:00,6.99,4.46,7.95,4.05,4.95,36682,5.2,OUI,3.95,6.65
Bordeaux,Pays de la Loire,Grand Est,48.784957,8.34,1.54,3.18,70,4.45,7.31,2024-09-01 00:00:00,Météo-France,48.784957,3.00338,5.98,5.86,2024-07-25 00:00:00,5.83,2.21,7.58,Nouvelle-Aquitaine,8.5,4.11,6.62,70,3.00338,2024-09-02 00:00:00,7.87,4.09,3.73,6.94,6.71,71391,6.09,OUI,4.76,2.31
Bordeaux,Auvergne-Rhône-Alpes,Occitanie,52.196777,3.72,7.62,7.76,110,1.26,3.15,2024-07-09 00:00:00,Météo-France,52.196777,-0.835252,7.83,6.1,2024-09-25 00:00:00,4.85,4.03,5.18,Bretagne,5.52,2.72,1.82,30,-0.835252,2024-08-25 00:00:00,2.2,1.55,8.03,2.81,8.4,12029,4.41,OUI,4.72,1.75
Nice,Hauts-de-France,Occitanie,52.647451,8.59,2.47,3.04,110,5.92,7.97,2024-12-11 00:00:00,Data.gouv.fr,52.647451,3.151227,3.81,1.77,2024-12-13 00:00:00,6.69,1.84,8.79,Hauts-de-France,4.56,1.31,5.98,50,3.151227,2024-06-23 00:00:00,2.18,8.74,6.58,3.26,8.06,60713,5.4,NON,7.66,1.37
Nice,Normandie,Grand Est,48.715974,4.25,3.87,2.9,30,1.73,4.48,2024-10-05 00:00:00,Météo-France,48.715974,-1.506299,6.97,4.7,2024-04-17 00:00:00,7.02,2.39,2.74,Provence-Alpes-Côte d'Azur,4.51,7.96,6.17,45,-1.506299,2024-06-02 00:00:00,5.83,2.45,3.36,4.65,2.85,197157,3.12,0,2.81,6.83
Lyon,Auvergne-Rhône-Alpes,Grand Est,48.037144,5.56,2.74,1.88,30,4.0,2.76,2024-07-03 00:00:00,Airparif,48.037144,1.688373,4.25,8.1,2024-02-11 00:00:00,2.2,6.44,8.12,Normandie,1.54,6.65,2.95,80,1.688373,2024-06-24 00:00:00,4.66,2.22,7.06,2.59,4.94,42574,1.79,OUI,2.49,1.71
